      1 GO:0000027	ribosomal large subunit assembly
      1 GO:0032273	positive regulation of protein polymerization
      1 GO:0032364	oxygen homeostasis
      1 GO:0032386	regulation of intracellular transport
      1 GO:0032387	negative regulation of intracellular transport
      1 GO:0032388	positive regulation of intracellular transport
      1 GO:0032418	lysosome localization
      1 GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process
      1 GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
      1 GO:0032479	regulation of type I interferon production
      1 GO:0032480	negative regulation of type I interferon production
      1 GO:0032496	response to lipopolysaccharide
      1 GO:0032505	reproduction of a single-celled organism
      1 GO:0032506	cytokinetic process
      1 GO:0032527	protein exit from endoplasmic reticulum
      1 GO:0032535	regulation of cellular component size
      1 GO:0032549	ribonucleoside binding
      1 GO:0032550	purine ribonucleoside binding
      1 GO:0032561	guanyl ribonucleotide binding
      1 GO:0032587	ruffle membrane
      1 GO:0032785	negative regulation of DNA-templated transcription, elongation
      1 GO:0032875	regulation of DNA endoreduplication
      1 GO:0032933	SREBP signaling pathway
      1 GO:0032934	sterol binding
      1 GO:0032940	secretion by cell
      1 GO:0032984	protein-containing complex disassembly
      1 GO:0032986	protein-DNA complex disassembly
      1 GO:0033032	regulation of myeloid cell apoptotic process
      1 GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane
      1 GO:0033206	meiotic cytokinesis
      1 GO:0033273	response to vitamin
      1 GO:0033301	cell cycle comprising mitosis without cytokinesis
      1 GO:0033363	secretory granule organization
      1 GO:0033483	gas homeostasis
      1 GO:0033503	HULC complex
      1 GO:0033553	rDNA heterochromatin
      1 GO:0033591	response to L-ascorbic acid
      1 GO:0033750	ribosome localization
      1 GO:0033797	selenate reductase activity
      1 GO:0033962	P-body assembly
      1 GO:0033993	response to lipid
      1 GO:0034011	L-cysteate sulfo-lyase activity
      1 GO:0034021	response to silicon dioxide
      1 GO:0034067	protein localization to Golgi apparatus
      1 GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex
      1 GO:0034219	carbohydrate transmembrane transport
      1 GO:0034244	negative regulation of transcription elongation from RNA polymerase II promoter
      1 GO:0034248	regulation of cellular amide metabolic process
      1 GO:0034249	negative regulation of cellular amide metabolic process
      1 GO:0034250	positive regulation of cellular amide metabolic process
      1 GO:0034284	response to monosaccharide
      1 GO:0034285	response to disaccharide
      1 GO:0034388	Pwp2p-containing subcomplex of 90S preribosome
      1 GO:0034391	regulation of smooth muscle cell apoptotic process
      1 GO:0034393	positive regulation of smooth muscle cell apoptotic process
      1 GO:0034404	nucleobase-containing small molecule biosynthetic process
      1 GO:0034440	lipid oxidation
      1 GO:0034455	t-UTP complex
      1 GO:0034502	protein localization to chromosome
      1 GO:0034511	U3 snoRNA binding
      1 GO:0034661	ncRNA catabolic process
      1 GO:0034708	methyltransferase complex
      1 GO:0034724	DNA replication-independent nucleosome organization
      1 GO:0035036	sperm-egg recognition
      1 GO:0035039	male pronucleus assembly
      1 GO:0035041	sperm chromatin decondensation
      1 GO:0035092	sperm chromatin condensation
      1 GO:0035097	histone methyltransferase complex
      1 GO:0035098	ESC/E(Z) complex
      1 GO:0035103	sterol regulatory element binding protein cleavage
      1 GO:0035150	regulation of tube size
      1 GO:0035162	embryonic hemopoiesis
      1 GO:0035186	syncytial blastoderm mitotic cell cycle
      1 GO:0035206	regulation of hemocyte proliferation
      1 GO:0035267	NuA4 histone acetyltransferase complex
      1 GO:0035296	regulation of tube diameter
      1 GO:0035327	transcriptionally active chromatin
      1 GO:0035523	protein K29-linked deubiquitination
      1 GO:0035871	protein K11-linked deubiquitination
      1 GO:0035900	response to isolation stress
      1 GO:0035902	response to immobilization stress
      1 GO:0035966	response to topologically incorrect protein
      1 GO:0035967	cellular response to topologically incorrect protein
      1 GO:0035983	response to trichostatin A
      1 GO:0035984	cellular response to trichostatin A
      1 GO:0036176	response to neutral pH
      1 GO:0036177	filamentous growth of a population of unicellular organisms in response to pH
      1 GO:0036178	filamentous growth of a population of unicellular organisms in response to neutral pH
      1 GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus
      1 GO:0036213	contractile ring contraction
      1 GO:0036244	cellular response to neutral pH
      1 GO:0036270	response to diuretic
      1 GO:0036293	response to decreased oxygen levels
      1 GO:0036295	cellular response to increased oxygen levels
      1 GO:0036333	hepatocyte homeostasis
      1 GO:0036435	K48-linked polyubiquitin modification-dependent protein binding
      1 GO:0036473	cell death in response to oxidative stress
      1 GO:0036501	UFD1-NPL4 complex
      1 GO:0038001	paracrine signaling
      1 GO:0038023	signaling receptor activity
      1 GO:0039531	regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway
      1 GO:0039532	negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway
      1 GO:0039535	regulation of RIG-I signaling pathway
      1 GO:0039536	negative regulation of RIG-I signaling pathway
      1 GO:0040014	regulation of multicellular organism growth
      1 GO:0040018	positive regulation of multicellular organism growth
      1 GO:0040034	regulation of development, heterochronic
      1 GO:0042000	translocation of peptides or proteins into host
      1 GO:0042023	DNA endoreduplication
      1 GO:0042054	histone methyltransferase activity
      1 GO:0042060	wound healing
      1 GO:0042063	gliogenesis
      1 GO:0042144	vacuole fusion, non-autophagic
      1 GO:0042177	negative regulation of protein catabolic process
      1 GO:0042180	cellular ketone metabolic process
      1 GO:0042181	ketone biosynthetic process
      1 GO:0042246	tissue regeneration
      1 GO:0042273	ribosomal large subunit biogenesis
      1 GO:0042311	vasodilation
      1 GO:0042364	water-soluble vitamin biosynthetic process
      1 GO:0042391	regulation of membrane potential
      1 GO:0042395	ecdysis, collagen and cuticulin-based cuticle
      1 GO:0042537	benzene-containing compound metabolic process
      1 GO:0042579	microbody
      1 GO:0042645	mitochondrial nucleoid
      1 GO:0042646	plastid nucleoid
      1 GO:0042737	drug catabolic process
      1 GO:0042744	hydrogen peroxide catabolic process
      1 GO:0042752	regulation of circadian rhythm
      1 GO:0042788	polysomal ribosome
      1 GO:0042873	aldonate transmembrane transport
      1 GO:0042879	aldonate transmembrane transporter activity
      1 GO:0042975	peroxisome proliferator activated receptor binding
      1 GO:0043007	maintenance of rDNA
      1 GO:0043010	camera-type eye development
      1 GO:0043023	ribosomal large subunit binding
      1 GO:0043087	regulation of GTPase activity
      1 GO:0043094	cellular metabolic compound salvage
      1 GO:0043130	ubiquitin binding
      1 GO:0043157	response to cation stress
      1 GO:0043178	alcohol binding
      1 GO:0043189	H4/H2A histone acetyltransferase complex
      1 GO:0043195	terminal bouton
      1 GO:0043198	dendritic shaft
      1 GO:0043200	response to amino acid
      1 GO:0043204	perikaryon
      1 GO:0043248	proteasome assembly
      1 GO:0043254	regulation of protein-containing complex assembly
      1 GO:0043266	regulation of potassium ion transport
      1 GO:0043268	positive regulation of potassium ion transport
      1 GO:0043269	regulation of ion transport
      1 GO:0043270	positive regulation of ion transport
      1 GO:0043279	response to alkaloid
      1 GO:0043392	negative regulation of DNA binding
      1 GO:0043403	skeletal muscle tissue regeneration
      1 GO:0043405	regulation of MAP kinase activity
      1 GO:0043406	positive regulation of MAP kinase activity
      1 GO:0043408	regulation of MAPK cascade
      1 GO:0043410	positive regulation of MAPK cascade
      1 GO:0043434	response to peptide hormone
      1 GO:0043484	regulation of RNA splicing
      1 GO:0043500	muscle adaptation
      1 GO:0043523	regulation of neuron apoptotic process
      1 GO:0043524	negative regulation of neuron apoptotic process
      1 GO:0043543	protein acylation
      1 GO:0043547	positive regulation of GTPase activity
      1 GO:0043570	maintenance of DNA repeat elements
      1 GO:0043574	peroxisomal transport
      1 GO:0043679	axon terminus
      1 GO:0043879	glycolate transmembrane transporter activity
      1 GO:0043928	exonucleolytic catabolism of deadenylated mRNA
      1 GO:0043934	sporulation
      1 GO:0043936	asexual sporulation resulting in formation of a cellular spore
      1 GO:0043967	histone H4 acetylation
      1 GO:0043981	histone H4-K5 acetylation
      1 GO:0044053	translocation of peptides or proteins into host cell cytoplasm
      1 GO:0044088	regulation of vacuole organization
      1 GO:0044182	filamentous growth of a population of unicellular organisms
      1 GO:0044183	protein folding chaperone
      1 GO:0044242	cellular lipid catabolic process
      1 GO:0044262	cellular carbohydrate metabolic process
      1 GO:0044272	sulfur compound biosynthetic process
      1 GO:0044273	sulfur compound catabolic process
      1 GO:0044306	neuron projection terminus
      1 GO:0044391	ribosomal subunit
      1 GO:0044403	symbiotic process
      1 GO:0044417	translocation of molecules into host
      1 GO:0044421	obsolete extracellular region part
      1 GO:0044438	obsolete microbody part
      1 GO:0044439	obsolete peroxisomal part
      1 GO:0044450	obsolete microtubule organizing center part
      1 GO:0044455	obsolete mitochondrial membrane part
      1 GO:0044571	[2Fe-2S] cluster assembly
      1 GO:0044656	regulation of post-lysosomal vacuole size
      1 GO:0044728	DNA methylation or demethylation
      1 GO:0044743	protein transmembrane import into intracellular organelle
      1 GO:0044766	multi-organism transport
      1 GO:0044786	cell cycle DNA replication
      1 GO:0044815	DNA packaging complex
      1 GO:0044837	actomyosin contractile ring organization
      1 GO:0044839	cell cycle G2/M phase transition
      1 GO:0045022	early endosome to late endosome transport
      1 GO:0045047	protein targeting to ER
      1 GO:0045088	regulation of innate immune response
      1 GO:0045111	intermediate filament cytoskeleton
      1 GO:0045117	azole transmembrane transport
      1 GO:0045132	meiotic chromosome segregation
      1 GO:0045143	homologous chromosome segregation
      1 GO:0045178	basal part of cell
      1 GO:0045179	apical cortex
      1 GO:0045292	mRNA cis splicing, via spliceosome
      1 GO:0045335	phagocytic vesicle
      1 GO:0045340	mercury ion binding
      1 GO:0045428	regulation of nitric oxide biosynthetic process
      1 GO:0045429	positive regulation of nitric oxide biosynthetic process
      1 GO:0045448	mitotic cell cycle, embryonic
      1 GO:0045471	response to ethanol
      1 GO:0045598	regulation of fat cell differentiation
      1 GO:0045599	negative regulation of fat cell differentiation
      1 GO:0045604	regulation of epidermal cell differentiation
      1 GO:0045605	negative regulation of epidermal cell differentiation
      1 GO:0045665	negative regulation of neuron differentiation
      1 GO:0045682	regulation of epidermis development
      1 GO:0045683	negative regulation of epidermis development
      1 GO:0045727	positive regulation of translation
      1 GO:0045732	positive regulation of protein catabolic process
      1 GO:0045746	negative regulation of Notch signaling pathway
      1 GO:0045776	negative regulation of blood pressure
      1 GO:0045839	negative regulation of mitotic nuclear division
      1 GO:0045851	pH reduction
      1 GO:0045861	negative regulation of proteolysis
      1 GO:0045862	positive regulation of proteolysis
      1 GO:0045926	negative regulation of growth
      1 GO:0045927	positive regulation of growth
      1 GO:0045943	positive regulation of transcription by RNA polymerase I
      1 GO:0046058	cAMP metabolic process
      1 GO:0046112	nucleobase biosynthetic process
      1 GO:0046134	pyrimidine nucleoside biosynthetic process
      1 GO:0046471	phosphatidylglycerol metabolic process
      1 GO:0046488	phosphatidylinositol metabolic process
      1 GO:0046496	nicotinamide nucleotide metabolic process
      1 GO:0046540	U4/U6 x U5 tri-snRNP complex
      1 GO:0046688	response to copper ion
      1 GO:0046838	phosphorylated carbohydrate dephosphorylation
      1 GO:0046916	cellular transition metal ion homeostasis
      1 GO:0046974	histone methyltransferase activity (H3-K9 specific)
      1 GO:0046976	histone methyltransferase activity (H3-K27 specific)
      1 GO:0048015	phosphatidylinositol-mediated signaling
      1 GO:0048017	inositol lipid-mediated signaling
      1 GO:0048038	quinone binding
      1 GO:0048039	ubiquinone binding
      1 GO:0048046	apoplast
      1 GO:0048137	spermatocyte division
      1 GO:0048145	regulation of fibroblast proliferation
      1 GO:0048147	negative regulation of fibroblast proliferation
      1 GO:0048219	inter-Golgi cisterna vesicle-mediated transport
      1 GO:0048278	vesicle docking
      1 GO:0048284	organelle fusion
      1 GO:0048332	mesoderm morphogenesis
      1 GO:0048364	root development
      1 GO:0048366	leaf development
      1 GO:0048385	regulation of retinoic acid receptor signaling pathway
      1 GO:0048387	negative regulation of retinoic acid receptor signaling pathway
      1 GO:0048437	floral organ development
      1 GO:0048477	oogenesis
      1 GO:0048489	synaptic vesicle transport
      1 GO:0048506	regulation of timing of meristematic phase transition
      1 GO:0048510	regulation of timing of transition from vegetative to reproductive phase
      1 GO:0048520	positive regulation of behavior
      1 GO:0048566	embryonic digestive tract development
      1 GO:0048580	regulation of post-embryonic development
      1 GO:0048611	embryonic ectodermal digestive tract development
      1 GO:0048638	regulation of developmental growth
      1 GO:0048639	positive regulation of developmental growth
      1 GO:0048660	regulation of smooth muscle cell proliferation
      1 GO:0048662	negative regulation of smooth muscle cell proliferation
      1 GO:0048675	axon extension
      1 GO:0048773	erythrophore differentiation
      1 GO:0048814	regulation of dendrite morphogenesis
      1 GO:0048825	cotyledon development
      1 GO:0048827	phyllome development
      1 GO:0048831	regulation of shoot system development
      1 GO:0048846	axon extension involved in axon guidance
      1 GO:0048868	pollen tube development
      1 GO:0048871	multicellular organismal homeostasis
      1 GO:0048872	homeostasis of number of cells
      1 GO:0050657	nucleic acid transport
      1 GO:0050658	RNA transport
      1 GO:0050660	flavin adenine dinucleotide binding
      1 GO:0050687	negative regulation of defense response to virus
      1 GO:0050688	regulation of defense response to virus
      1 GO:0050768	negative regulation of neurogenesis
      1 GO:0050774	negative regulation of dendrite morphogenesis
      1 GO:0050776	regulation of immune response
      1 GO:0050795	regulation of behavior
      1 GO:0050803	regulation of synapse structure or activity
      1 GO:0050807	regulation of synapse organization
      1 GO:0050890	cognition
      1 GO:0050897	cobalt ion binding
      1 GO:0050931	pigment cell differentiation
      1 GO:0051017	actin filament bundle assembly
      1 GO:0051053	negative regulation of DNA metabolic process
      1 GO:0051054	positive regulation of DNA metabolic process
      1 GO:0051100	negative regulation of binding
      1 GO:0051101	regulation of DNA binding
      1 GO:0051124	synaptic growth at neuromuscular junction
      1 GO:0051148	negative regulation of muscle cell differentiation
      1 GO:0051149	positive regulation of muscle cell differentiation
      1 GO:0051150	regulation of smooth muscle cell differentiation
      1 GO:0051152	positive regulation of smooth muscle cell differentiation
      1 GO:0051153	regulation of striated muscle cell differentiation
      1 GO:0051154	negative regulation of striated muscle cell differentiation
      1 GO:0051168	nuclear export
      1 GO:0051170	import into nucleus
      1 GO:0051181	obsolete cofactor transport
      1 GO:0051187	obsolete cofactor catabolic process
      1 GO:0051235	maintenance of location
      1 GO:0051236	establishment of RNA localization
      1 GO:0051258	protein polymerization
      1 GO:0051272	positive regulation of cellular component movement
      1 GO:0051286	cell tip
      1 GO:0051289	protein homotetramerization
      1 GO:0051302	regulation of cell division
      1 GO:0051304	chromosome separation
      1 GO:0051307	meiotic chromosome separation
      1 GO:0051336	regulation of hydrolase activity
      1 GO:0051345	positive regulation of hydrolase activity
      1 GO:0051438	regulation of ubiquitin-protein transferase activity
      1 GO:0051444	negative regulation of ubiquitin-protein transferase activity
      1 GO:0051445	regulation of meiotic cell cycle
      1 GO:0051447	negative regulation of meiotic cell cycle
      1 GO:0051452	intracellular pH reduction
      1 GO:0051453	regulation of intracellular pH
      1 GO:0051495	positive regulation of cytoskeleton organization
      1 GO:0051567	histone H3-K9 methylation
      1 GO:0051602	response to electrical stimulus
      1 GO:0051642	centrosome localization
      1 GO:0051651	maintenance of location in cell
      1 GO:0051657	maintenance of organelle location
      1 GO:0051661	maintenance of centrosome location
      1 GO:0051666	actin cortical patch localization
      1 GO:0051683	establishment of Golgi localization
      1 GO:0051684	maintenance of Golgi location
      1 GO:0051701	interaction with host
      1 GO:0051783	regulation of nuclear division
      1 GO:0051784	negative regulation of nuclear division
      1 GO:0051788	response to misfolded protein
      1 GO:0051881	regulation of mitochondrial membrane potential
      1 GO:0051961	negative regulation of nervous system development
      1 GO:0051973	positive regulation of telomerase activity
      1 GO:0051974	negative regulation of telomerase activity
      1 GO:0052652	cyclic purine nucleotide metabolic process
      1 GO:0052654	L-leucine transaminase activity
      1 GO:0052655	L-valine transaminase activity
      1 GO:0052656	L-isoleucine transaminase activity
      1 GO:0052689	carboxylic ester hydrolase activity
      1 GO:0055044	symplast
      1 GO:0055067	monovalent inorganic cation homeostasis
      1 GO:0055088	lipid homeostasis
      1 GO:0055105	ubiquitin-protein transferase inhibitor activity
      1 GO:0055106	ubiquitin-protein transferase regulator activity
      1 GO:0060041	retina development in camera-type eye
      1 GO:0060089	molecular transducer activity
      1 GO:0060179	male mating behavior
      1 GO:0060215	primitive hemopoiesis
      1 GO:0060256	regulation of flocculation
      1 GO:0060257	negative regulation of flocculation
      1 GO:0060258	negative regulation of filamentous growth
      1 GO:0060491	regulation of cell projection assembly
      1 GO:0060627	regulation of vesicle-mediated transport
      1 GO:0060828	regulation of canonical Wnt signaling pathway
      1 GO:0061077	chaperone-mediated protein folding
      1 GO:0061174	type I terminal bouton
      1 GO:0061572	actin filament bundle organization
      1 GO:0061645	endocytic patch
      1 GO:0061647	histone H3-K9 modification
      1 GO:0061695	transferase complex, transferring phosphorus-containing groups
      1 GO:0061842	microtubule organizing center localization
      1 GO:0061845	neuron projection branch point
      1 GO:0061983	meiosis II cell cycle process
      1 GO:0065002	intracellular protein transmembrane transport
      1 GO:0065004	protein-DNA complex assembly
      1 GO:0070034	telomerase RNA binding
      1 GO:0070058	tRNA gene clustering
      1 GO:0070192	chromosome organization involved in meiotic cell cycle
      1 GO:0070193	synaptonemal complex organization
      1 GO:0070201	regulation of establishment of protein localization
      1 GO:0070202	regulation of establishment of protein localization to chromosome
      1 GO:0070203	regulation of establishment of protein localization to telomere
      1 GO:0070276	halogen metabolic process
      1 GO:0070301	cellular response to hydrogen peroxide
      1 GO:0070314	G1 to G0 transition
      1 GO:0070316	regulation of G0 to G1 transition
      1 GO:0070317	negative regulation of G0 to G1 transition
      1 GO:0070382	exocytic vesicle
      1 GO:0070491	repressing transcription factor binding
      1 GO:0070577	lysine-acetylated histone binding
      1 GO:0070603	SWI/SNF superfamily-type complex
      1 GO:0070651	nonfunctional rRNA decay
      1 GO:0070695	FHF complex
      1 GO:0070734	histone H3-K27 methylation
      1 GO:0070785	negative regulation of growth of unicellular organism as a thread of attached cells
      1 GO:0070840	dynein complex binding
      1 GO:0070878	primary miRNA binding
      1 GO:0070900	mitochondrial tRNA modification
      1 GO:0070971	endoplasmic reticulum exit site
      1 GO:0070972	protein localization to endoplasmic reticulum
      1 GO:0070987	error-free translesion synthesis
      1 GO:0070995	NADPH oxidation
      1 GO:0071000	response to magnetism
      1 GO:0071011	precatalytic spliceosome
      1 GO:0071013	catalytic step 2 spliceosome
      1 GO:0071166	ribonucleoprotein complex localization
      1 GO:0071168	protein localization to chromatin
      1 GO:0071212	subsynaptic reticulum
      1 GO:0071214	cellular response to abiotic stimulus
      1 GO:0071218	cellular response to misfolded protein
      1 GO:0071248	cellular response to metal ion
      1 GO:0071280	cellular response to copper ion
      1 GO:0071361	cellular response to ethanol
      1 GO:0071375	cellular response to peptide hormone stimulus
      1 GO:0071407	cellular response to organic cyclic compound
      1 GO:0071426	ribonucleoprotein complex export from nucleus
      1 GO:0071428	rRNA-containing ribonucleoprotein complex export from nucleus
      1 GO:0071440	regulation of histone H3-K14 acetylation
      1 GO:0071442	positive regulation of histone H3-K14 acetylation
      1 GO:0071450	cellular response to oxygen radical
      1 GO:0071451	cellular response to superoxide
      1 GO:0071453	cellular response to oxygen levels
      1 GO:0071455	cellular response to hyperoxia
      1 GO:0071467	cellular response to pH
      1 GO:0071501	cellular response to sterol depletion
      1 GO:0071629	cytoplasm protein quality control by the ubiquitin-proteasome system
      1 GO:0071712	ER-associated misfolded protein catabolic process
      1 GO:0071806	protein transmembrane transport
      1 GO:0071890	bicarbonate binding
      1 GO:0071897	DNA biosynthetic process
      1 GO:0071900	regulation of protein serine/threonine kinase activity
      1 GO:0071902	positive regulation of protein serine/threonine kinase activity
      1 GO:0071949	FAD binding
      1 GO:0072330	monocarboxylic acid biosynthetic process
      1 GO:0072337	modified amino acid transport
      1 GO:0072348	sulfur compound transport
      1 GO:0072349	modified amino acid transmembrane transporter activity
      1 GO:0072488	ammonium transmembrane transport
      1 GO:0072521	purine-containing compound metabolic process
      1 GO:0072522	purine-containing compound biosynthetic process
      1 GO:0072524	pyridine-containing compound metabolic process
      1 GO:0072527	pyrimidine-containing compound metabolic process
      1 GO:0072528	pyrimidine-containing compound biosynthetic process
      1 GO:0072599	establishment of protein localization to endoplasmic reticulum
      1 GO:0072657	protein localization to membrane
      1 GO:0072662	protein localization to peroxisome
      1 GO:0072663	establishment of protein localization to peroxisome
      1 GO:0072670	mitochondrial tRNA threonylcarbamoyladenosine modification
      1 GO:0080008	Cul4-RING E3 ubiquitin ligase complex
      1 GO:0080022	primary root development
      1 GO:0080171	lytic vacuole organization
      1 GO:0089709	L-histidine transmembrane transport
      1 GO:0090069	regulation of ribosome biogenesis
      1 GO:0090070	positive regulation of ribosome biogenesis
      1 GO:0090090	negative regulation of canonical Wnt signaling pathway
      1 GO:0090128	regulation of synapse maturation
      1 GO:0090140	regulation of mitochondrial fission
      1 GO:0090148	membrane fission
      1 GO:0090150	establishment of protein localization to membrane
      1 GO:0090156	cellular sphingolipid homeostasis
      1 GO:0090174	organelle membrane fusion
      1 GO:0090239	regulation of histone H4 acetylation
      1 GO:0090325	regulation of locomotion involved in locomotory behavior
      1 GO:0090326	positive regulation of locomotion involved in locomotory behavior
      1 GO:0090329	regulation of DNA-dependent DNA replication
      1 GO:0090382	phagosome maturation
      1 GO:0090383	phagosome acidification
      1 GO:0090406	pollen tube
      1 GO:0090558	plant epidermis development
      1 GO:0090567	reproductive shoot system development
      1 GO:0090626	plant epidermis morphogenesis
      1 GO:0090627	plant epidermal cell differentiation
      1 GO:0090646	mitochondrial tRNA processing
      1 GO:0090666	scaRNA localization to Cajal body
      1 GO:0090670	RNA localization to Cajal body
      1 GO:0090685	RNA localization to nucleus
      1 GO:0090698	post-embryonic plant morphogenesis
      1 GO:0097190	apoptotic signaling pathway
      1 GO:0097193	intrinsic apoptotic signaling pathway
      1 GO:0097204	phagocytic cup base
      1 GO:0097223	obsolete sperm part
      1 GO:0097305	response to alcohol
      1 GO:0097306	cellular response to alcohol
      1 GO:0097339	glycolate transmembrane transport
      1 GO:0097346	INO80-type complex
      1 GO:0097421	liver regeneration
      1 GO:0097440	apical dendrite
      1 GO:0097441	basal dendrite
      1 GO:0097472	cyclin-dependent protein kinase activity
      1 GO:0097479	synaptic vesicle localization
      1 GO:0097480	establishment of synaptic vesicle localization
      1 GO:0097525	spliceosomal snRNP complex
      1 GO:0097526	spliceosomal tri-snRNP complex
      1 GO:0097576	vacuole fusion
      1 GO:0097746	regulation of blood vessel diameter
      1 GO:0097755	positive regulation of blood vessel diameter
      1 GO:0098532	histone H3-K27 trimethylation
      1 GO:0098552	side of membrane
      1 GO:0098554	cytoplasmic side of endoplasmic reticulum membrane
      1 GO:0098556	cytoplasmic side of rough endoplasmic reticulum membrane
      1 GO:0098562	cytoplasmic side of membrane
      1 GO:0098586	cellular response to virus
      1 GO:0098623	selenite reductase activity
      1 GO:0098625	methylselenol reductase activity
      1 GO:0098626	methylseleninic acid reductase activity
      1 GO:0098630	aggregation of unicellular organisms
      1 GO:0098655	cation transmembrane transport
      1 GO:0098693	regulation of synaptic vesicle cycle
      1 GO:0098727	maintenance of cell number
      1 GO:0098743	cell aggregation
      1 GO:0098798	mitochondrial protein complex
      1 GO:0098800	inner mitochondrial membrane protein complex
      1 GO:0098813	nuclear chromosome segregation
      1 GO:0098852	lytic vacuole membrane
      1 GO:0098927	vesicle-mediated transport between endosomal compartments
      1 GO:0099111	microtubule-based transport
      1 GO:0099174	regulation of presynapse organization
      1 GO:0099738	cell cortex region
      1 GO:0101030	tRNA-guanine transglycosylation
      1 GO:0101031	chaperone complex
      1 GO:0104004	cellular response to environmental stimulus
      1 GO:0120032	regulation of plasma membrane bounded cell projection assembly
      1 GO:0120114	Sm-like protein family complex
      1 GO:0120115	Lsm2-8 complex
      1 GO:0140014	mitotic nuclear division
      1 GO:0140029	exocytic process
      1 GO:0140033	acetylation-dependent protein binding
      1 GO:0140053	mitochondrial gene expression
      1 GO:0140056	organelle localization by membrane tethering
      1 GO:1900006	positive regulation of dendrite development
      1 GO:1900027	regulation of ruffle assembly
      1 GO:1900180	regulation of protein localization to nucleus
      1 GO:1900182	positive regulation of protein localization to nucleus
      1 GO:1900239	regulation of phenotypic switching
      1 GO:1900241	positive regulation of phenotypic switching
      1 GO:1900242	regulation of synaptic vesicle endocytosis
      1 GO:1900407	regulation of cellular response to oxidative stress
      1 GO:1900408	negative regulation of cellular response to oxidative stress
      1 GO:1900429	negative regulation of filamentous growth of a population of unicellular organisms
      1 GO:1900460	obsolete negative regulation of invasive growth in response to glucose limitation by negative regulation of transcription from RNA polymerase II promoter
      1 GO:1900462	obsolete negative regulation of pseudohyphal growth by negative regulation of transcription from RNA polymerase II promoter
      1 GO:1900756	protein processing in phagocytic vesicle
      1 GO:1900864	mitochondrial RNA modification
      1 GO:1900866	glycolate transport
      1 GO:1901342	regulation of vasculature development
      1 GO:1901474	azole transmembrane transporter activity
      1 GO:1901616	organic hydroxy compound catabolic process
      1 GO:1901618	organic hydroxy compound transmembrane transporter activity
      1 GO:1901652	response to peptide
      1 GO:1901653	cellular response to peptide
      1 GO:1901657	glycosyl compound metabolic process
      1 GO:1901659	glycosyl compound biosynthetic process
      1 GO:1901661	quinone metabolic process
      1 GO:1901663	quinone biosynthetic process
      1 GO:1901682	sulfur compound transmembrane transporter activity
      1 GO:1901798	positive regulation of signal transduction by p53 class mediator
      1 GO:1901799	negative regulation of proteasomal protein catabolic process
      1 GO:1901800	positive regulation of proteasomal protein catabolic process
      1 GO:1901974	glycerate transmembrane transporter activity
      1 GO:1901975	glycerate transmembrane transport
      1 GO:1901998	toxin transport
      1 GO:1901999	homogentisate metabolic process
      1 GO:1902000	homogentisate catabolic process
      1 GO:1902022	L-lysine transport
      1 GO:1902023	L-arginine transport
      1 GO:1902115	regulation of organelle assembly
      1 GO:1902175	regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
      1 GO:1902176	negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
      1 GO:1902253	regulation of intrinsic apoptotic signaling pathway by p53 class mediator
      1 GO:1902255	positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator
      1 GO:1902284	neuron projection extension involved in neuron projection guidance
      1 GO:1902493	acetyltransferase complex
      1 GO:1902554	serine/threonine protein kinase complex
      1 GO:1902562	H4 histone acetyltransferase complex
      1 GO:1902579	multi-organism localization
      1 GO:1902616	acyl carnitine transmembrane transport
      1 GO:1902749	regulation of cell cycle G2/M phase transition
      1 GO:1902882	regulation of response to oxidative stress
      1 GO:1902883	negative regulation of response to oxidative stress
      1 GO:1902903	regulation of supramolecular fiber organization
      1 GO:1902905	positive regulation of supramolecular fiber organization
      1 GO:1902911	protein kinase complex
      1 GO:1903025	regulation of RNA polymerase II regulatory region sequence-specific DNA binding
      1 GO:1903026	negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding
      1 GO:1903051	negative regulation of proteolysis involved in cellular protein catabolic process
      1 GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process
      1 GO:1903146	regulation of autophagy of mitochondrion
      1 GO:1903201	regulation of oxidative stress-induced cell death
      1 GO:1903202	negative regulation of oxidative stress-induced cell death
      1 GO:1903320	regulation of protein modification by small protein conjugation or removal
      1 GO:1903321	negative regulation of protein modification by small protein conjugation or removal
      1 GO:1903341	regulation of meiotic DNA double-strand break formation
      1 GO:1903342	negative regulation of meiotic DNA double-strand break formation
      1 GO:1903352	L-ornithine transmembrane transport
      1 GO:1903363	negative regulation of cellular protein catabolic process
      1 GO:1903364	positive regulation of cellular protein catabolic process
      1 GO:1903400	L-arginine transmembrane transport
      1 GO:1903401	L-lysine transmembrane transport
      1 GO:1903421	regulation of synaptic vesicle recycling
      1 GO:1903426	regulation of reactive oxygen species biosynthetic process
