      1 GO:0000002	mitochondrial genome maintenance
      1 GO:0030183	B cell differentiation
      1 GO:0030295	protein kinase activator activity
      1 GO:0030302	deoxynucleotide transport
      1 GO:0030307	positive regulation of cell growth
      1 GO:0030308	negative regulation of cell growth
      1 GO:0030312	external encapsulating structure
      1 GO:0030334	regulation of cell migration
      1 GO:0030335	positive regulation of cell migration
      1 GO:0030336	negative regulation of cell migration
      1 GO:0030397	membrane disassembly
      1 GO:0030426	growth cone
      1 GO:0030447	filamentous growth
      1 GO:0030490	maturation of SSU-rRNA
      1 GO:0030496	midbody
      1 GO:0030510	regulation of BMP signaling pathway
      1 GO:0030513	positive regulation of BMP signaling pathway
      1 GO:0030532	small nuclear ribonucleoprotein complex
      1 GO:0030545	receptor regulator activity
      1 GO:0030587	sorocarp development
      1 GO:0030627	pre-mRNA 5'-splice site binding
      1 GO:0030659	cytoplasmic vesicle membrane
      1 GO:0030667	secretory granule membrane
      1 GO:0030686	90S preribosome
      1 GO:0030707	ovarian follicle cell development
      1 GO:0030718	germ-line stem cell population maintenance
      1 GO:0030808	regulation of nucleotide biosynthetic process
      1 GO:0030810	positive regulation of nucleotide biosynthetic process
      1 GO:0030900	forebrain development
      1 GO:0030953	astral microtubule organization
      1 GO:0031023	microtubule organizing center organization
      1 GO:0031033	myosin filament organization
      1 GO:0031035	myosin filament disassembly
      1 GO:0031037	myosin II filament disassembly
      1 GO:0031038	myosin II filament organization
      1 GO:0031056	regulation of histone modification
      1 GO:0031058	positive regulation of histone modification
      1 GO:0031122	cytoplasmic microtubule organization
      1 GO:0031167	rRNA methylation
      1 GO:0031204	posttranslational protein targeting to membrane, translocation
      1 GO:0031205	endoplasmic reticulum Sec complex
      1 GO:0031228	intrinsic component of Golgi membrane
      1 GO:0031252	cell leading edge
      1 GO:0031272	regulation of pseudopodium assembly
      1 GO:0031273	negative regulation of pseudopodium assembly
      1 GO:0031275	regulation of lateral pseudopodium assembly
      1 GO:0031276	negative regulation of lateral pseudopodium assembly
      1 GO:0031301	integral component of organelle membrane
      1 GO:0031310	intrinsic component of vacuolar membrane
      1 GO:0031334	positive regulation of protein-containing complex assembly
      1 GO:0031346	positive regulation of cell projection organization
      1 GO:0031348	negative regulation of defense response
      1 GO:0031396	regulation of protein ubiquitination
      1 GO:0031397	negative regulation of protein ubiquitination
      1 GO:0031400	negative regulation of protein modification process
      1 GO:0031430	M band
      1 GO:0031497	chromatin assembly
      1 GO:0031503	protein-containing complex localization
      1 GO:0031593	polyubiquitin modification-dependent protein binding
      1 GO:0031640	killing of cells of other organism
      1 GO:0031647	regulation of protein stability
      1 GO:0031672	A band
      1 GO:0031930	mitochondria-nucleus signaling pathway
      1 GO:0031969	chloroplast membrane
      1 GO:0031976	plastid thylakoid
      1 GO:0031985	Golgi cisterna
      1 GO:0032092	positive regulation of protein binding
      1 GO:0032101	regulation of response to external stimulus
      1 GO:0032133	chromosome passenger complex
      1 GO:0032153	cell division site
      1 GO:0032182	ubiquitin-like protein binding
      1 GO:0032299	ribonuclease H2 complex
      1 GO:0032388	positive regulation of intracellular transport
      1 GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
      1 GO:0032446	protein modification by small protein conjugation
      1 GO:0032456	endocytic recycling
      1 GO:0032505	reproduction of a single-celled organism
      1 GO:0032506	cytokinetic process
      1 GO:0032509	endosome transport via multivesicular body sorting pathway
      1 GO:0032510	endosome to lysosome transport via multivesicular body sorting pathway
      1 GO:0032588	trans-Golgi network membrane
      1 GO:0032642	regulation of chemokine production
      1 GO:0032722	positive regulation of chemokine production
      1 GO:0032763	regulation of mast cell cytokine production
      1 GO:0032764	negative regulation of mast cell cytokine production
      1 GO:0032787	monocarboxylic acid metabolic process
      1 GO:0032790	ribosome disassembly
      1 GO:0032868	response to insulin
      1 GO:0032869	cellular response to insulin stimulus
      1 GO:0032878	regulation of establishment or maintenance of cell polarity
      1 GO:0032880	regulation of protein localization
      1 GO:0032881	regulation of polysaccharide metabolic process
      1 GO:0032885	regulation of polysaccharide biosynthetic process
      1 GO:0032897	negative regulation of viral transcription
      1 GO:0032950	regulation of beta-glucan metabolic process
      1 GO:0032951	regulation of beta-glucan biosynthetic process
      1 GO:0032952	regulation of (1->3)-beta-D-glucan metabolic process
      1 GO:0032953	regulation of (1->3)-beta-D-glucan biosynthetic process
      1 GO:0032988	ribonucleoprotein complex disassembly
      1 GO:0032995	regulation of fungal-type cell wall biogenesis
      1 GO:0033003	regulation of mast cell activation
      1 GO:0033004	negative regulation of mast cell activation
      1 GO:0033006	regulation of mast cell activation involved in immune response
      1 GO:0033007	negative regulation of mast cell activation involved in immune response
      1 GO:0033013	tetrapyrrole metabolic process
      1 GO:0033015	tetrapyrrole catabolic process
      1 GO:0033044	regulation of chromosome organization
      1 GO:0033108	mitochondrial respiratory chain complex assembly
      1 GO:0033119	negative regulation of RNA splicing
      1 GO:0033254	vacuolar transporter chaperone complex
      1 GO:0033567	DNA replication, Okazaki fragment processing
      1 GO:0033592	RNA strand annealing activity
      1 GO:0033692	cellular polysaccharide biosynthetic process
      1 GO:0033750	ribosome localization
      1 GO:0033797	selenate reductase activity
      1 GO:0033866	nucleoside bisphosphate biosynthetic process
      1 GO:0034011	L-cysteate sulfo-lyase activity
      1 GO:0034030	ribonucleoside bisphosphate biosynthetic process
      1 GO:0034033	purine nucleoside bisphosphate biosynthetic process
      1 GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex
      1 GO:0034101	erythrocyte homeostasis
      1 GO:0034214	protein hexamerization
      1 GO:0034249	negative regulation of cellular amide metabolic process
      1 GO:0034337	RNA folding
      1 GO:0034357	photosynthetic membrane
      1 GO:0034381	plasma lipoprotein particle clearance
      1 GO:0034383	low-density lipoprotein particle clearance
      1 GO:0034395	regulation of transcription from RNA polymerase II promoter in response to iron
      1 GO:0034399	nuclear periphery
      1 GO:0034551	mitochondrial respiratory chain complex III assembly
      1 GO:0034605	cellular response to heat
      1 GO:0034637	cellular carbohydrate biosynthetic process
      1 GO:0034661	ncRNA catabolic process
      1 GO:0034728	nucleosome organization
      1 GO:0035023	regulation of Rho protein signal transduction
      1 GO:0035024	negative regulation of Rho protein signal transduction
      1 GO:0035065	regulation of histone acetylation
      1 GO:0035066	positive regulation of histone acetylation
      1 GO:0035091	phosphatidylinositol binding
      1 GO:0035094	response to nicotine
      1 GO:0035150	regulation of tube size
      1 GO:0035250	UDP-galactosyltransferase activity
      1 GO:0035296	regulation of tube diameter
      1 GO:0035368	selenocysteine insertion sequence binding
      1 GO:0035383	thioester metabolic process
      1 GO:0035523	protein K29-linked deubiquitination
      1 GO:0035579	specific granule membrane
      1 GO:0035670	plant-type ovary development
      1 GO:0035770	ribonucleoprotein granule
      1 GO:0035800	deubiquitinase activator activity
      1 GO:0035861	site of double-strand break
      1 GO:0035871	protein K11-linked deubiquitination
      1 GO:0035950	obsolete regulation of oligopeptide transport by regulation of transcription from RNA polymerase II promoter
      1 GO:0035952	obsolete negative regulation of oligopeptide transport by negative regulation of transcription from RNA polymerase II promoter
      1 GO:0035953	obsolete regulation of dipeptide transport by regulation of transcription from RNA polymerase II promoter
      1 GO:0035955	obsolete negative regulation of dipeptide transport by negative regulation of transcription from RNA polymerase II promoter
      1 GO:0036002	pre-mRNA binding
      1 GO:0036033	mediator complex binding
      1 GO:0036176	response to neutral pH
      1 GO:0036177	filamentous growth of a population of unicellular organisms in response to pH
      1 GO:0036178	filamentous growth of a population of unicellular organisms in response to neutral pH
      1 GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus
      1 GO:0036230	granulocyte activation
      1 GO:0036244	cellular response to neutral pH
      1 GO:0036293	response to decreased oxygen levels
      1 GO:0036294	cellular response to decreased oxygen levels
      1 GO:0036295	cellular response to increased oxygen levels
      1 GO:0036296	response to increased oxygen levels
      1 GO:0036435	K48-linked polyubiquitin modification-dependent protein binding
      1 GO:0036464	cytoplasmic ribonucleoprotein granule
      1 GO:0036498	IRE1-mediated unfolded protein response
      1 GO:0036513	Derlin-1 retrotranslocation complex
      1 GO:0038023	signaling receptor activity
      1 GO:0040001	establishment of mitotic spindle localization
      1 GO:0040002	collagen and cuticulin-based cuticle development
      1 GO:0040003	chitin-based cuticle development
      1 GO:0040013	negative regulation of locomotion
      1 GO:0040029	regulation of gene expression, epigenetic
      1 GO:0040032	post-embryonic body morphogenesis
      1 GO:0042035	regulation of cytokine biosynthetic process
      1 GO:0042054	histone methyltransferase activity
      1 GO:0042060	wound healing
      1 GO:0042074	cell migration involved in gastrulation
      1 GO:0042078	germ-line stem cell division
      1 GO:0042108	positive regulation of cytokine biosynthetic process
      1 GO:0042113	B cell activation
      1 GO:0042119	neutrophil activation
      1 GO:0042144	vacuole fusion, non-autophagic
      1 GO:0042167	heme catabolic process
      1 GO:0042168	heme metabolic process
      1 GO:0042170	plastid membrane
      1 GO:0042255	ribosome assembly
      1 GO:0042273	ribosomal large subunit biogenesis
      1 GO:0042274	ribosomal small subunit biogenesis
      1 GO:0042287	MHC protein binding
      1 GO:0042288	MHC class I protein binding
      1 GO:0042304	regulation of fatty acid biosynthetic process
      1 GO:0042335	cuticle development
      1 GO:0042338	cuticle development involved in collagen and cuticulin-based cuticle molting cycle
      1 GO:0042364	water-soluble vitamin biosynthetic process
      1 GO:0042395	ecdysis, collagen and cuticulin-based cuticle
      1 GO:0042403	thyroid hormone metabolic process
      1 GO:0042440	pigment metabolic process
      1 GO:0042445	hormone metabolic process
      1 GO:0042537	benzene-containing compound metabolic process
      1 GO:0042542	response to hydrogen peroxide
      1 GO:0042548	regulation of photosynthesis, light reaction
      1 GO:0042554	superoxide anion generation
      1 GO:0042562	hormone binding
      1 GO:0042579	microbody
      1 GO:0042581	specific granule
      1 GO:0042651	thylakoid membrane
      1 GO:0042727	flavin-containing compound biosynthetic process
      1 GO:0042728	flavin-containing compound catabolic process
      1 GO:0042826	histone deacetylase binding
      1 GO:0042887	amide transmembrane transporter activity
      1 GO:0042975	peroxisome proliferator activated receptor binding
      1 GO:0043023	ribosomal large subunit binding
      1 GO:0043038	amino acid activation
      1 GO:0043039	tRNA aminoacylation
      1 GO:0043044	ATP-dependent chromatin remodeling
      1 GO:0043086	negative regulation of catalytic activity
      1 GO:0043087	regulation of GTPase activity
      1 GO:0043130	ubiquitin binding
      1 GO:0043137	DNA replication, removal of RNA primer
      1 GO:0043157	response to cation stress
      1 GO:0043186	P granule
      1 GO:0043204	perikaryon
      1 GO:0043209	myelin sheath
      1 GO:0043248	proteasome assembly
      1 GO:0043254	regulation of protein-containing complex assembly
      1 GO:0043255	regulation of carbohydrate biosynthetic process
      1 GO:0043266	regulation of potassium ion transport
      1 GO:0043268	positive regulation of potassium ion transport
      1 GO:0043269	regulation of ion transport
      1 GO:0043270	positive regulation of ion transport
      1 GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process
      1 GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process
      1 GO:0043292	contractile fiber
      1 GO:0043299	leukocyte degranulation
      1 GO:0043300	regulation of leukocyte degranulation
      1 GO:0043301	negative regulation of leukocyte degranulation
      1 GO:0043304	regulation of mast cell degranulation
      1 GO:0043305	negative regulation of mast cell degranulation
      1 GO:0043312	neutrophil degranulation
      1 GO:0043332	mating projection tip
      1 GO:0043393	regulation of protein binding
      1 GO:0043413	macromolecule glycosylation
      1 GO:0043434	response to peptide hormone
      1 GO:0043457	regulation of cellular respiration
      1 GO:0043473	pigmentation
      1 GO:0043484	regulation of RNA splicing
      1 GO:0043486	histone exchange
      1 GO:0043500	muscle adaptation
      1 GO:0043523	regulation of neuron apoptotic process
      1 GO:0043524	negative regulation of neuron apoptotic process
      1 GO:0043530	adenosine 5'-monophosphoramidase activity
      1 GO:0043531	ADP binding
      1 GO:0043535	regulation of blood vessel endothelial cell migration
      1 GO:0043536	positive regulation of blood vessel endothelial cell migration
      1 GO:0043539	protein serine/threonine kinase activator activity
      1 GO:0043547	positive regulation of GTPase activity
      1 GO:0043565	sequence-specific DNA binding
      1 GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress
      1 GO:0043619	regulation of transcription from RNA polymerase II promoter in response to oxidative stress
      1 GO:0043620	regulation of DNA-templated transcription in response to stress
      1 GO:0043621	protein self-association
      1 GO:0043627	response to estrogen
      1 GO:0043903	regulation of symbiotic process
      1 GO:0043921	modulation by host of viral transcription
      1 GO:0043922	negative regulation by host of viral transcription
      1 GO:0044003	modulation by symbiont of host process
      1 GO:0044036	cell wall macromolecule metabolic process
      1 GO:0044042	glucan metabolic process
      1 GO:0044182	filamentous growth of a population of unicellular organisms
      1 GO:0044262	cellular carbohydrate metabolic process
      1 GO:0044264	cellular polysaccharide metabolic process
      1 GO:0044273	sulfur compound catabolic process
      1 GO:0044282	small molecule catabolic process
      1 GO:0044322	endoplasmic reticulum quality control compartment
      1 GO:0044364	disruption of cells of other organism
      1 GO:0044414	suppression of host defenses by symbiont
      1 GO:0044436	obsolete thylakoid part
      1 GO:0044449	obsolete contractile fiber part
      1 GO:0044450	obsolete microtubule organizing center part
      1 GO:0044706	multi-multicellular organism process
      1 GO:0044764	multi-organism cellular process
      1 GO:0044770	cell cycle phase transition
      1 GO:0044771	meiotic cell cycle phase transition
      1 GO:0044815	DNA packaging complex
      1 GO:0044839	cell cycle G2/M phase transition
      1 GO:0044853	plasma membrane raft
      1 GO:0045013	carbon catabolite repression of transcription
      1 GO:0045014	carbon catabolite repression of transcription by glucose
      1 GO:0045048	protein insertion into ER membrane
      1 GO:0045055	regulated exocytosis
      1 GO:0045121	membrane raft
      1 GO:0045137	development of primary sexual characteristics
      1 GO:0045143	homologous chromosome segregation
      1 GO:0045144	meiotic sister chromatid segregation
      1 GO:0045165	cell fate commitment
      1 GO:0045178	basal part of cell
      1 GO:0045292	mRNA cis splicing, via spliceosome
      1 GO:0045333	cellular respiration
      1 GO:0045340	mercury ion binding
      1 GO:0045495	pole plasm
      1 GO:0045724	positive regulation of cilium assembly
      1 GO:0045732	positive regulation of protein catabolic process
      1 GO:0045765	regulation of angiogenesis
      1 GO:0045766	positive regulation of angiogenesis
      1 GO:0045787	positive regulation of cell cycle
      1 GO:0045824	negative regulation of innate immune response
      1 GO:0045838	positive regulation of membrane potential
      1 GO:0045862	positive regulation of proteolysis
      1 GO:0045894	negative regulation of mating-type specific transcription, DNA-templated
      1 GO:0045901	positive regulation of translational elongation
      1 GO:0045920	negative regulation of exocytosis
      1 GO:0045927	positive regulation of growth
      1 GO:0045930	negative regulation of mitotic cell cycle
      1 GO:0045981	positive regulation of nucleotide metabolic process
      1 GO:0045990	carbon catabolite regulation of transcription
      1 GO:0046015	regulation of transcription by glucose
      1 GO:0046034	ATP metabolic process
      1 GO:0046058	cAMP metabolic process
      1 GO:0046068	cGMP metabolic process
      1 GO:0046070	dGTP metabolic process
      1 GO:0046149	pigment catabolic process
      1 GO:0046165	alcohol biosynthetic process
      1 GO:0046386	deoxyribose phosphate catabolic process
      1 GO:0046394	carboxylic acid biosynthetic process
      1 GO:0046395	carboxylic acid catabolic process
      1 GO:0046443	FAD metabolic process
      1 GO:0046467	membrane lipid biosynthetic process
      1 GO:0046490	isopentenyl diphosphate metabolic process
      1 GO:0046509	1,2-diacylglycerol 3-beta-galactosyltransferase activity
      1 GO:0046578	regulation of Ras protein signal transduction
      1 GO:0046580	negative regulation of Ras protein signal transduction
      1 GO:0046605	regulation of centrosome cycle
      1 GO:0046607	positive regulation of centrosome cycle
      1 GO:0046620	regulation of organ growth
      1 GO:0046621	negative regulation of organ growth
      1 GO:0046649	lymphocyte activation
      1 GO:0046677	response to antibiotic
      1 GO:0046683	response to organophosphorus
      1 GO:0046685	response to arsenic-containing substance
      1 GO:0046688	response to copper ion
      1 GO:0046782	regulation of viral transcription
      1 GO:0046883	regulation of hormone secretion
      1 GO:0046887	positive regulation of hormone secretion
      1 GO:0046890	regulation of lipid biosynthetic process
      1 GO:0046916	cellular transition metal ion homeostasis
      1 GO:0046942	carboxylic acid transport
      1 GO:0046943	carboxylic acid transmembrane transporter activity
      1 GO:0047627	adenylylsulfatase activity
      1 GO:0047710	bis(5'-adenosyl)-triphosphatase activity
      1 GO:0048018	receptor ligand activity
      1 GO:0048024	regulation of mRNA splicing, via spliceosome
      1 GO:0048025	negative regulation of mRNA splicing, via spliceosome
      1 GO:0048046	apoplast
      1 GO:0048066	developmental pigmentation
      1 GO:0048067	cuticle pigmentation
      1 GO:0048085	adult chitin-containing cuticle pigmentation
      1 GO:0048132	female germ-line stem cell asymmetric division
      1 GO:0048137	spermatocyte division
      1 GO:0048229	gametophyte development
      1 GO:0048284	organelle fusion
      1 GO:0048317	seed morphogenesis
      1 GO:0048332	mesoderm morphogenesis
      1 GO:0048408	epidermal growth factor binding
      1 GO:0048437	floral organ development
      1 GO:0048438	floral whorl development
      1 GO:0048440	carpel development
      1 GO:0048444	floral organ morphogenesis
      1 GO:0048445	carpel morphogenesis
      1 GO:0048467	gynoecium development
      1 GO:0048481	plant ovule development
      1 GO:0048482	plant ovule morphogenesis
      1 GO:0048514	blood vessel morphogenesis
      1 GO:0048520	positive regulation of behavior
      1 GO:0048525	negative regulation of viral process
      1 GO:0048527	lateral root development
      1 GO:0048528	post-embryonic root development
      1 GO:0048534	hematopoietic or lymphoid organ development
      1 GO:0048565	digestive tract development
      1 GO:0048566	embryonic digestive tract development
      1 GO:0048568	embryonic organ development
      1 GO:0048580	regulation of post-embryonic development
      1 GO:0048582	positive regulation of post-embryonic development
      1 GO:0048592	eye morphogenesis
      1 GO:0048611	embryonic ectodermal digestive tract development
      1 GO:0048638	regulation of developmental growth
      1 GO:0048640	negative regulation of developmental growth
      1 GO:0048660	regulation of smooth muscle cell proliferation
      1 GO:0048661	positive regulation of smooth muscle cell proliferation
      1 GO:0048662	negative regulation of smooth muscle cell proliferation
      1 GO:0048678	response to axon injury
      1 GO:0048749	compound eye development
      1 GO:0048827	phyllome development
      1 GO:0048868	pollen tube development
      1 GO:0048872	homeostasis of number of cells
      1 GO:0050000	chromosome localization
      1 GO:0050373	UDP-arabinose 4-epimerase activity
      1 GO:0050657	nucleic acid transport
      1 GO:0050658	RNA transport
      1 GO:0050661	NADP binding
      1 GO:0050665	hydrogen peroxide biosynthetic process
      1 GO:0050673	epithelial cell proliferation
      1 GO:0050679	positive regulation of epithelial cell proliferation
      1 GO:0050680	negative regulation of epithelial cell proliferation
      1 GO:0050684	regulation of mRNA processing
      1 GO:0050686	negative regulation of mRNA processing
      1 GO:0050792	regulation of viral process
      1 GO:0050795	regulation of behavior
      1 GO:0050801	ion homeostasis
      1 GO:0050821	protein stabilization
      1 GO:0050829	defense response to Gram-negative bacterium
      1 GO:0050830	defense response to Gram-positive bacterium
      1 GO:0050865	regulation of cell activation
      1 GO:0050866	negative regulation of cell activation
      1 GO:0050920	regulation of chemotaxis
      1 GO:0051047	positive regulation of secretion
      1 GO:0051048	negative regulation of secretion
      1 GO:0051056	regulation of small GTPase mediated signal transduction
      1 GO:0051058	negative regulation of small GTPase mediated signal transduction
      1 GO:0051078	meiotic nuclear envelope disassembly
      1 GO:0051081	nuclear envelope disassembly
      1 GO:0051087	chaperone binding
      1 GO:0051099	positive regulation of binding
      1 GO:0051117	ATPase binding
      1 GO:0051168	nuclear export
      1 GO:0051170	import into nucleus
      1 GO:0051177	meiotic sister chromatid cohesion
      1 GO:0051205	protein insertion into membrane
      1 GO:0051225	spindle assembly
      1 GO:0051233	spindle midzone
      1 GO:0051235	maintenance of location
      1 GO:0051236	establishment of RNA localization
      1 GO:0051255	spindle midzone assembly
      1 GO:0051257	meiotic spindle midzone assembly
      1 GO:0051258	protein polymerization
      1 GO:0051262	protein tetramerization
      1 GO:0051270	regulation of cellular component movement
      1 GO:0051271	negative regulation of cellular component movement
      1 GO:0051272	positive regulation of cellular component movement
      1 GO:0051286	cell tip
      1 GO:0051287	NAD binding
      1 GO:0051293	establishment of spindle localization
      1 GO:0051294	establishment of spindle orientation
      1 GO:0051303	establishment of chromosome localization
      1 GO:0051304	chromosome separation
      1 GO:0051305	chromosome movement towards spindle pole
      1 GO:0051307	meiotic chromosome separation
      1 GO:0051310	metaphase plate congression
      1 GO:0051348	negative regulation of transferase activity
      1 GO:0051438	regulation of ubiquitin-protein transferase activity
      1 GO:0051444	negative regulation of ubiquitin-protein transferase activity
      1 GO:0051445	regulation of meiotic cell cycle
      1 GO:0051447	negative regulation of meiotic cell cycle
      1 GO:0051495	positive regulation of cytoskeleton organization
      1 GO:0051591	response to cAMP
      1 GO:0051606	detection of stimulus
      1 GO:0051647	nucleus localization
      1 GO:0051653	spindle localization
      1 GO:0051666	actin cortical patch localization
      1 GO:0051701	interaction with host
      1 GO:0051702	interaction with symbiont
      1 GO:0051703	intraspecies interaction between organisms
      1 GO:0051787	misfolded protein binding
      1 GO:0051788	response to misfolded protein
      1 GO:0051851	modulation by host of symbiont process
      1 GO:0052031	modulation by symbiont of host defense response
      1 GO:0052167	modulation by symbiont of host innate immune response
      1 GO:0052170	suppression by symbiont of host innate immune response
      1 GO:0052173	response to defenses of other organism
      1 GO:0052200	response to host defenses
      1 GO:0052312	modulation of transcription in other organism involved in symbiotic interaction
      1 GO:0052472	modulation by host of symbiont transcription
      1 GO:0052547	regulation of peptidase activity
      1 GO:0052548	regulation of endopeptidase activity
      1 GO:0052553	modulation by symbiont of host immune response
      1 GO:0052562	suppression by symbiont of host immune response
      1 GO:0052572	response to host immune response
      1 GO:0055037	recycling endosome
      1 GO:0055065	metal ion homeostasis
      1 GO:0055072	iron ion homeostasis
      1 GO:0055076	transition metal ion homeostasis
      1 GO:0055080	cation homeostasis
      1 GO:0055090	acylglycerol homeostasis
      1 GO:0055093	response to hyperoxia
      1 GO:0055105	ubiquitin-protein transferase inhibitor activity
      1 GO:0055106	ubiquitin-protein transferase regulator activity
      1 GO:0055120	striated muscle dense body
      1 GO:0055123	digestive system development
      1 GO:0060089	molecular transducer activity
      1 GO:0060231	mesenchymal to epithelial transition
      1 GO:0060237	regulation of fungal-type cell wall organization
      1 GO:0060256	regulation of flocculation
      1 GO:0060257	negative regulation of flocculation
      1 GO:0060258	negative regulation of filamentous growth
      1 GO:0060293	germ plasm
      1 GO:0060323	head morphogenesis
      1 GO:0060324	face development
      1 GO:0060325	face morphogenesis
      1 GO:0060828	regulation of canonical Wnt signaling pathway
      1 GO:0061025	membrane fusion
      1 GO:0061134	peptidase regulator activity
      1 GO:0061351	neural precursor cell proliferation
      1 GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
      1 GO:0061857	endoplasmic reticulum stress-induced pre-emptive quality control
      1 GO:0061983	meiosis II cell cycle process
      1 GO:0061984	catabolite repression
      1 GO:0061985	carbon catabolite repression
      1 GO:0061986	negative regulation of transcription by glucose
      1 GO:0061987	negative regulation of transcription from RNA polymerase II promoter by glucose
      1 GO:0062013	positive regulation of small molecule metabolic process
      1 GO:0065002	intracellular protein transmembrane transport
      1 GO:0070039	rRNA (guanosine-2'-O-)-methyltransferase activity
      1 GO:0070058	tRNA gene clustering
      1 GO:0070085	glycosylation
      1 GO:0070092	regulation of glucagon secretion
      1 GO:0070094	positive regulation of glucagon secretion
      1 GO:0070193	synaptonemal complex organization
      1 GO:0070276	halogen metabolic process
      1 GO:0070279	vitamin B6 binding
      1 GO:0070316	regulation of G0 to G1 transition
      1 GO:0070317	negative regulation of G0 to G1 transition
      1 GO:0070328	triglyceride homeostasis
      1 GO:0070403	NAD+ binding
      1 GO:0070481	nuclear-transcribed mRNA catabolic process, non-stop decay
      1 GO:0070491	repressing transcription factor binding
      1 GO:0070550	rDNA condensation
      1 GO:0070566	adenylyltransferase activity
      1 GO:0070577	lysine-acetylated histone binding
      1 GO:0070646	protein modification by small protein removal
      1 GO:0070651	nonfunctional rRNA decay
      1 GO:0070785	negative regulation of growth of unicellular organism as a thread of attached cells
      1 GO:0070838	divalent metal ion transport
      1 GO:0070841	inclusion body assembly
      1 GO:0070842	aggresome assembly
      1 GO:0070966	nuclear-transcribed mRNA catabolic process, no-go decay
      1 GO:0070995	NADPH oxidation
      1 GO:0071156	regulation of cell cycle arrest
      1 GO:0071166	ribonucleoprotein complex localization
      1 GO:0071218	cellular response to misfolded protein
      1 GO:0071229	cellular response to acid chemical
      1 GO:0071243	cellular response to arsenic-containing substance
      1 GO:0071256	translocon complex
      1 GO:0071261	Ssh1 translocon complex
      1 GO:0071276	cellular response to cadmium ion
      1 GO:0071280	cellular response to copper ion
      1 GO:0071281	cellular response to iron ion
      1 GO:0071375	cellular response to peptide hormone stimulus
      1 GO:0071395	cellular response to jasmonic acid stimulus
      1 GO:0071417	cellular response to organonitrogen compound
      1 GO:0071426	ribonucleoprotein complex export from nucleus
      1 GO:0071428	rRNA-containing ribonucleoprotein complex export from nucleus
      1 GO:0071450	cellular response to oxygen radical
      1 GO:0071451	cellular response to superoxide
      1 GO:0071455	cellular response to hyperoxia
      1 GO:0071456	cellular response to hypoxia
      1 GO:0071467	cellular response to pH
      1 GO:0071478	cellular response to radiation
      1 GO:0071482	cellular response to light stimulus
      1 GO:0071489	cellular response to red or far red light
      1 GO:0071669	plant-type cell wall organization or biogenesis
      1 GO:0071712	ER-associated misfolded protein catabolic process
      1 GO:0071806	protein transmembrane transport
      1 GO:0071816	tail-anchored membrane protein insertion into ER membrane
      1 GO:0071824	protein-DNA complex subunit organization
      1 GO:0071852	fungal-type cell wall organization or biogenesis
      1 GO:0071890	bicarbonate binding
      1 GO:0071897	DNA biosynthetic process
      1 GO:0071985	multivesicular body sorting pathway
      1 GO:0072331	signal transduction by p53 class mediator
      1 GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator
      1 GO:0072359	circulatory system development
      1 GO:0072364	obsolete regulation of cellular ketone metabolic process by regulation of transcription from RNA polymerase II promoter
      1 GO:0072389	flavin adenine dinucleotide catabolic process
      1 GO:0072488	ammonium transmembrane transport
      1 GO:0072511	divalent inorganic cation transport
      1 GO:0072523	purine-containing compound catabolic process
      1 GO:0072531	pyrimidine-containing compound transmembrane transport
      1 GO:0072686	mitotic spindle
      1 GO:0072687	meiotic spindle
      1 GO:0072718	response to cisplatin
      1 GO:0072719	cellular response to cisplatin
      1 GO:0075136	response to host
      1 GO:0080025	phosphatidylinositol-3,5-bisphosphate binding
      1 GO:0080167	response to karrikin
      1 GO:0080181	lateral root branching
      1 GO:0090036	regulation of protein kinase C signaling
      1 GO:0090038	negative regulation of protein kinase C signaling
      1 GO:0090049	regulation of cell migration involved in sprouting angiogenesis
      1 GO:0090050	positive regulation of cell migration involved in sprouting angiogenesis
      1 GO:0090066	regulation of anatomical structure size
      1 GO:0090068	positive regulation of cell cycle process
      1 GO:0090085	regulation of protein deubiquitination
      1 GO:0090088	regulation of oligopeptide transport
      1 GO:0090089	regulation of dipeptide transport
      1 GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
      1 GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
      1 GO:0090130	tissue migration
      1 GO:0090132	epithelium migration
      1 GO:0090156	cellular sphingolipid homeostasis
      1 GO:0090263	positive regulation of canonical Wnt signaling pathway
      1 GO:0090276	regulation of peptide hormone secretion
      1 GO:0090277	positive regulation of peptide hormone secretion
      1 GO:0090287	regulation of cellular response to growth factor stimulus
      1 GO:0090306	spindle assembly involved in meiosis
      1 GO:0090325	regulation of locomotion involved in locomotory behavior
      1 GO:0090326	positive regulation of locomotion involved in locomotory behavior
      1 GO:0090334	regulation of cell wall (1->3)-beta-D-glucan biosynthetic process
      1 GO:0090529	cell septum assembly
      1 GO:0090594	inflammatory response to wounding
      1 GO:0090596	sensory organ morphogenesis
      1 GO:0090615	mitochondrial mRNA processing
