      1 GO:0000018	regulation of DNA recombination
      1 GO:0019904	protein domain specific binding
      1 GO:0019905	syntaxin binding
      1 GO:0019985	translesion synthesis
      1 GO:0019988	charged-tRNA amino acid modification
      1 GO:0021537	telencephalon development
      1 GO:0021543	pallium development
      1 GO:0021695	cerebellar cortex development
      1 GO:0021987	cerebral cortex development
      1 GO:0022411	cellular component disassembly
      1 GO:0022413	reproductive process in single-celled organism
      1 GO:0022616	DNA strand elongation
      1 GO:0022618	ribonucleoprotein complex assembly
      1 GO:0022627	cytosolic small ribosomal subunit
      1 GO:0022803	passive transmembrane transporter activity
      1 GO:0022832	voltage-gated channel activity
      1 GO:0022836	gated channel activity
      1 GO:0022839	ion gated channel activity
      1 GO:0022900	electron transport chain
      1 GO:0022904	respiratory electron transport chain
      1 GO:0023014	signal transduction by protein phosphorylation
      1 GO:0030003	cellular cation homeostasis
      1 GO:0030029	actin filament-based process
      1 GO:0030091	protein repair
      1 GO:0030097	hemopoiesis
      1 GO:0030133	transport vesicle
      1 GO:0030134	COPII-coated ER to Golgi transport vesicle
      1 GO:0030135	coated vesicle
      1 GO:0030145	manganese ion binding
      1 GO:0030153	bacteriocin immunity
      1 GO:0030173	integral component of Golgi membrane
      1 GO:0030176	integral component of endoplasmic reticulum membrane
      1 GO:0030178	negative regulation of Wnt signaling pathway
      1 GO:0030233	deoxynucleotide transmembrane transporter activity
      1 GO:0030242	autophagy of peroxisome
      1 GO:0030302	deoxynucleotide transport
      1 GO:0030307	positive regulation of cell growth
      1 GO:0030332	cyclin binding
      1 GO:0030336	negative regulation of cell migration
      1 GO:0030426	growth cone
      1 GO:0030427	site of polarized growth
      1 GO:0030431	sleep
      1 GO:0030435	sporulation resulting in formation of a cellular spore
      1 GO:0030437	ascospore formation
      1 GO:0030447	filamentous growth
      1 GO:0030488	tRNA methylation
      1 GO:0030515	snoRNA binding
      1 GO:0030534	adult behavior
      1 GO:0030627	pre-mRNA 5'-splice site binding
      1 GO:0030667	secretory granule membrane
      1 GO:0030695	GTPase regulator activity
      1 GO:0030705	cytoskeleton-dependent intracellular transport
      1 GO:0030808	regulation of nucleotide biosynthetic process
      1 GO:0030810	positive regulation of nucleotide biosynthetic process
      1 GO:0030832	regulation of actin filament length
      1 GO:0030833	regulation of actin filament polymerization
      1 GO:0030838	positive regulation of actin filament polymerization
      1 GO:0030855	epithelial cell differentiation
      1 GO:0030856	regulation of epithelial cell differentiation
      1 GO:0030857	negative regulation of epithelial cell differentiation
      1 GO:0030867	rough endoplasmic reticulum membrane
      1 GO:0030879	mammary gland development
      1 GO:0030900	forebrain development
      1 GO:0030968	endoplasmic reticulum unfolded protein response
      1 GO:0030970	retrograde protein transport, ER to cytosol
      1 GO:0030974	thiamine pyrophosphate transmembrane transport
      1 GO:0030999	linear element assembly
      1 GO:0031000	response to caffeine
      1 GO:0031057	negative regulation of histone modification
      1 GO:0031060	regulation of histone methylation
      1 GO:0031062	positive regulation of histone methylation
      1 GO:0031098	stress-activated protein kinase signaling cascade
      1 GO:0031101	fin regeneration
      1 GO:0031109	microtubule polymerization or depolymerization
      1 GO:0031127	alpha-(1,2)-fucosyltransferase activity
      1 GO:0031201	SNARE complex
      1 GO:0031227	intrinsic component of endoplasmic reticulum membrane
      1 GO:0031228	intrinsic component of Golgi membrane
      1 GO:0031304	intrinsic component of mitochondrial inner membrane
      1 GO:0031305	integral component of mitochondrial inner membrane
      1 GO:0031310	intrinsic component of vacuolar membrane
      1 GO:0031345	negative regulation of cell projection organization
      1 GO:0031346	positive regulation of cell projection organization
      1 GO:0031348	negative regulation of defense response
      1 GO:0031349	positive regulation of defense response
      1 GO:0031371	ubiquitin conjugating enzyme complex
      1 GO:0031434	mitogen-activated protein kinase kinase binding
      1 GO:0031490	chromatin DNA binding
      1 GO:0031503	protein-containing complex localization
      1 GO:0031514	motile cilium
      1 GO:0031519	PcG protein complex
      1 GO:0031570	DNA integrity checkpoint
      1 GO:0031593	polyubiquitin modification-dependent protein binding
      1 GO:0031594	neuromuscular junction
      1 GO:0031640	killing of cells of other organism
      1 GO:0031647	regulation of protein stability
      1 GO:0031670	cellular response to nutrient
      1 GO:0031902	late endosome membrane
      1 GO:0031957	very long-chain fatty acid-CoA ligase activity
      1 GO:0031976	plastid thylakoid
      1 GO:0031977	thylakoid lumen
      1 GO:0031985	Golgi cisterna
      1 GO:0032040	small-subunit processome
      1 GO:0032088	negative regulation of NF-kappaB transcription factor activity
      1 GO:0032091	negative regulation of protein binding
      1 GO:0032131	alkylated DNA binding
      1 GO:0032147	activation of protein kinase activity
      1 GO:0032153	cell division site
      1 GO:0032231	regulation of actin filament bundle assembly
      1 GO:0032232	negative regulation of actin filament bundle assembly
      1 GO:0032271	regulation of protein polymerization
      1 GO:0032273	positive regulation of protein polymerization
      1 GO:0032299	ribonuclease H2 complex
      1 GO:0032364	oxygen homeostasis
      1 GO:0032368	regulation of lipid transport
      1 GO:0032388	positive regulation of intracellular transport
      1 GO:0032418	lysosome localization
      1 GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process
      1 GO:0032451	demethylase activity
      1 GO:0032456	endocytic recycling
      1 GO:0032496	response to lipopolysaccharide
      1 GO:0032505	reproduction of a single-celled organism
      1 GO:0032509	endosome transport via multivesicular body sorting pathway
      1 GO:0032510	endosome to lysosome transport via multivesicular body sorting pathway
      1 GO:0032527	protein exit from endoplasmic reticulum
      1 GO:0032535	regulation of cellular component size
      1 GO:0032588	trans-Golgi network membrane
      1 GO:0032592	integral component of mitochondrial membrane
      1 GO:0032642	regulation of chemokine production
      1 GO:0032722	positive regulation of chemokine production
      1 GO:0032763	regulation of mast cell cytokine production
      1 GO:0032764	negative regulation of mast cell cytokine production
      1 GO:0032784	regulation of DNA-templated transcription, elongation
      1 GO:0032785	negative regulation of DNA-templated transcription, elongation
      1 GO:0032872	regulation of stress-activated MAPK cascade
      1 GO:0032874	positive regulation of stress-activated MAPK cascade
      1 GO:0032875	regulation of DNA endoreduplication
      1 GO:0032878	regulation of establishment or maintenance of cell polarity
      1 GO:0032886	regulation of microtubule-based process
      1 GO:0032897	negative regulation of viral transcription
      1 GO:0032922	circadian regulation of gene expression
      1 GO:0032984	protein-containing complex disassembly
      1 GO:0032993	protein-DNA complex
      1 GO:0033003	regulation of mast cell activation
      1 GO:0033004	negative regulation of mast cell activation
      1 GO:0033006	regulation of mast cell activation involved in immune response
      1 GO:0033007	negative regulation of mast cell activation involved in immune response
      1 GO:0033015	tetrapyrrole catabolic process
      1 GO:0033119	negative regulation of RNA splicing
      1 GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway
      1 GO:0033146	regulation of intracellular estrogen receptor signaling pathway
      1 GO:0033157	regulation of intracellular protein transport
      1 GO:0033169	histone H3-K9 demethylation
      1 GO:0033218	amide binding
      1 GO:0033254	vacuolar transporter chaperone complex
      1 GO:0033273	response to vitamin
      1 GO:0033301	cell cycle comprising mitosis without cytokinesis
      1 GO:0033483	gas homeostasis
      1 GO:0033503	HULC complex
      1 GO:0033551	monopolin complex
      1 GO:0033553	rDNA heterochromatin
      1 GO:0033559	unsaturated fatty acid metabolic process
      1 GO:0033567	DNA replication, Okazaki fragment processing
      1 GO:0033591	response to L-ascorbic acid
      1 GO:0033692	cellular polysaccharide biosynthetic process
      1 GO:0033743	peptide-methionine (R)-S-oxide reductase activity
      1 GO:0033865	nucleoside bisphosphate metabolic process
      1 GO:0033866	nucleoside bisphosphate biosynthetic process
      1 GO:0033875	ribonucleoside bisphosphate metabolic process
      1 GO:0034011	L-cysteate sulfo-lyase activity
      1 GO:0034021	response to silicon dioxide
      1 GO:0034030	ribonucleoside bisphosphate biosynthetic process
      1 GO:0034032	purine nucleoside bisphosphate metabolic process
      1 GO:0034033	purine nucleoside bisphosphate biosynthetic process
      1 GO:0034067	protein localization to Golgi apparatus
      1 GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex
      1 GO:0034101	erythrocyte homeostasis
      1 GO:0034214	protein hexamerization
      1 GO:0034243	regulation of transcription elongation from RNA polymerase II promoter
      1 GO:0034244	negative regulation of transcription elongation from RNA polymerase II promoter
      1 GO:0034249	negative regulation of cellular amide metabolic process
      1 GO:0034284	response to monosaccharide
      1 GO:0034293	sexual sporulation
      1 GO:0034357	photosynthetic membrane
      1 GO:0034381	plasma lipoprotein particle clearance
      1 GO:0034383	low-density lipoprotein particle clearance
      1 GO:0034391	regulation of smooth muscle cell apoptotic process
      1 GO:0034393	positive regulation of smooth muscle cell apoptotic process
      1 GO:0034395	regulation of transcription from RNA polymerase II promoter in response to iron
      1 GO:0034455	t-UTP complex
      1 GO:0034471	ncRNA 5'-end processing
      1 GO:0034502	protein localization to chromosome
      1 GO:0034504	protein localization to nucleus
      1 GO:0034511	U3 snoRNA binding
      1 GO:0034605	cellular response to heat
      1 GO:0034620	cellular response to unfolded protein
      1 GO:0034637	cellular carbohydrate biosynthetic process
      1 GO:0034708	methyltransferase complex
      1 GO:0035066	positive regulation of histone acetylation
      1 GO:0035067	negative regulation of histone acetylation
      1 GO:0035094	response to nicotine
      1 GO:0035097	histone methyltransferase complex
      1 GO:0035098	ESC/E(Z) complex
      1 GO:0035186	syncytial blastoderm mitotic cell cycle
      1 GO:0035206	regulation of hemocyte proliferation
      1 GO:0035265	organ growth
      1 GO:0035315	hair cell differentiation
      1 GO:0035316	non-sensory hair organization
      1 GO:0035317	imaginal disc-derived wing hair organization
      1 GO:0035336	long-chain fatty-acyl-CoA metabolic process
      1 GO:0035337	fatty-acyl-CoA metabolic process
      1 GO:0035338	long-chain fatty-acyl-CoA biosynthetic process
      1 GO:0035368	selenocysteine insertion sequence binding
      1 GO:0035383	thioester metabolic process
      1 GO:0035384	thioester biosynthetic process
      1 GO:0035461	vitamin transmembrane transport
      1 GO:0035510	DNA dealkylation
      1 GO:0035513	oxidative RNA demethylation
      1 GO:0035515	oxidative RNA demethylase activity
      1 GO:0035523	protein K29-linked deubiquitination
      1 GO:0035553	oxidative single-stranded RNA demethylation
      1 GO:0035579	specific granule membrane
      1 GO:0035722	interleukin-12-mediated signaling pathway
      1 GO:0035770	ribonucleoprotein granule
      1 GO:0035800	deubiquitinase activator activity
      1 GO:0035861	site of double-strand break
      1 GO:0035871	protein K11-linked deubiquitination
      1 GO:0035900	response to isolation stress
      1 GO:0035902	response to immobilization stress
      1 GO:0035983	response to trichostatin A
      1 GO:0035984	cellular response to trichostatin A
      1 GO:0036002	pre-mRNA binding
      1 GO:0036065	fucosylation
      1 GO:0036126	sperm flagellum
      1 GO:0036176	response to neutral pH
      1 GO:0036177	filamentous growth of a population of unicellular organisms in response to pH
      1 GO:0036178	filamentous growth of a population of unicellular organisms in response to neutral pH
      1 GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus
      1 GO:0036230	granulocyte activation
      1 GO:0036244	cellular response to neutral pH
      1 GO:0036270	response to diuretic
      1 GO:0036294	cellular response to decreased oxygen levels
      1 GO:0036296	response to increased oxygen levels
      1 GO:0036333	hepatocyte homeostasis
      1 GO:0036435	K48-linked polyubiquitin modification-dependent protein binding
      1 GO:0036464	cytoplasmic ribonucleoprotein granule
      1 GO:0036465	synaptic vesicle recycling
      1 GO:0036473	cell death in response to oxidative stress
      1 GO:0036513	Derlin-1 retrotranslocation complex
      1 GO:0038001	paracrine signaling
      1 GO:0038083	peptidyl-tyrosine autophosphorylation
      1 GO:0038171	cannabinoid signaling pathway
      1 GO:0040013	negative regulation of locomotion
      1 GO:0040020	regulation of meiotic nuclear division
      1 GO:0040029	regulation of gene expression, epigenetic
      1 GO:0042023	DNA endoreduplication
      1 GO:0042035	regulation of cytokine biosynthetic process
      1 GO:0042054	histone methyltransferase activity
      1 GO:0042067	establishment of ommatidial planar polarity
      1 GO:0042108	positive regulation of cytokine biosynthetic process
      1 GO:0042119	neutrophil activation
      1 GO:0042133	neurotransmitter metabolic process
      1 GO:0042136	neurotransmitter biosynthetic process
      1 GO:0042157	lipoprotein metabolic process
      1 GO:0042158	lipoprotein biosynthetic process
      1 GO:0042167	heme catabolic process
      1 GO:0042168	heme metabolic process
      1 GO:0042177	negative regulation of protein catabolic process
      1 GO:0042220	response to cocaine
      1 GO:0042246	tissue regeneration
      1 GO:0042255	ribosome assembly
      1 GO:0042277	peptide binding
      1 GO:0042287	MHC protein binding
      1 GO:0042288	MHC class I protein binding
      1 GO:0042306	regulation of protein import into nucleus
      1 GO:0042311	vasodilation
      1 GO:0042326	negative regulation of phosphorylation
      1 GO:0042364	water-soluble vitamin biosynthetic process
      1 GO:0042393	histone binding
      1 GO:0042440	pigment metabolic process
      1 GO:0042546	cell wall biogenesis
      1 GO:0042548	regulation of photosynthesis, light reaction
      1 GO:0042581	specific granule
      1 GO:0042645	mitochondrial nucleoid
      1 GO:0042651	thylakoid membrane
      1 GO:0042723	thiamine-containing compound metabolic process
      1 GO:0042726	flavin-containing compound metabolic process
      1 GO:0042728	flavin-containing compound catabolic process
      1 GO:0042737	drug catabolic process
      1 GO:0042744	hydrogen peroxide catabolic process
      1 GO:0042770	signal transduction in response to DNA damage
      1 GO:0042887	amide transmembrane transporter activity
      1 GO:0042975	peroxisome proliferator activated receptor binding
      1 GO:0043021	ribonucleoprotein complex binding
      1 GO:0043086	negative regulation of catalytic activity
      1 GO:0043087	regulation of GTPase activity
      1 GO:0043094	cellular metabolic compound salvage
      1 GO:0043102	amino acid salvage
      1 GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling
      1 GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling
      1 GO:0043137	DNA replication, removal of RNA primer
      1 GO:0043157	response to cation stress
      1 GO:0043195	terminal bouton
      1 GO:0043196	varicosity
      1 GO:0043198	dendritic shaft
      1 GO:0043204	perikaryon
      1 GO:0043248	proteasome assembly
      1 GO:0043266	regulation of potassium ion transport
      1 GO:0043268	positive regulation of potassium ion transport
      1 GO:0043269	regulation of ion transport
      1 GO:0043270	positive regulation of ion transport
      1 GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process
      1 GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process
      1 GO:0043299	leukocyte degranulation
      1 GO:0043300	regulation of leukocyte degranulation
      1 GO:0043301	negative regulation of leukocyte degranulation
      1 GO:0043304	regulation of mast cell degranulation
      1 GO:0043305	negative regulation of mast cell degranulation
      1 GO:0043312	neutrophil degranulation
      1 GO:0043392	negative regulation of DNA binding
      1 GO:0043399	tRNA A64-2'-O-ribosylphosphate transferase activity
      1 GO:0043403	skeletal muscle tissue regeneration
      1 GO:0043419	urea catabolic process
      1 GO:0043457	regulation of cellular respiration
      1 GO:0043484	regulation of RNA splicing
      1 GO:0043506	regulation of JUN kinase activity
      1 GO:0043507	positive regulation of JUN kinase activity
      1 GO:0043531	ADP binding
      1 GO:0043535	regulation of blood vessel endothelial cell migration
      1 GO:0043536	positive regulation of blood vessel endothelial cell migration
      1 GO:0043543	protein acylation
      1 GO:0043547	positive regulation of GTPase activity
      1 GO:0043562	cellular response to nitrogen levels
      1 GO:0043605	cellular amide catabolic process
      1 GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress
      1 GO:0043619	regulation of transcription from RNA polymerase II promoter in response to oxidative stress
      1 GO:0043620	regulation of DNA-templated transcription in response to stress
      1 GO:0043627	response to estrogen
      1 GO:0043649	dicarboxylic acid catabolic process
      1 GO:0043679	axon terminus
      1 GO:0043733	DNA-3-methylbase glycosylase activity
      1 GO:0043902	positive regulation of multi-organism process
      1 GO:0043916	DNA-7-methylguanine glycosylase activity
      1 GO:0043921	modulation by host of viral transcription
      1 GO:0043922	negative regulation by host of viral transcription
      1 GO:0043934	sporulation
      1 GO:0043935	sexual sporulation resulting in formation of a cellular spore
      1 GO:0044003	modulation by symbiont of host process
      1 GO:0044036	cell wall macromolecule metabolic process
      1 GO:0044042	glucan metabolic process
      1 GO:0044057	regulation of system process
      1 GO:0044060	regulation of endocrine process
      1 GO:0044088	regulation of vacuole organization
      1 GO:0044182	filamentous growth of a population of unicellular organisms
      1 GO:0044242	cellular lipid catabolic process
      1 GO:0044264	cellular polysaccharide metabolic process
      1 GO:0044275	cellular carbohydrate catabolic process
      1 GO:0044304	main axon
      1 GO:0044306	neuron projection terminus
      1 GO:0044364	disruption of cells of other organism
      1 GO:0044380	protein localization to cytoskeleton
      1 GO:0044414	suppression of host defenses by symbiont
      1 GO:0044441	obsolete ciliary part
      1 GO:0044452	obsolete nucleolar part
      1 GO:0044524	protein sulfhydration
      1 GO:0044540	L-cystine L-cysteine-lyase (deaminating)
      1 GO:0044550	secondary metabolite biosynthetic process
      1 GO:0044728	DNA methylation or demethylation
      1 GO:0044782	cilium organization
      1 GO:0044786	cell cycle DNA replication
      1 GO:0044843	cell cycle G1/S phase transition
      1 GO:0044853	plasma membrane raft
      1 GO:0045007	depurination
      1 GO:0045017	glycerolipid biosynthetic process
      1 GO:0045022	early endosome to late endosome transport
      1 GO:0045055	regulated exocytosis
      1 GO:0045088	regulation of innate immune response
      1 GO:0045120	pronucleus
      1 GO:0045121	membrane raft
      1 GO:0045132	meiotic chromosome segregation
      1 GO:0045143	homologous chromosome segregation
      1 GO:0045211	postsynaptic membrane
      1 GO:0045321	leukocyte activation
      1 GO:0045428	regulation of nitric oxide biosynthetic process
      1 GO:0045429	positive regulation of nitric oxide biosynthetic process
      1 GO:0045448	mitotic cell cycle, embryonic
      1 GO:0045471	response to ethanol
      1 GO:0045475	locomotor rhythm
      1 GO:0045598	regulation of fat cell differentiation
      1 GO:0045599	negative regulation of fat cell differentiation
      1 GO:0045604	regulation of epidermal cell differentiation
      1 GO:0045605	negative regulation of epidermal cell differentiation
      1 GO:0045665	negative regulation of neuron differentiation
      1 GO:0045682	regulation of epidermis development
      1 GO:0045683	negative regulation of epidermis development
      1 GO:0045765	regulation of angiogenesis
      1 GO:0045766	positive regulation of angiogenesis
      1 GO:0045776	negative regulation of blood pressure
      1 GO:0045787	positive regulation of cell cycle
      1 GO:0045807	positive regulation of endocytosis
      1 GO:0045814	negative regulation of gene expression, epigenetic
      1 GO:0045824	negative regulation of innate immune response
      1 GO:0045836	positive regulation of meiotic nuclear division
      1 GO:0045838	positive regulation of membrane potential
      1 GO:0045839	negative regulation of mitotic nuclear division
      1 GO:0045861	negative regulation of proteolysis
      1 GO:0045901	positive regulation of translational elongation
      1 GO:0045911	positive regulation of DNA recombination
      1 GO:0045920	negative regulation of exocytosis
      1 GO:0045927	positive regulation of growth
      1 GO:0045936	negative regulation of phosphate metabolic process
      1 GO:0045943	positive regulation of transcription by RNA polymerase I
      1 GO:0045981	positive regulation of nucleotide metabolic process
      1 GO:0046034	ATP metabolic process
      1 GO:0046040	IMP metabolic process
      1 GO:0046112	nucleobase biosynthetic process
      1 GO:0046134	pyrimidine nucleoside biosynthetic process
      1 GO:0046149	pigment catabolic process
      1 GO:0046164	alcohol catabolic process
      1 GO:0046167	glycerol-3-phosphate biosynthetic process
      1 GO:0046174	polyol catabolic process
      1 GO:0046328	regulation of JNK cascade
      1 GO:0046330	positive regulation of JNK cascade
      1 GO:0046340	diacylglycerol catabolic process
      1 GO:0046434	organophosphate catabolic process
      1 GO:0046451	diaminopimelate metabolic process
      1 GO:0046452	dihydrofolate metabolic process
      1 GO:0046460	neutral lipid biosynthetic process
      1 GO:0046461	neutral lipid catabolic process
      1 GO:0046463	acylglycerol biosynthetic process
      1 GO:0046464	acylglycerol catabolic process
      1 GO:0046467	membrane lipid biosynthetic process
      1 GO:0046496	nicotinamide nucleotide metabolic process
      1 GO:0046503	glycerolipid catabolic process
      1 GO:0046505	sulfolipid metabolic process
      1 GO:0046506	sulfolipid biosynthetic process
      1 GO:0046522	S-methyl-5-thioribose kinase activity
      1 GO:0046625	sphingolipid binding
      1 GO:0046653	tetrahydrofolate metabolic process
      1 GO:0046654	tetrahydrofolate biosynthetic process
      1 GO:0046685	response to arsenic-containing substance
      1 GO:0046785	microtubule polymerization
      1 GO:0046822	regulation of nucleocytoplasmic transport
      1 GO:0046883	regulation of hormone secretion
      1 GO:0046900	tetrahydrofolylpolyglutamate metabolic process
      1 GO:0046901	tetrahydrofolylpolyglutamate biosynthetic process
      1 GO:0046916	cellular transition metal ion homeostasis
      1 GO:0046949	fatty-acyl-CoA biosynthetic process
      1 GO:0046974	histone methyltransferase activity (H3-K9 specific)
      1 GO:0046976	histone methyltransferase activity (H3-K27 specific)
      1 GO:0047372	acylglycerol lipase activity
      1 GO:0047874	dolichyldiphosphatase activity
      1 GO:0047982	homocysteine desulfhydrase activity
      1 GO:0048024	regulation of mRNA splicing, via spliceosome
      1 GO:0048025	negative regulation of mRNA splicing, via spliceosome
      1 GO:0048038	quinone binding
      1 GO:0048039	ubiquinone binding
      1 GO:0048145	regulation of fibroblast proliferation
      1 GO:0048147	negative regulation of fibroblast proliferation
      1 GO:0048148	behavioral response to cocaine
      1 GO:0048194	Golgi vesicle budding
      1 GO:0048199	vesicle targeting, to, from or within Golgi
      1 GO:0048207	vesicle targeting, rough ER to cis-Golgi
      1 GO:0048208	COPII vesicle coating
      1 GO:0048259	regulation of receptor-mediated endocytosis
      1 GO:0048260	positive regulation of receptor-mediated endocytosis
      1 GO:0048278	vesicle docking
      1 GO:0048280	vesicle fusion with Golgi apparatus
      1 GO:0048311	mitochondrion distribution
      1 GO:0048312	intracellular distribution of mitochondria
      1 GO:0048385	regulation of retinoic acid receptor signaling pathway
      1 GO:0048387	negative regulation of retinoic acid receptor signaling pathway
      1 GO:0048437	floral organ development
      1 GO:0048488	synaptic vesicle endocytosis
      1 GO:0048489	synaptic vesicle transport
      1 GO:0048509	regulation of meristem development
      1 GO:0048511	rhythmic process
      1 GO:0048512	circadian behavior
      1 GO:0048514	blood vessel morphogenesis
      1 GO:0048520	positive regulation of behavior
      1 GO:0048524	positive regulation of viral process
      1 GO:0048525	negative regulation of viral process
      1 GO:0048531	beta-1,3-galactosyltransferase activity
      1 GO:0048534	hematopoietic or lymphoid organ development
      1 GO:0048566	embryonic digestive tract development
      1 GO:0048568	embryonic organ development
      1 GO:0048581	negative regulation of post-embryonic development
      1 GO:0048582	positive regulation of post-embryonic development
      1 GO:0048592	eye morphogenesis
      1 GO:0048611	embryonic ectodermal digestive tract development
      1 GO:0048661	positive regulation of smooth muscle cell proliferation
      1 GO:0048675	axon extension
      1 GO:0048678	response to axon injury
      1 GO:0048749	compound eye development
      1 GO:0048759	xylem vessel member cell differentiation
      1 GO:0048773	erythrophore differentiation
      1 GO:0048814	regulation of dendrite morphogenesis
      1 GO:0048825	cotyledon development
      1 GO:0048831	regulation of shoot system development
      1 GO:0048846	axon extension involved in axon guidance
      1 GO:0048868	pollen tube development
      1 GO:0048870	cell motility
      1 GO:0048871	multicellular organismal homeostasis
      1 GO:0050373	UDP-arabinose 4-epimerase activity
      1 GO:0050434	positive regulation of viral transcription
      1 GO:0050657	nucleic acid transport
      1 GO:0050658	RNA transport
      1 GO:0050667	homocysteine metabolic process
      1 GO:0050673	epithelial cell proliferation
      1 GO:0050678	regulation of epithelial cell proliferation
      1 GO:0050679	positive regulation of epithelial cell proliferation
      1 GO:0050684	regulation of mRNA processing
      1 GO:0050686	negative regulation of mRNA processing
      1 GO:0050768	negative regulation of neurogenesis
      1 GO:0050774	negative regulation of dendrite morphogenesis
      1 GO:0050795	regulation of behavior
      1 GO:0050803	regulation of synapse structure or activity
      1 GO:0050807	regulation of synapse organization
      1 GO:0050808	synapse organization
      1 GO:0050821	protein stabilization
      1 GO:0050829	defense response to Gram-negative bacterium
      1 GO:0050865	regulation of cell activation
      1 GO:0050866	negative regulation of cell activation
      1 GO:0050877	nervous system process
      1 GO:0050878	regulation of body fluid levels
      1 GO:0050931	pigment cell differentiation
      1 GO:0051019	mitogen-activated protein kinase binding
      1 GO:0051028	mRNA transport
      1 GO:0051048	negative regulation of secretion
      1 GO:0051054	positive regulation of DNA metabolic process
      1 GO:0051091	positive regulation of DNA-binding transcription factor activity
      1 GO:0051092	positive regulation of NF-kappaB transcription factor activity
      1 GO:0051101	regulation of DNA binding
      1 GO:0051148	negative regulation of muscle cell differentiation
      1 GO:0051153	regulation of striated muscle cell differentiation
      1 GO:0051154	negative regulation of striated muscle cell differentiation
      1 GO:0051168	nuclear export
      1 GO:0051169	nuclear transport
      1 GO:0051180	vitamin transport
      1 GO:0051213	dioxygenase activity
      1 GO:0051223	regulation of protein transport
      1 GO:0051225	spindle assembly
      1 GO:0051236	establishment of RNA localization
      1 GO:0051258	protein polymerization
      1 GO:0051271	negative regulation of cellular component movement
      1 GO:0051302	regulation of cell division
      1 GO:0051316	attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation
      1 GO:0051348	negative regulation of transferase activity
      1 GO:0051403	stress-activated MAPK cascade
      1 GO:0051438	regulation of ubiquitin-protein transferase activity
      1 GO:0051444	negative regulation of ubiquitin-protein transferase activity
      1 GO:0051445	regulation of meiotic cell cycle
      1 GO:0051446	positive regulation of meiotic cell cycle
      1 GO:0051455	monopolar spindle attachment to meiosis I kinetochore
      1 GO:0051494	negative regulation of cytoskeleton organization
      1 GO:0051495	positive regulation of cytoskeleton organization
      1 GO:0051567	histone H3-K9 methylation
      1 GO:0051602	response to electrical stimulus
      1 GO:0051645	Golgi localization
      1 GO:0051646	mitochondrion localization
      1 GO:0051674	localization of cell
      1 GO:0051683	establishment of Golgi localization
      1 GO:0051701	interaction with host
      1 GO:0051702	interaction with symbiont
      1 GO:0051781	positive regulation of cell division
      1 GO:0051784	negative regulation of nuclear division
      1 GO:0051785	positive regulation of nuclear division
      1 GO:0051788	response to misfolded protein
      1 GO:0051851	modulation by host of symbiont process
      1 GO:0051961	negative regulation of nervous system development
      1 GO:0052031	modulation by symbiont of host defense response
      1 GO:0052167	modulation by symbiont of host innate immune response
      1 GO:0052170	suppression by symbiont of host innate immune response
      1 GO:0052173	response to defenses of other organism
      1 GO:0052200	response to host defenses
      1 GO:0052312	modulation of transcription in other organism involved in symbiotic interaction
      1 GO:0052472	modulation by host of symbiont transcription
      1 GO:0052547	regulation of peptidase activity
      1 GO:0052548	regulation of endopeptidase activity
      1 GO:0052553	modulation by symbiont of host immune response
      1 GO:0052562	suppression by symbiont of host immune response
      1 GO:0052572	response to host immune response
      1 GO:0052646	alditol phosphate metabolic process
      1 GO:0052820	DNA-1,N6-ethenoadenine N-glycosylase activity
      1 GO:0055037	recycling endosome
      1 GO:0055088	lipid homeostasis
      1 GO:0055093	response to hyperoxia
      1 GO:0055105	ubiquitin-protein transferase inhibitor activity
      1 GO:0055106	ubiquitin-protein transferase regulator activity
      1 GO:0060070	canonical Wnt signaling pathway
      1 GO:0060249	anatomical structure homeostasis
      1 GO:0060251	regulation of glial cell proliferation
      1 GO:0060252	positive regulation of glial cell proliferation
      1 GO:0060256	regulation of flocculation
      1 GO:0060257	negative regulation of flocculation
      1 GO:0060258	negative regulation of filamentous growth
      1 GO:0060271	cilium assembly
      1 GO:0060359	response to ammonium ion
      1 GO:0060589	nucleoside-triphosphatase regulator activity
      1 GO:0060628	regulation of ER to Golgi vesicle-mediated transport
      1 GO:0060631	regulation of meiosis I
      1 GO:0060903	positive regulation of meiosis I
      1 GO:0060918	auxin transport
      1 GO:0061062	regulation of nematode larval development
      1 GO:0061064	negative regulation of nematode larval development
      1 GO:0061134	peptidase regulator activity
      1 GO:0061174	type I terminal bouton
      1 GO:0061351	neural precursor cell proliferation
      1 GO:0061512	protein localization to cilium
      1 GO:0061630	ubiquitin protein ligase activity
      1 GO:0061647	histone H3-K9 modification
      1 GO:0061659	ubiquitin-like protein ligase activity
      1 GO:0061695	transferase complex, transferring phosphorus-containing groups
      1 GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
