      1 GO:0000001	mitochondrion inheritance
      1 GO:0043634	polyadenylation-dependent ncRNA catabolic process
      1 GO:0043647	inositol phosphate metabolic process
      1 GO:0043653	mitochondrial fragmentation involved in apoptotic process
      1 GO:0043656	host intracellular region
      1 GO:0043657	host cell
      1 GO:0043686	co-translational protein modification
      1 GO:0043708	cell adhesion involved in biofilm formation
      1 GO:0043709	cell adhesion involved in single-species biofilm formation
      1 GO:0043734	DNA-N1-methyladenine dioxygenase activity
      1 GO:0043921	modulation by host of viral transcription
      1 GO:0043923	positive regulation by host of viral transcription
      1 GO:0043937	regulation of sporulation
      1 GO:0043938	positive regulation of sporulation
      1 GO:0043940	regulation of sexual sporulation resulting in formation of a cellular spore
      1 GO:0043941	positive regulation of sexual sporulation resulting in formation of a cellular spore
      1 GO:0043968	histone H2A acetylation
      1 GO:0043970	histone H3-K9 acetylation
      1 GO:0043974	histone H3-K27 acetylation
      1 GO:0044058	regulation of digestive system process
      1 GO:0044062	regulation of excretion
      1 GO:0044065	regulation of respiratory system process
      1 GO:0044073	modulation by symbiont of host translation
      1 GO:0044091	membrane biogenesis
      1 GO:0044106	cellular amine metabolic process
      1 GO:0044109	cellular alcohol catabolic process
      1 GO:0044110	growth involved in symbiotic interaction
      1 GO:0044111	development involved in symbiotic interaction
      1 GO:0044114	development of symbiont in host
      1 GO:0044115	development of symbiont involved in interaction with host
      1 GO:0044117	growth of symbiont in host
      1 GO:0044119	growth of symbiont in host cell
      1 GO:0044207	translation initiation ternary complex
      1 GO:0044215	obsolete other organism
      1 GO:0044216	other organism cell
      1 GO:0044217	other organism part
      1 GO:0044233	mitochondria-associated endoplasmic reticulum membrane
      1 GO:0044304	main axon
      1 GO:0044346	fibroblast apoptotic process
      1 GO:0044359	modulation of molecular function in other organism
      1 GO:0044362	negative regulation of molecular function in other organism
      1 GO:0044381	glucose import in response to insulin stimulus
      1 GO:0044387	negative regulation of protein kinase activity by regulation of protein phosphorylation
      1 GO:0044388	small protein activating enzyme binding
      1 GO:0044414	suppression of host defenses by symbiont
      1 GO:0044416	induction by symbiont of host defense response
      1 GO:0044447	obsolete axoneme part
      1 GO:0044453	obsolete nuclear membrane part
      1 GO:0044501	modulation of signal transduction in other organism
      1 GO:0044530	supraspliceosomal complex
      1 GO:0044572	[4Fe-4S] cluster assembly
      1 GO:0044604	ATPase-coupled phytochelatin transmembrane transporter activity
      1 GO:0044715	8-oxo-dGDP phosphatase activity
      1 GO:0044719	regulation of imaginal disc-derived wing size
      1 GO:0044732	mitotic spindle pole body
      1 GO:0044754	autolysosome
      1 GO:0044766	multi-organism transport
      1 GO:0044771	meiotic cell cycle phase transition
      1 GO:0044778	meiotic DNA integrity checkpoint
      1 GO:0044784	metaphase/anaphase transition of cell cycle
      1 GO:0044785	metaphase/anaphase transition of meiotic cell cycle
      1 GO:0044789	modulation by host of viral release from host cell
      1 GO:0044791	positive regulation by host of viral release from host cell
      1 GO:0044821	meiotic telomere tethering at nuclear periphery
      1 GO:0044827	modulation by host of viral genome replication
      1 GO:0044829	positive regulation by host of viral genome replication
      1 GO:0044848	biological phase
      1 GO:0044849	estrous cycle
      1 GO:0044878	mitotic cytokinesis checkpoint
      1 GO:0044879	morphogenesis checkpoint
      1 GO:0045002	double-strand break repair via single-strand annealing
      1 GO:0045016	mitochondrial magnesium ion transmembrane transport
      1 GO:0045026	plasma membrane fusion
      1 GO:0045033	peroxisome inheritance
      1 GO:0045039	protein insertion into mitochondrial inner membrane
      1 GO:0045041	protein import into mitochondrial intermembrane space
      1 GO:0045053	protein retention in Golgi apparatus
      1 GO:0045056	transcytosis
      1 GO:0045117	azole transmembrane transport
      1 GO:0045120	pronucleus
      1 GO:0045129	NAD-independent histone deacetylase activity
      1 GO:0045141	meiotic telomere clustering
      1 GO:0045144	meiotic sister chromatid segregation
      1 GO:0045153	electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity
      1 GO:0045168	cell-cell signaling involved in cell fate commitment
      1 GO:0045175	basal protein localization
      1 GO:0045187	regulation of circadian sleep/wake cycle, sleep
      1 GO:0045214	sarcomere organization
      1 GO:0045226	extracellular polysaccharide biosynthetic process
      1 GO:0045227	capsule polysaccharide biosynthetic process
      1 GO:0045230	capsule organization
      1 GO:0045257	succinate dehydrogenase complex (ubiquinone)
      1 GO:0045267	proton-transporting ATP synthase, catalytic core
      1 GO:0045269	proton-transporting ATP synthase, central stalk
      1 GO:0045275	respiratory chain complex III
      1 GO:0045281	succinate dehydrogenase complex
      1 GO:0045283	fumarate reductase complex
      1 GO:0045300	acyl-[acyl-carrier-protein] desaturase activity
      1 GO:0045332	phospholipid translocation
      1 GO:0045337	farnesyl diphosphate biosynthetic process
      1 GO:0045445	myoblast differentiation
      1 GO:0045451	pole plasm oskar mRNA localization
      1 GO:0045455	ecdysteroid metabolic process
      1 GO:0045463	R8 cell development
      1 GO:0045465	R8 cell differentiation
      1 GO:0045466	R7 cell differentiation
      1 GO:0045470	R8 cell-mediated photoreceptor organization
      1 GO:0045472	response to ether
      1 GO:0045505	dynein intermediate chain binding
      1 GO:0045598	regulation of fat cell differentiation
      1 GO:0045667	regulation of osteoblast differentiation
      1 GO:0045669	positive regulation of osteoblast differentiation
      1 GO:0045703	ketoreductase activity
      1 GO:0045723	positive regulation of fatty acid biosynthetic process
      1 GO:0045733	acetate catabolic process
      1 GO:0045740	positive regulation of DNA replication
      1 GO:0045743	positive regulation of fibroblast growth factor receptor signaling pathway
      1 GO:0045744	negative regulation of G protein-coupled receptor signaling pathway
      1 GO:0045764	positive regulation of cellular amino acid metabolic process
      1 GO:0045773	positive regulation of axon extension
      1 GO:0045778	positive regulation of ossification
      1 GO:0045792	negative regulation of cell size
      1 GO:0045793	positive regulation of cell size
      1 GO:0045799	positive regulation of chromatin assembly or disassembly
      1 GO:0045806	negative regulation of endocytosis
      1 GO:0045820	negative regulation of glycolytic process
      1 GO:0045821	positive regulation of glycolytic process
      1 GO:0045827	negative regulation of isoprenoid metabolic process
      1 GO:0045828	positive regulation of isoprenoid metabolic process
      1 GO:0045843	negative regulation of striated muscle tissue development
      1 GO:0045844	positive regulation of striated muscle tissue development
      1 GO:0045856	positive regulation of pole plasm oskar mRNA localization
      1 GO:0045875	negative regulation of sister chromatid cohesion
      1 GO:0045880	positive regulation of smoothened signaling pathway
      1 GO:0045881	positive regulation of sporulation resulting in formation of a cellular spore
      1 GO:0045886	negative regulation of synaptic growth at neuromuscular junction
      1 GO:0045900	negative regulation of translational elongation
      1 GO:0045905	positive regulation of translational termination
      1 GO:0045910	negative regulation of DNA recombination
      1 GO:0045914	negative regulation of catecholamine metabolic process
      1 GO:0045919	positive regulation of cytolysis
      1 GO:0045920	negative regulation of exocytosis
      1 GO:0045963	negative regulation of dopamine metabolic process
      1 GO:0045966	positive regulation of ecdysteroid metabolic process
      1 GO:0045974	regulation of translation, ncRNA-mediated
      1 GO:0045977	positive regulation of mitotic cell cycle, embryonic
      1 GO:0045998	positive regulation of ecdysteroid biosynthetic process
      1 GO:0046011	regulation of oskar mRNA translation
      1 GO:0046033	AMP metabolic process
      1 GO:0046037	GMP metabolic process
      1 GO:0046040	IMP metabolic process
      1 GO:0046041	ITP metabolic process
      1 GO:0046051	UTP metabolic process
      1 GO:0046060	dATP metabolic process
      1 GO:0046068	cGMP metabolic process
      1 GO:0046072	dTDP metabolic process
      1 GO:0046073	dTMP metabolic process
      1 GO:0046075	dTTP metabolic process
      1 GO:0046077	dUDP metabolic process
      1 GO:0046078	dUMP metabolic process
      1 GO:0046129	purine ribonucleoside biosynthetic process
      1 GO:0046130	purine ribonucleoside catabolic process
      1 GO:0046131	pyrimidine ribonucleoside metabolic process
      1 GO:0046149	pigment catabolic process
      1 GO:0046160	heme a metabolic process
      1 GO:0046174	polyol catabolic process
      1 GO:0046210	nitric oxide catabolic process
      1 GO:0046256	2,4,6-trinitrotoluene catabolic process
      1 GO:0046260	trinitrotoluene catabolic process
      1 GO:0046263	nitrotoluene catabolic process
      1 GO:0046317	regulation of glucosylceramide biosynthetic process
      1 GO:0046318	negative regulation of glucosylceramide biosynthetic process
      1 GO:0046320	regulation of fatty acid oxidation
      1 GO:0046321	positive regulation of fatty acid oxidation
      1 GO:0046323	glucose import
      1 GO:0046331	lateral inhibition
      1 GO:0046337	phosphatidylethanolamine metabolic process
      1 GO:0046339	diacylglycerol metabolic process
      1 GO:0046340	diacylglycerol catabolic process
      1 GO:0046359	butyrate catabolic process
      1 GO:0046365	monosaccharide catabolic process
      1 GO:0046368	GDP-L-fucose metabolic process
      1 GO:0046379	extracellular polysaccharide metabolic process
      1 GO:0046383	dTDP-rhamnose metabolic process
      1 GO:0046417	chorismate metabolic process
      1 GO:0046421	methylisocitrate lyase activity
      1 GO:0046465	dolichyl diphosphate metabolic process
      1 GO:0046471	phosphatidylglycerol metabolic process
      1 GO:0046476	glycosylceramide biosynthetic process
      1 GO:0046482	para-aminobenzoic acid metabolic process
      1 GO:0046485	ether lipid metabolic process
      1 GO:0046504	glycerol ether biosynthetic process
      1 GO:0046523	S-methyl-5-thioribose-1-phosphate isomerase activity
      1 GO:0046528	imaginal disc fusion
      1 GO:0046529	imaginal disc fusion, thorax closure
      1 GO:0046579	positive regulation of Ras protein signal transduction
      1 GO:0046580	negative regulation of Ras protein signal transduction
      1 GO:0046600	negative regulation of centriole replication
      1 GO:0046601	positive regulation of centriole replication
      1 GO:0046602	regulation of mitotic centrosome separation
      1 GO:0046604	positive regulation of mitotic centrosome separation
      1 GO:0046606	negative regulation of centrosome cycle
      1 GO:0046618	drug export
      1 GO:0046625	sphingolipid binding
      1 GO:0046628	positive regulation of insulin receptor signaling pathway
      1 GO:0046631	alpha-beta T cell activation
      1 GO:0046632	alpha-beta T cell differentiation
      1 GO:0046636	negative regulation of alpha-beta T cell activation
      1 GO:0046651	lymphocyte proliferation
      1 GO:0046656	folic acid biosynthetic process
      1 GO:0046658	anchored component of plasma membrane
      1 GO:0046662	regulation of oviposition
      1 GO:0046666	retinal cell programmed cell death
      1 GO:0046667	compound eye retinal cell programmed cell death
      1 GO:0046668	regulation of retinal cell programmed cell death
      1 GO:0046669	regulation of compound eye retinal cell programmed cell death
      1 GO:0046695	SLIK (SAGA-like) complex
      1 GO:0046716	muscle cell cellular homeostasis
      1 GO:0046717	acid secretion
      1 GO:0046719	regulation by virus of viral protein levels in host cell
      1 GO:0046726	positive regulation by virus of viral protein levels in host cell
      1 GO:0046782	regulation of viral transcription
      1 GO:0046794	transport of virus
      1 GO:0046820	4-amino-4-deoxychorismate synthase activity
      1 GO:0046821	extrachromosomal DNA
      1 GO:0046823	negative regulation of nucleocytoplasmic transport
      1 GO:0046826	negative regulation of protein export from nucleus
      1 GO:0046833	positive regulation of RNA export from nucleus
      1 GO:0046835	carbohydrate phosphorylation
      1 GO:0046836	glycolipid transport
      1 GO:0046838	phosphorylated carbohydrate dephosphorylation
      1 GO:0046850	regulation of bone remodeling
      1 GO:0046855	inositol phosphate dephosphorylation
      1 GO:0046864	isoprenoid transport
      1 GO:0046865	terpenoid transport
      1 GO:0046899	nucleoside triphosphate adenylate kinase activity
      1 GO:0046905	phytoene synthase activity
      1 GO:0046906	tetrapyrrole binding
      1 GO:0046930	pore complex
      1 GO:0046950	cellular ketone body metabolic process
      1 GO:0046951	ketone body biosynthetic process
      1 GO:0046956	positive phototaxis
      1 GO:0046966	thyroid hormone receptor binding
      1 GO:0046969	NAD-dependent histone deacetylase activity (H3-K9 specific)
      1 GO:0047022	7-beta-hydroxysteroid dehydrogenase (NADP+) activity
      1 GO:0047035	testosterone dehydrogenase (NAD+) activity
      1 GO:0047134	protein-disulfide reductase activity
      1 GO:0047138	aquacobalamin reductase activity
      1 GO:0047555	3',5'-cyclic-GMP phosphodiesterase activity
      1 GO:0047560	3-dehydrosphinganine reductase activity
      1 GO:0047598	7-dehydrocholesterol reductase activity
      1 GO:0047661	amino-acid racemase activity
      1 GO:0047726	iron-cytochrome-c reductase activity
      1 GO:0047988	hydroxyacid-oxoacid transhydrogenase activity
      1 GO:0048003	antigen processing and presentation of lipid antigen via MHC class Ib
      1 GO:0048007	antigen processing and presentation, exogenous lipid antigen via MHC class Ib
      1 GO:0048013	ephrin receptor signaling pathway
      1 GO:0048018	receptor ligand activity
      1 GO:0048029	monosaccharide binding
      1 GO:0048047	mating behavior, sex discrimination
      1 GO:0048052	R1/R6 cell differentiation
      1 GO:0048072	compound eye pigmentation
      1 GO:0048102	autophagic cell death
      1 GO:0048133	male germ-line stem cell asymmetric division
      1 GO:0048145	regulation of fibroblast proliferation
      1 GO:0048146	positive regulation of fibroblast proliferation
      1 GO:0048149	behavioral response to ethanol
      1 GO:0048169	regulation of long-term neuronal synaptic plasticity
      1 GO:0048172	regulation of short-term neuronal synaptic plasticity
      1 GO:0048190	wing disc dorsal/ventral pattern formation
      1 GO:0048209	regulation of vesicle targeting, to, from or within Golgi
      1 GO:0048236	plant-type sporogenesis
      1 GO:0048246	macrophage chemotaxis
      1 GO:0048265	response to pain
      1 GO:0048286	lung alveolus development
      1 GO:0048308	organelle inheritance
      1 GO:0048309	endoplasmic reticulum inheritance
      1 GO:0048313	Golgi inheritance
      1 GO:0048332	mesoderm morphogenesis
      1 GO:0048339	paraxial mesoderm development
      1 GO:0048365	Rac GTPase binding
      1 GO:0048441	petal development
      1 GO:0048444	floral organ morphogenesis
      1 GO:0048446	petal morphogenesis
      1 GO:0048449	floral organ formation
      1 GO:0048451	petal formation
      1 GO:0048465	corolla development
      1 GO:0048467	gynoecium development
      1 GO:0048499	synaptic vesicle membrane organization
      1 GO:0048506	regulation of timing of meristematic phase transition
      1 GO:0048508	embryonic meristem development
      1 GO:0048509	regulation of meristem development
      1 GO:0048510	regulation of timing of transition from vegetative to reproductive phase
      1 GO:0048538	thymus development
      1 GO:0048557	embryonic digestive tract morphogenesis
      1 GO:0048566	embryonic digestive tract development
      1 GO:0048573	photoperiodism, flowering
      1 GO:0048625	myoblast fate commitment
      1 GO:0048635	negative regulation of muscle organ development
      1 GO:0048636	positive regulation of muscle organ development
      1 GO:0048641	regulation of skeletal muscle tissue development
      1 GO:0048643	positive regulation of skeletal muscle tissue development
      1 GO:0048644	muscle organ morphogenesis
      1 GO:0048653	anther development
      1 GO:0048679	regulation of axon regeneration
      1 GO:0048680	positive regulation of axon regeneration
      1 GO:0048701	embryonic cranial skeleton morphogenesis
      1 GO:0048703	embryonic viscerocranium morphogenesis
      1 GO:0048708	astrocyte differentiation
      1 GO:0048730	epidermis morphogenesis
      1 GO:0048733	sebaceous gland development
      1 GO:0048738	cardiac muscle tissue development
      1 GO:0048741	skeletal muscle fiber development
      1 GO:0048747	muscle fiber development
      1 GO:0048754	branching morphogenesis of an epithelial tube
      1 GO:0048786	presynaptic active zone
      1 GO:0048806	genitalia development
      1 GO:0048820	hair follicle maturation
      1 GO:0048826	cotyledon morphogenesis
      1 GO:0048829	root cap development
      1 GO:0048844	artery morphogenesis
      1 GO:0048873	homeostasis of number of cells within a tissue
      1 GO:0048880	sensory system development
      1 GO:0048881	mechanosensory lateral line system development
      1 GO:0048882	lateral line development
      1 GO:0048915	posterior lateral line system development
      1 GO:0048916	posterior lateral line development
      1 GO:0048925	lateral line system development
      1 GO:0050136	NADH dehydrogenase (quinone) activity
      1 GO:0050152	omega-amidase activity
      1 GO:0050225	pseudouridine kinase activity
      1 GO:0050373	UDP-arabinose 4-epimerase activity
      1 GO:0050377	UDP-glucose 4,6-dehydratase activity
      1 GO:0050434	positive regulation of viral transcription
      1 GO:0050435	amyloid-beta metabolic process
      1 GO:0050444	aquacobalamin reductase (NADPH) activity
      1 GO:0050542	icosanoid binding
      1 GO:0050577	GDP-L-fucose synthase activity
      1 GO:0050619	phytochromobilin:ferredoxin oxidoreductase activity
      1 GO:0050666	regulation of homocysteine metabolic process
      1 GO:0050668	positive regulation of homocysteine metabolic process
      1 GO:0050679	positive regulation of epithelial cell proliferation
      1 GO:0050680	negative regulation of epithelial cell proliferation
      1 GO:0050685	positive regulation of mRNA processing
      1 GO:0050688	regulation of defense response to virus
      1 GO:0050729	positive regulation of inflammatory response
      1 GO:0050730	regulation of peptidyl-tyrosine phosphorylation
      1 GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation
      1 GO:0050765	negative regulation of phagocytosis
      1 GO:0050766	positive regulation of phagocytosis
      1 GO:0050829	defense response to Gram-negative bacterium
      1 GO:0050830	defense response to Gram-positive bacterium
      1 GO:0050833	pyruvate transmembrane transporter activity
      1 GO:0050843	S-adenosylmethionine catabolic process
      1 GO:0050849	negative regulation of calcium-mediated signaling
      1 GO:0050864	regulation of B cell activation
      1 GO:0050866	negative regulation of cell activation
      1 GO:0050868	negative regulation of T cell activation
      1 GO:0050871	positive regulation of B cell activation
      1 GO:0050872	white fat cell differentiation
      1 GO:0050873	brown fat cell differentiation
      1 GO:0050879	multicellular organismal movement
      1 GO:0050881	musculoskeletal movement
      1 GO:0050885	neuromuscular process controlling balance
      1 GO:0050886	endocrine process
      1 GO:0050897	cobalt ion binding
      1 GO:0050906	detection of stimulus involved in sensory perception
      1 GO:0050907	detection of chemical stimulus involved in sensory perception
      1 GO:0050922	negative regulation of chemotaxis
      1 GO:0050935	iridophore differentiation
      1 GO:0050995	negative regulation of lipid catabolic process
      1 GO:0050999	regulation of nitric-oxide synthase activity
      1 GO:0051001	negative regulation of nitric-oxide synthase activity
      1 GO:0051030	snRNA transport
      1 GO:0051031	tRNA transport
      1 GO:0051036	regulation of endosome size
      1 GO:0051037	regulation of transcription involved in meiotic cell cycle
      1 GO:0051039	positive regulation of transcription involved in meiotic cell cycle
      1 GO:0051057	positive regulation of small GTPase mediated signal transduction
      1 GO:0051058	negative regulation of small GTPase mediated signal transduction
      1 GO:0051095	regulation of helicase activity
      1 GO:0051096	positive regulation of helicase activity
      1 GO:0051126	negative regulation of actin nucleation
      1 GO:0051131	chaperone-mediated protein complex assembly
      1 GO:0051136	regulation of NK T cell differentiation
      1 GO:0051138	positive regulation of NK T cell differentiation
      1 GO:0051139	metal ion:proton antiporter activity
      1 GO:0051145	smooth muscle cell differentiation
      1 GO:0051150	regulation of smooth muscle cell differentiation
      1 GO:0051151	negative regulation of smooth muscle cell differentiation
      1 GO:0051154	negative regulation of striated muscle cell differentiation
      1 GO:0051155	positive regulation of striated muscle cell differentiation
      1 GO:0051177	meiotic sister chromatid cohesion
      1 GO:0051198	obsolete negative regulation of coenzyme metabolic process
      1 GO:0051211	anisotropic cell growth
      1 GO:0051216	cartilage development
      1 GO:0051219	phosphoprotein binding
      1 GO:0051228	mitotic spindle disassembly
      1 GO:0051230	spindle disassembly
      1 GO:0051231	spindle elongation
      1 GO:0051238	sequestering of metal ion
      1 GO:0051250	negative regulation of lymphocyte activation
      1 GO:0051273	beta-glucan metabolic process
      1 GO:0051274	beta-glucan biosynthetic process
      1 GO:0051292	nuclear pore complex assembly
      1 GO:0051305	chromosome movement towards spindle pole
      1 GO:0051307	meiotic chromosome separation
      1 GO:0051311	meiotic metaphase plate congression
      1 GO:0051312	chromosome decondensation
      1 GO:0051315	attachment of mitotic spindle microtubules to kinetochore
      1 GO:0051316	attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation
      1 GO:0051339	regulation of lyase activity
      1 GO:0051340	regulation of ligase activity
      1 GO:0051350	negative regulation of lyase activity
      1 GO:0051351	positive regulation of ligase activity
      1 GO:0051354	negative regulation of oxidoreductase activity
      1 GO:0051365	cellular response to potassium ion starvation
      1 GO:0051382	kinetochore assembly
      1 GO:0051383	kinetochore organization
      1 GO:0051402	neuron apoptotic process
      1 GO:0051428	peptide hormone receptor binding
      1 GO:0051446	positive regulation of meiotic cell cycle
      1 GO:0051455	monopolar spindle attachment to meiosis I kinetochore
      1 GO:0051457	maintenance of protein location in nucleus
      1 GO:0051480	regulation of cytosolic calcium ion concentration
      1 GO:0051489	regulation of filopodium assembly
      1 GO:0051490	negative regulation of filopodium assembly
      1 GO:0051492	regulation of stress fiber assembly
      1 GO:0051510	regulation of unidimensional cell growth
      1 GO:0051512	positive regulation of unidimensional cell growth
      1 GO:0051516	regulation of bipolar cell growth
      1 GO:0051518	positive regulation of bipolar cell growth
      1 GO:0051519	activation of bipolar cell growth
      1 GO:0051523	cell growth mode switching, monopolar to bipolar
      1 GO:0051538	3 iron, 4 sulfur cluster binding
      1 GO:0051552	flavone metabolic process
      1 GO:0051553	flavone biosynthetic process
      1 GO:0051554	flavonol metabolic process
      1 GO:0051555	flavonol biosynthetic process
      1 GO:0051567	histone H3-K9 methylation
      1 GO:0051571	positive regulation of histone H3-K4 methylation
      1 GO:0051573	negative regulation of histone H3-K9 methylation
      1 GO:0051590	positive regulation of neurotransmitter transport
      1 GO:0051601	exocyst localization
      1 GO:0051647	nucleus localization
      1 GO:0051664	nuclear pore localization
      1 GO:0051666	actin cortical patch localization
      1 GO:0051697	protein delipidation
      1 GO:0051721	protein phosphatase 2A binding
      1 GO:0051723	protein methylesterase activity
      1 GO:0051776	detection of redox state
      1 GO:0051861	glycolipid binding
      1 GO:0051875	pigment granule localization
      1 GO:0051880	G-quadruplex DNA binding
      1 GO:0051893	regulation of focal adhesion assembly
      1 GO:0051895	negative regulation of focal adhesion assembly
      1 GO:0051904	pigment granule transport
      1 GO:0051905	establishment of pigment granule localization
      1 GO:0051928	positive regulation of calcium ion transport
      1 GO:0051930	regulation of sensory perception of pain
      1 GO:0051931	regulation of sensory perception
      1 GO:0051963	regulation of synapse assembly
      1 GO:0051964	negative regulation of synapse assembly
      1 GO:0051966	regulation of synaptic transmission, glutamatergic
      1 GO:0051968	positive regulation of synaptic transmission, glutamatergic
      1 GO:0051996	squalene synthase activity
      1 GO:0052026	modulation by symbiont of host transcription
      1 GO:0052027	modulation by symbiont of host signal transduction pathway
      1 GO:0052029	suppression by symbiont of host signal transduction pathway
      1 GO:0052033	obsolete pathogen-associated molecular pattern dependent induction by symbiont of host innate immune response
      1 GO:0052055	modulation by symbiont of host molecular function
      1 GO:0052056	negative regulation by symbiont of host molecular function
      1 GO:0052126	movement in host environment
      1 GO:0052128	positive energy taxis
      1 GO:0052169	obsolete pathogen-associated molecular pattern dependent modulation by symbiont of host innate immune response
      1 GO:0052170	suppression by symbiont of host innate immune response
      1 GO:0052192	obsolete movement in environment of other organism involved in symbiotic interaction
      1 GO:0052204	negative regulation of molecular function in other organism involved in symbiotic interaction
      1 GO:0052205	modulation of molecular function in other organism involved in symbiotic interaction
      1 GO:0052257	obsolete pathogen-associated molecular pattern dependent induction by organism of innate immune response of other organism involved in symbiotic interaction
      1 GO:0052308	obsolete pathogen-associated molecular pattern dependent modulation by organism of innate immune response in other organism involved in symbiotic interaction
      1 GO:0052472	modulation by host of symbiont transcription
      1 GO:0052562	suppression by symbiont of host immune response
      1 GO:0052717	tRNA-specific adenosine-34 deaminase activity
      1 GO:0052718	tRNA-specific adenosine-34 deaminase complex
      1 GO:0052803	imidazole-containing compound metabolic process
      1 GO:0052851	ferric-chelate reductase (NADPH) activity
      1 GO:0052886	9,9'-dicis-carotene:quinone oxidoreductase activity
      1 GO:0052889	9,9'-di-cis-zeta-carotene desaturation to 7,9,7',9'-tetra-cis-lycopene
      1 GO:0052890	oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor
      1 GO:0052909	18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity
      1 GO:0055006	cardiac cell development
      1 GO:0055008	cardiac muscle tissue morphogenesis
      1 GO:0055017	cardiac muscle tissue growth
      1 GO:0055024	regulation of cardiac muscle tissue development
      1 GO:0055026	negative regulation of cardiac muscle tissue development
      1 GO:0055038	recycling endosome membrane
      1 GO:0055056	D-glucose transmembrane transporter activity
      1 GO:0055069	zinc ion homeostasis
      1 GO:0055071	manganese ion homeostasis
      1 GO:0055075	potassium ion homeostasis
      1 GO:0055078	sodium ion homeostasis
      1 GO:0055079	aluminum ion homeostasis
      1 GO:0055092	sterol homeostasis
      1 GO:0055093	response to hyperoxia
      1 GO:0055115	entry into diapause
      1 GO:0055117	regulation of cardiac muscle contraction
      1 GO:0060001	minus-end directed microfilament motor activity
      1 GO:0060002	plus-end directed microfilament motor activity
      1 GO:0060008	Sertoli cell differentiation
      1 GO:0060009	Sertoli cell development
      1 GO:0060021	roof of mouth development
      1 GO:0060025	regulation of synaptic activity
      1 GO:0060037	pharyngeal system development
      1 GO:0060042	retina morphogenesis in camera-type eye
      1 GO:0060047	heart contraction
      1 GO:0060049	regulation of protein glycosylation
      1 GO:0060076	excitatory synapse
      1 GO:0060078	regulation of postsynaptic membrane potential
      1 GO:0060079	excitatory postsynaptic potential
      1 GO:0060113	inner ear receptor cell differentiation
      1 GO:0060117	auditory receptor cell development
      1 GO:0060119	inner ear receptor cell development
      1 GO:0060143	positive regulation of syncytium formation by plasma membrane fusion
      1 GO:0060149	negative regulation of posttranscriptional gene silencing
      1 GO:0060151	peroxisome localization
      1 GO:0060170	ciliary membrane
      1 GO:0060179	male mating behavior
      1 GO:0060188	regulation of protein desumoylation
      1 GO:0060191	regulation of lipase activity
      1 GO:0060192	negative regulation of lipase activity
      1 GO:0060218	hematopoietic stem cell differentiation
      1 GO:0060219	camera-type eye photoreceptor cell differentiation
      1 GO:0060282	positive regulation of oocyte development
      1 GO:0060285	cilium-dependent cell motility
      1 GO:0060294	cilium movement involved in cell motility
      1 GO:0060295	regulation of cilium movement involved in cell motility
      1 GO:0060296	regulation of cilium beat frequency involved in ciliary motility
      1 GO:0060317	cardiac epithelial to mesenchymal transition
      1 GO:0060318	definitive erythrocyte differentiation
      1 GO:0060337	type I interferon signaling pathway
      1 GO:0060343	trabecula formation
      1 GO:0060347	heart trabecula formation
      1 GO:0060348	bone development
      1 GO:0060378	regulation of brood size
      1 GO:0060382	regulation of DNA strand elongation
      1 GO:0060383	positive regulation of DNA strand elongation
      1 GO:0060398	regulation of growth hormone receptor signaling pathway
      1 GO:0060399	positive regulation of growth hormone receptor signaling pathway
      1 GO:0060401	cytosolic calcium ion transport
      1 GO:0060415	muscle tissue morphogenesis
      1 GO:0060416	response to growth hormone
      1 GO:0060419	heart growth
      1 GO:0060420	regulation of heart growth
      1 GO:0060425	lung morphogenesis
      1 GO:0060438	trachea development
      1 GO:0060446	branching involved in open tracheal system development
      1 GO:0060563	neuroepithelial cell differentiation
      1 GO:0060586	multicellular organismal iron ion homeostasis
      1 GO:0060606	tube closure
      1 GO:0060623	regulation of chromosome condensation
      1 GO:0060632	regulation of microtubule-based movement
      1 GO:0060688	regulation of morphogenesis of a branching structure
      1 GO:0060765	regulation of androgen receptor signaling pathway
      1 GO:0060766	negative regulation of androgen receptor signaling pathway
      1 GO:0060810	intracellular mRNA localization involved in pattern specification process
      1 GO:0060811	intracellular mRNA localization involved in anterior/posterior axis specification
      1 GO:0060904	regulation of protein folding in endoplasmic reticulum
      1 GO:0060935	cardiac fibroblast cell differentiation
      1 GO:0060936	cardiac fibroblast cell development
      1 GO:0060938	epicardium-derived cardiac fibroblast cell differentiation
      1 GO:0060939	epicardium-derived cardiac fibroblast cell development
      1 GO:0060940	epithelial to mesenchymal transition involved in cardiac fibroblast development
      1 GO:0060967	negative regulation of gene silencing by RNA
      1 GO:0060988	lipid tube assembly
      1 GO:0060990	lipid tube assembly involved in organelle fission
      1 GO:0060992	response to fungicide
      1 GO:0060996	dendritic spine development
      1 GO:0060997	dendritic spine morphogenesis
      1 GO:0061031	endodermal digestive tract morphogenesis
      1 GO:0061035	regulation of cartilage development
      1 GO:0061036	positive regulation of cartilage development
      1 GO:0061064	negative regulation of nematode larval development
      1 GO:0061066	positive regulation of dauer larval development
      1 GO:0061083	regulation of protein refolding
      1 GO:0061087	positive regulation of histone H3-K27 methylation
