      1 GO:0000027	ribosomal large subunit assembly
      1 GO:0019825	oxygen binding
      1 GO:0019843	rRNA binding
      1 GO:0019856	pyrimidine nucleobase biosynthetic process
      1 GO:0019900	kinase binding
      1 GO:0019901	protein kinase binding
      1 GO:0019905	syntaxin binding
      1 GO:0019985	translesion synthesis
      1 GO:0021549	cerebellum development
      1 GO:0021695	cerebellar cortex development
      1 GO:0022037	metencephalon development
      1 GO:0022406	membrane docking
      1 GO:0022604	regulation of cell morphogenesis
      1 GO:0022616	DNA strand elongation
      1 GO:0022627	cytosolic small ribosomal subunit
      1 GO:0022900	electron transport chain
      1 GO:0022904	respiratory electron transport chain
      1 GO:0023014	signal transduction by protein phosphorylation
      1 GO:0030004	cellular monovalent inorganic cation homeostasis
      1 GO:0030010	establishment of cell polarity
      1 GO:0030036	actin cytoskeleton organization
      1 GO:0030054	cell junction
      1 GO:0030097	hemopoiesis
      1 GO:0030100	regulation of endocytosis
      1 GO:0030111	regulation of Wnt signaling pathway
      1 GO:0030133	transport vesicle
      1 GO:0030139	endocytic vesicle
      1 GO:0030178	negative regulation of Wnt signaling pathway
      1 GO:0030234	enzyme regulator activity
      1 GO:0030261	chromosome condensation
      1 GO:0030283	testosterone dehydrogenase [NAD(P)] activity
      1 GO:0030312	external encapsulating structure
      1 GO:0030332	cyclin binding
      1 GO:0030336	negative regulation of cell migration
      1 GO:0030426	growth cone
      1 GO:0030427	site of polarized growth
      1 GO:0030447	filamentous growth
      1 GO:0030466	silent mating-type cassette heterochromatin assembly
      1 GO:0030490	maturation of SSU-rRNA
      1 GO:0030515	snoRNA binding
      1 GO:0030532	small nuclear ribonucleoprotein complex
      1 GO:0030534	adult behavior
      1 GO:0030539	male genitalia development
      1 GO:0030540	female genitalia development
      1 GO:0030554	adenyl nucleotide binding
      1 GO:0030587	sorocarp development
      1 GO:0030627	pre-mRNA 5'-splice site binding
      1 GO:0030629	U6 snRNA 3'-end binding
      1 GO:0030641	regulation of cellular pH
      1 GO:0030667	secretory granule membrane
      1 GO:0030686	90S preribosome
      1 GO:0030687	preribosome, large subunit precursor
      1 GO:0030705	cytoskeleton-dependent intracellular transport
      1 GO:0030856	regulation of epithelial cell differentiation
      1 GO:0030857	negative regulation of epithelial cell differentiation
      1 GO:0030867	rough endoplasmic reticulum membrane
      1 GO:0030902	hindbrain development
      1 GO:0030968	endoplasmic reticulum unfolded protein response
      1 GO:0030970	retrograde protein transport, ER to cytosol
      1 GO:0031000	response to caffeine
      1 GO:0031060	regulation of histone methylation
      1 GO:0031062	positive regulation of histone methylation
      1 GO:0031098	stress-activated protein kinase signaling cascade
      1 GO:0031101	fin regeneration
      1 GO:0031127	alpha-(1,2)-fucosyltransferase activity
      1 GO:0031201	SNARE complex
      1 GO:0031288	sorocarp morphogenesis
      1 GO:0031345	negative regulation of cell projection organization
      1 GO:0031346	positive regulation of cell projection organization
      1 GO:0031348	negative regulation of defense response
      1 GO:0031349	positive regulation of defense response
      1 GO:0031371	ubiquitin conjugating enzyme complex
      1 GO:0031434	mitogen-activated protein kinase kinase binding
      1 GO:0031490	chromatin DNA binding
      1 GO:0031514	motile cilium
      1 GO:0031519	PcG protein complex
      1 GO:0031593	polyubiquitin modification-dependent protein binding
      1 GO:0031594	neuromuscular junction
      1 GO:0031640	killing of cells of other organism
      1 GO:0031647	regulation of protein stability
      1 GO:0031670	cellular response to nutrient
      1 GO:0031902	late endosome membrane
      1 GO:0031929	TOR signaling
      1 GO:0031957	very long-chain fatty acid-CoA ligase activity
      1 GO:0031970	organelle envelope lumen
      1 GO:0031976	plastid thylakoid
      1 GO:0031985	Golgi cisterna
      1 GO:0032040	small-subunit processome
      1 GO:0032088	negative regulation of NF-kappaB transcription factor activity
      1 GO:0032102	negative regulation of response to external stimulus
      1 GO:0032147	activation of protein kinase activity
      1 GO:0032154	cleavage furrow
      1 GO:0032155	obsolete cell division site part
      1 GO:0032182	ubiquitin-like protein binding
      1 GO:0032183	SUMO binding
      1 GO:0032231	regulation of actin filament bundle assembly
      1 GO:0032232	negative regulation of actin filament bundle assembly
      1 GO:0032299	ribonuclease H2 complex
      1 GO:0032364	oxygen homeostasis
      1 GO:0032365	intracellular lipid transport
      1 GO:0032388	positive regulation of intracellular transport
      1 GO:0032418	lysosome localization
      1 GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process
      1 GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
      1 GO:0032451	demethylase activity
      1 GO:0032479	regulation of type I interferon production
      1 GO:0032480	negative regulation of type I interferon production
      1 GO:0032496	response to lipopolysaccharide
      1 GO:0032527	protein exit from endoplasmic reticulum
      1 GO:0032535	regulation of cellular component size
      1 GO:0032549	ribonucleoside binding
      1 GO:0032550	purine ribonucleoside binding
      1 GO:0032559	adenyl ribonucleotide binding
      1 GO:0032561	guanyl ribonucleotide binding
      1 GO:0032588	trans-Golgi network membrane
      1 GO:0032642	regulation of chemokine production
      1 GO:0032722	positive regulation of chemokine production
      1 GO:0032763	regulation of mast cell cytokine production
      1 GO:0032764	negative regulation of mast cell cytokine production
      1 GO:0032774	RNA biosynthetic process
      1 GO:0032785	negative regulation of DNA-templated transcription, elongation
      1 GO:0032786	positive regulation of DNA-templated transcription, elongation
      1 GO:0032870	cellular response to hormone stimulus
      1 GO:0032872	regulation of stress-activated MAPK cascade
      1 GO:0032874	positive regulation of stress-activated MAPK cascade
      1 GO:0032875	regulation of DNA endoreduplication
      1 GO:0032886	regulation of microtubule-based process
      1 GO:0032897	negative regulation of viral transcription
      1 GO:0032933	SREBP signaling pathway
      1 GO:0032956	regulation of actin cytoskeleton organization
      1 GO:0032968	positive regulation of transcription elongation from RNA polymerase II promoter
      1 GO:0032970	regulation of actin filament-based process
      1 GO:0033003	regulation of mast cell activation
      1 GO:0033004	negative regulation of mast cell activation
      1 GO:0033006	regulation of mast cell activation involved in immune response
      1 GO:0033007	negative regulation of mast cell activation involved in immune response
      1 GO:0033013	tetrapyrrole metabolic process
      1 GO:0033015	tetrapyrrole catabolic process
      1 GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane
      1 GO:0033119	negative regulation of RNA splicing
      1 GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway
      1 GO:0033146	regulation of intracellular estrogen receptor signaling pathway
      1 GO:0033218	amide binding
      1 GO:0033273	response to vitamin
      1 GO:0033301	cell cycle comprising mitosis without cytokinesis
      1 GO:0033483	gas homeostasis
      1 GO:0033503	HULC complex
      1 GO:0033553	rDNA heterochromatin
      1 GO:0033559	unsaturated fatty acid metabolic process
      1 GO:0033567	DNA replication, Okazaki fragment processing
      1 GO:0033574	response to testosterone
      1 GO:0033591	response to L-ascorbic acid
      1 GO:0033592	RNA strand annealing activity
      1 GO:0033692	cellular polysaccharide biosynthetic process
      1 GO:0033750	ribosome localization
      1 GO:0033764	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
      1 GO:0033765	steroid dehydrogenase activity, acting on the CH-CH group of donors
      1 GO:0033865	nucleoside bisphosphate metabolic process
      1 GO:0033866	nucleoside bisphosphate biosynthetic process
      1 GO:0033875	ribonucleoside bisphosphate metabolic process
      1 GO:0033962	P-body assembly
      1 GO:0034011	L-cysteate sulfo-lyase activity
      1 GO:0034021	response to silicon dioxide
      1 GO:0034030	ribonucleoside bisphosphate biosynthetic process
      1 GO:0034032	purine nucleoside bisphosphate metabolic process
      1 GO:0034033	purine nucleoside bisphosphate biosynthetic process
      1 GO:0034067	protein localization to Golgi apparatus
      1 GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex
      1 GO:0034101	erythrocyte homeostasis
      1 GO:0034244	negative regulation of transcription elongation from RNA polymerase II promoter
      1 GO:0034249	negative regulation of cellular amide metabolic process
      1 GO:0034284	response to monosaccharide
      1 GO:0034306	regulation of sexual sporulation
      1 GO:0034337	RNA folding
      1 GO:0034357	photosynthetic membrane
      1 GO:0034381	plasma lipoprotein particle clearance
      1 GO:0034383	low-density lipoprotein particle clearance
      1 GO:0034391	regulation of smooth muscle cell apoptotic process
      1 GO:0034393	positive regulation of smooth muscle cell apoptotic process
      1 GO:0034395	regulation of transcription from RNA polymerase II promoter in response to iron
      1 GO:0034404	nucleobase-containing small molecule biosynthetic process
      1 GO:0034455	t-UTP complex
      1 GO:0034502	protein localization to chromosome
      1 GO:0034504	protein localization to nucleus
      1 GO:0034511	U3 snoRNA binding
      1 GO:0034605	cellular response to heat
      1 GO:0034620	cellular response to unfolded protein
      1 GO:0034637	cellular carbohydrate biosynthetic process
      1 GO:0034656	nucleobase-containing small molecule catabolic process
      1 GO:0034661	ncRNA catabolic process
      1 GO:0034708	methyltransferase complex
      1 GO:0034754	cellular hormone metabolic process
      1 GO:0034982	mitochondrial protein processing
      1 GO:0035065	regulation of histone acetylation
      1 GO:0035066	positive regulation of histone acetylation
      1 GO:0035091	phosphatidylinositol binding
      1 GO:0035094	response to nicotine
      1 GO:0035097	histone methyltransferase complex
      1 GO:0035098	ESC/E(Z) complex
      1 GO:0035103	sterol regulatory element binding protein cleavage
      1 GO:0035186	syncytial blastoderm mitotic cell cycle
      1 GO:0035206	regulation of hemocyte proliferation
      1 GO:0035250	UDP-galactosyltransferase activity
      1 GO:0035327	transcriptionally active chromatin
      1 GO:0035336	long-chain fatty-acyl-CoA metabolic process
      1 GO:0035337	fatty-acyl-CoA metabolic process
      1 GO:0035338	long-chain fatty-acyl-CoA biosynthetic process
      1 GO:0035368	selenocysteine insertion sequence binding
      1 GO:0035383	thioester metabolic process
      1 GO:0035384	thioester biosynthetic process
      1 GO:0035513	oxidative RNA demethylation
      1 GO:0035515	oxidative RNA demethylase activity
      1 GO:0035523	protein K29-linked deubiquitination
      1 GO:0035553	oxidative single-stranded RNA demethylation
      1 GO:0035579	specific granule membrane
      1 GO:0035621	ER to Golgi ceramide transport
      1 GO:0035627	ceramide transport
      1 GO:0035694	mitochondrial protein catabolic process
      1 GO:0035722	interleukin-12-mediated signaling pathway
      1 GO:0035770	ribonucleoprotein granule
      1 GO:0035871	protein K11-linked deubiquitination
      1 GO:0035900	response to isolation stress
      1 GO:0035902	response to immobilization stress
      1 GO:0035983	response to trichostatin A
      1 GO:0035984	cellular response to trichostatin A
      1 GO:0036002	pre-mRNA binding
      1 GO:0036065	fucosylation
      1 GO:0036126	sperm flagellum
      1 GO:0036176	response to neutral pH
      1 GO:0036177	filamentous growth of a population of unicellular organisms in response to pH
      1 GO:0036178	filamentous growth of a population of unicellular organisms in response to neutral pH
      1 GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus
      1 GO:0036205	histone catabolic process
      1 GO:0036230	granulocyte activation
      1 GO:0036244	cellular response to neutral pH
      1 GO:0036270	response to diuretic
      1 GO:0036294	cellular response to decreased oxygen levels
      1 GO:0036296	response to increased oxygen levels
      1 GO:0036333	hepatocyte homeostasis
      1 GO:0036435	K48-linked polyubiquitin modification-dependent protein binding
      1 GO:0036464	cytoplasmic ribonucleoprotein granule
      1 GO:0036465	synaptic vesicle recycling
      1 GO:0036473	cell death in response to oxidative stress
      1 GO:0036501	UFD1-NPL4 complex
      1 GO:0036523	induction by symbiont of host cytokine secretion
      1 GO:0038001	paracrine signaling
      1 GO:0038171	cannabinoid signaling pathway
      1 GO:0039531	regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway
      1 GO:0039532	negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway
      1 GO:0039535	regulation of RIG-I signaling pathway
      1 GO:0039536	negative regulation of RIG-I signaling pathway
      1 GO:0040013	negative regulation of locomotion
      1 GO:0042023	DNA endoreduplication
      1 GO:0042035	regulation of cytokine biosynthetic process
      1 GO:0042054	histone methyltransferase activity
      1 GO:0042108	positive regulation of cytokine biosynthetic process
      1 GO:0042119	neutrophil activation
      1 GO:0042133	neurotransmitter metabolic process
      1 GO:0042136	neurotransmitter biosynthetic process
      1 GO:0042144	vacuole fusion, non-autophagic
      1 GO:0042167	heme catabolic process
      1 GO:0042168	heme metabolic process
      1 GO:0042173	regulation of sporulation resulting in formation of a cellular spore
      1 GO:0042174	negative regulation of sporulation resulting in formation of a cellular spore
      1 GO:0042177	negative regulation of protein catabolic process
      1 GO:0042180	cellular ketone metabolic process
      1 GO:0042181	ketone biosynthetic process
      1 GO:0042214	terpene metabolic process
      1 GO:0042246	tissue regeneration
      1 GO:0042255	ribosome assembly
      1 GO:0042273	ribosomal large subunit biogenesis
      1 GO:0042274	ribosomal small subunit biogenesis
      1 GO:0042281	dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity
      1 GO:0042311	vasodilation
      1 GO:0042364	water-soluble vitamin biosynthetic process
      1 GO:0042391	regulation of membrane potential
      1 GO:0042398	cellular modified amino acid biosynthetic process
      1 GO:0042401	cellular biogenic amine biosynthetic process
      1 GO:0042407	cristae formation
      1 GO:0042430	indole-containing compound metabolic process
      1 GO:0042435	indole-containing compound biosynthetic process
      1 GO:0042440	pigment metabolic process
      1 GO:0042446	hormone biosynthetic process
      1 GO:0042448	progesterone metabolic process
      1 GO:0042546	cell wall biogenesis
      1 GO:0042581	specific granule
      1 GO:0042645	mitochondrial nucleoid
      1 GO:0042651	thylakoid membrane
      1 GO:0042752	regulation of circadian rhythm
      1 GO:0042763	intracellular immature spore
      1 GO:0042764	ascospore-type prospore
      1 GO:0042972	licheninase activity
      1 GO:0042975	peroxisome proliferator activated receptor binding
      1 GO:0043001	Golgi to plasma membrane protein transport
      1 GO:0043007	maintenance of rDNA
      1 GO:0043010	camera-type eye development
      1 GO:0043022	ribosome binding
      1 GO:0043023	ribosomal large subunit binding
      1 GO:0043038	amino acid activation
      1 GO:0043039	tRNA aminoacylation
      1 GO:0043087	regulation of GTPase activity
      1 GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling
      1 GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling
      1 GO:0043130	ubiquitin binding
      1 GO:0043137	DNA replication, removal of RNA primer
      1 GO:0043157	response to cation stress
      1 GO:0043195	terminal bouton
      1 GO:0043196	varicosity
      1 GO:0043198	dendritic shaft
      1 GO:0043204	perikaryon
      1 GO:0043209	myelin sheath
      1 GO:0043248	proteasome assembly
      1 GO:0043266	regulation of potassium ion transport
      1 GO:0043268	positive regulation of potassium ion transport
      1 GO:0043269	regulation of ion transport
      1 GO:0043270	positive regulation of ion transport
      1 GO:0043279	response to alkaloid
      1 GO:0043299	leukocyte degranulation
      1 GO:0043300	regulation of leukocyte degranulation
      1 GO:0043301	negative regulation of leukocyte degranulation
      1 GO:0043304	regulation of mast cell degranulation
      1 GO:0043305	negative regulation of mast cell degranulation
      1 GO:0043312	neutrophil degranulation
      1 GO:0043403	skeletal muscle tissue regeneration
      1 GO:0043484	regulation of RNA splicing
      1 GO:0043506	regulation of JUN kinase activity
      1 GO:0043507	positive regulation of JUN kinase activity
      1 GO:0043535	regulation of blood vessel endothelial cell migration
      1 GO:0043536	positive regulation of blood vessel endothelial cell migration
      1 GO:0043547	positive regulation of GTPase activity
      1 GO:0043570	maintenance of DNA repeat elements
      1 GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress
      1 GO:0043619	regulation of transcription from RNA polymerase II promoter in response to oxidative stress
      1 GO:0043620	regulation of DNA-templated transcription in response to stress
      1 GO:0043627	response to estrogen
      1 GO:0043649	dicarboxylic acid catabolic process
      1 GO:0043679	axon terminus
      1 GO:0043902	positive regulation of multi-organism process
      1 GO:0043921	modulation by host of viral transcription
      1 GO:0043922	negative regulation by host of viral transcription
      1 GO:0043928	exonucleolytic catabolism of deadenylated mRNA
      1 GO:0043937	regulation of sporulation
      1 GO:0043939	negative regulation of sporulation
      1 GO:0043940	regulation of sexual sporulation resulting in formation of a cellular spore
      1 GO:0043942	negative regulation of sexual sporulation resulting in formation of a cellular spore
      1 GO:0044003	modulation by symbiont of host process
      1 GO:0044033	multi-organism metabolic process
      1 GO:0044035	multi-organism catabolic process
      1 GO:0044088	regulation of vacuole organization
      1 GO:0044089	positive regulation of cellular component biogenesis
      1 GO:0044106	cellular amine metabolic process
      1 GO:0044182	filamentous growth of a population of unicellular organisms
      1 GO:0044242	cellular lipid catabolic process
      1 GO:0044264	cellular polysaccharide metabolic process
      1 GO:0044275	cellular carbohydrate catabolic process
      1 GO:0044304	main axon
      1 GO:0044306	neuron projection terminus
      1 GO:0044364	disruption of cells of other organism
      1 GO:0044436	obsolete thylakoid part
      1 GO:0044441	obsolete ciliary part
      1 GO:0044452	obsolete nucleolar part
      1 GO:0044455	obsolete mitochondrial membrane part
      1 GO:0044524	protein sulfhydration
      1 GO:0044540	L-cystine L-cysteine-lyase (deaminating)
      1 GO:0044550	secondary metabolite biosynthetic process
      1 GO:0044656	regulation of post-lysosomal vacuole size
      1 GO:0044728	DNA methylation or demethylation
      1 GO:0044786	cell cycle DNA replication
      1 GO:0044815	DNA packaging complex
      1 GO:0044839	cell cycle G2/M phase transition
      1 GO:0044853	plasma membrane raft
      1 GO:0045017	glycerolipid biosynthetic process
      1 GO:0045022	early endosome to late endosome transport
      1 GO:0045055	regulated exocytosis
      1 GO:0045087	innate immune response
      1 GO:0045089	positive regulation of innate immune response
      1 GO:0045117	azole transmembrane transport
      1 GO:0045121	membrane raft
      1 GO:0045132	meiotic chromosome segregation
      1 GO:0045137	development of primary sexual characteristics
      1 GO:0045143	homologous chromosome segregation
      1 GO:0045178	basal part of cell
      1 GO:0045211	postsynaptic membrane
      1 GO:0045292	mRNA cis splicing, via spliceosome
      1 GO:0045321	leukocyte activation
      1 GO:0045335	phagocytic vesicle
      1 GO:0045428	regulation of nitric oxide biosynthetic process
      1 GO:0045429	positive regulation of nitric oxide biosynthetic process
      1 GO:0045433	male courtship behavior, veined wing generated song production
      1 GO:0045448	mitotic cell cycle, embryonic
      1 GO:0045454	cell redox homeostasis
      1 GO:0045598	regulation of fat cell differentiation
      1 GO:0045599	negative regulation of fat cell differentiation
      1 GO:0045604	regulation of epidermal cell differentiation
      1 GO:0045605	negative regulation of epidermal cell differentiation
      1 GO:0045665	negative regulation of neuron differentiation
      1 GO:0045666	positive regulation of neuron differentiation
      1 GO:0045682	regulation of epidermis development
      1 GO:0045683	negative regulation of epidermis development
      1 GO:0045732	positive regulation of protein catabolic process
      1 GO:0045765	regulation of angiogenesis
      1 GO:0045766	positive regulation of angiogenesis
      1 GO:0045776	negative regulation of blood pressure
      1 GO:0045833	negative regulation of lipid metabolic process
      1 GO:0045834	positive regulation of lipid metabolic process
      1 GO:0045839	negative regulation of mitotic nuclear division
      1 GO:0045851	pH reduction
      1 GO:0045861	negative regulation of proteolysis
      1 GO:0045862	positive regulation of proteolysis
      1 GO:0045901	positive regulation of translational elongation
      1 GO:0045920	negative regulation of exocytosis
      1 GO:0045936	negative regulation of phosphate metabolic process
      1 GO:0045943	positive regulation of transcription by RNA polymerase I
      1 GO:0046058	cAMP metabolic process
      1 GO:0046112	nucleobase biosynthetic process
      1 GO:0046134	pyrimidine nucleoside biosynthetic process
      1 GO:0046149	pigment catabolic process
      1 GO:0046164	alcohol catabolic process
      1 GO:0046167	glycerol-3-phosphate biosynthetic process
      1 GO:0046174	polyol catabolic process
      1 GO:0046219	indolalkylamine biosynthetic process
      1 GO:0046246	terpene biosynthetic process
      1 GO:0046328	regulation of JNK cascade
      1 GO:0046330	positive regulation of JNK cascade
      1 GO:0046340	diacylglycerol catabolic process
      1 GO:0046451	diaminopimelate metabolic process
      1 GO:0046460	neutral lipid biosynthetic process
      1 GO:0046461	neutral lipid catabolic process
      1 GO:0046463	acylglycerol biosynthetic process
      1 GO:0046464	acylglycerol catabolic process
      1 GO:0046503	glycerolipid catabolic process
      1 GO:0046527	glucosyltransferase activity
      1 GO:0046540	U4/U6 x U5 tri-snRNP complex
      1 GO:0046546	development of primary male sexual characteristics
      1 GO:0046660	female sex differentiation
      1 GO:0046661	male sex differentiation
      1 GO:0046685	response to arsenic-containing substance
      1 GO:0046836	glycolipid transport
      1 GO:0046889	positive regulation of lipid biosynthetic process
      1 GO:0046890	regulation of lipid biosynthetic process
      1 GO:0046916	cellular transition metal ion homeostasis
      1 GO:0046949	fatty-acyl-CoA biosynthetic process
      1 GO:0046974	histone methyltransferase activity (H3-K9 specific)
      1 GO:0046976	histone methyltransferase activity (H3-K27 specific)
      1 GO:0047018	indole-3-acetaldehyde reductase (NADH) activity
      1 GO:0047019	indole-3-acetaldehyde reductase (NADPH) activity
      1 GO:0047372	acylglycerol lipase activity
      1 GO:0047631	ADP-ribose diphosphatase activity
      1 GO:0047734	CDP-glycerol diphosphatase activity
      1 GO:0047874	dolichyldiphosphatase activity
      1 GO:0047982	homocysteine desulfhydrase activity
      1 GO:0048024	regulation of mRNA splicing, via spliceosome
      1 GO:0048025	negative regulation of mRNA splicing, via spliceosome
      1 GO:0048038	quinone binding
      1 GO:0048039	ubiquinone binding
      1 GO:0048065	male courtship behavior, veined wing extension
      1 GO:0048145	regulation of fibroblast proliferation
      1 GO:0048147	negative regulation of fibroblast proliferation
      1 GO:0048149	behavioral response to ethanol
      1 GO:0048229	gametophyte development
      1 GO:0048278	vesicle docking
      1 GO:0048284	organelle fusion
      1 GO:0048366	leaf development
      1 GO:0048385	regulation of retinoic acid receptor signaling pathway
      1 GO:0048387	negative regulation of retinoic acid receptor signaling pathway
      1 GO:0048437	floral organ development
      1 GO:0048488	synaptic vesicle endocytosis
      1 GO:0048489	synaptic vesicle transport
      1 GO:0048509	regulation of meristem development
      1 GO:0048514	blood vessel morphogenesis
      1 GO:0048520	positive regulation of behavior
      1 GO:0048524	positive regulation of viral process
      1 GO:0048525	negative regulation of viral process
      1 GO:0048531	beta-1,3-galactosyltransferase activity
      1 GO:0048534	hematopoietic or lymphoid organ development
      1 GO:0048566	embryonic digestive tract development
      1 GO:0048568	embryonic organ development
      1 GO:0048611	embryonic ectodermal digestive tract development
      1 GO:0048661	positive regulation of smooth muscle cell proliferation
      1 GO:0048675	axon extension
      1 GO:0048678	response to axon injury
      1 GO:0048759	xylem vessel member cell differentiation
      1 GO:0048773	erythrophore differentiation
      1 GO:0048806	genitalia development
      1 GO:0048814	regulation of dendrite morphogenesis
      1 GO:0048825	cotyledon development
      1 GO:0048827	phyllome development
      1 GO:0048846	axon extension involved in axon guidance
      1 GO:0048868	pollen tube development
      1 GO:0050373	UDP-arabinose 4-epimerase activity
      1 GO:0050434	positive regulation of viral transcription
      1 GO:0050667	homocysteine metabolic process
      1 GO:0050673	epithelial cell proliferation
      1 GO:0050678	regulation of epithelial cell proliferation
      1 GO:0050679	positive regulation of epithelial cell proliferation
      1 GO:0050684	regulation of mRNA processing
      1 GO:0050686	negative regulation of mRNA processing
      1 GO:0050687	negative regulation of defense response to virus
      1 GO:0050688	regulation of defense response to virus
      1 GO:0050707	regulation of cytokine secretion
      1 GO:0050708	regulation of protein secretion
      1 GO:0050714	positive regulation of protein secretion
      1 GO:0050715	positive regulation of cytokine secretion
      1 GO:0050727	regulation of inflammatory response
      1 GO:0050768	negative regulation of neurogenesis
      1 GO:0050774	negative regulation of dendrite morphogenesis
      1 GO:0050777	negative regulation of immune response
      1 GO:0050778	positive regulation of immune response
      1 GO:0050795	regulation of behavior
      1 GO:0050803	regulation of synapse structure or activity
      1 GO:0050807	regulation of synapse organization
      1 GO:0050808	synapse organization
      1 GO:0050821	protein stabilization
      1 GO:0050829	defense response to Gram-negative bacterium
      1 GO:0050865	regulation of cell activation
      1 GO:0050866	negative regulation of cell activation
      1 GO:0050877	nervous system process
      1 GO:0050897	cobalt ion binding
      1 GO:0050931	pigment cell differentiation
      1 GO:0051019	mitogen-activated protein kinase binding
      1 GO:0051028	mRNA transport
      1 GO:0051047	positive regulation of secretion
      1 GO:0051048	negative regulation of secretion
      1 GO:0051053	negative regulation of DNA metabolic process
      1 GO:0051055	negative regulation of lipid biosynthetic process
      1 GO:0051091	positive regulation of DNA-binding transcription factor activity
      1 GO:0051092	positive regulation of NF-kappaB transcription factor activity
      1 GO:0051148	negative regulation of muscle cell differentiation
      1 GO:0051153	regulation of striated muscle cell differentiation
      1 GO:0051154	negative regulation of striated muscle cell differentiation
      1 GO:0051181	obsolete cofactor transport
      1 GO:0051187	obsolete cofactor catabolic process
      1 GO:0051213	dioxygenase activity
      1 GO:0051222	positive regulation of protein transport
      1 GO:0051223	regulation of protein transport
      1 GO:0051258	protein polymerization
      1 GO:0051268	alpha-keto amide reductase activity
      1 GO:0051269	alpha-keto ester reductase activity
      1 GO:0051271	negative regulation of cellular component movement
      1 GO:0051286	cell tip
      1 GO:0051304	chromosome separation
      1 GO:0051307	meiotic chromosome separation
      1 GO:0051321	meiotic cell cycle
      1 GO:0051336	regulation of hydrolase activity
      1 GO:0051345	positive regulation of hydrolase activity
      1 GO:0051403	stress-activated MAPK cascade
      1 GO:0051438	regulation of ubiquitin-protein transferase activity
      1 GO:0051444	negative regulation of ubiquitin-protein transferase activity
      1 GO:0051452	intracellular pH reduction
      1 GO:0051453	regulation of intracellular pH
      1 GO:0051494	negative regulation of cytoskeleton organization
      1 GO:0051567	histone H3-K9 methylation
      1 GO:0051602	response to electrical stimulus
      1 GO:0051645	Golgi localization
      1 GO:0051683	establishment of Golgi localization
      1 GO:0051701	interaction with host
      1 GO:0051702	interaction with symbiont
      1 GO:0051703	intraspecies interaction between organisms
      1 GO:0051783	regulation of nuclear division
      1 GO:0051784	negative regulation of nuclear division
      1 GO:0051788	response to misfolded protein
      1 GO:0051851	modulation by host of symbiont process
      1 GO:0051861	glycolipid binding
      1 GO:0051881	regulation of mitochondrial membrane potential
      1 GO:0051961	negative regulation of nervous system development
      1 GO:0051972	regulation of telomerase activity
      1 GO:0051974	negative regulation of telomerase activity
      1 GO:0052002	metabolism by symbiont of substance in host
      1 GO:0052006	catabolism by symbiont of substance in host
      1 GO:0052013	catabolism by symbiont of host macromolecule
      1 GO:0052014	catabolism by symbiont of host protein
      1 GO:0052031	modulation by symbiont of host defense response
      1 GO:0052032	modulation by symbiont of host inflammatory response
      1 GO:0052167	modulation by symbiont of host innate immune response
      1 GO:0052173	response to defenses of other organism
      1 GO:0052174	metabolism by symbiont of host macromolecule
      1 GO:0052200	response to host defenses
      1 GO:0052214	metabolism of substance in other organism involved in symbiotic interaction
      1 GO:0052227	catabolism of substance in other organism involved in symbiotic interaction
      1 GO:0052228	metabolism by symbiont of host protein
      1 GO:0052229	metabolism of macromolecule in other organism involved in symbiotic interaction
      1 GO:0052312	modulation of transcription in other organism involved in symbiotic interaction
      1 GO:0052361	catabolism by organism of macromolecule in other organism involved in symbiotic interaction
      1 GO:0052363	catabolism by organism of protein in other organism involved in symbiotic interaction
      1 GO:0052418	metabolism by organism of protein in other organism involved in symbiotic interaction
      1 GO:0052472	modulation by host of symbiont transcription
      1 GO:0052553	modulation by symbiont of host immune response
      1 GO:0052572	response to host immune response
      1 GO:0052646	alditol phosphate metabolic process
      1 GO:0052652	cyclic purine nucleotide metabolic process
      1 GO:0052654	L-leucine transaminase activity
      1 GO:0052655	L-valine transaminase activity
      1 GO:0052656	L-isoleucine transaminase activity
      1 GO:0052736	beta-glucanase activity
      1 GO:0052861	glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group
      1 GO:0055035	plastid thylakoid membrane
      1 GO:0055044	symplast
      1 GO:0055067	monovalent inorganic cation homeostasis
      1 GO:0055088	lipid homeostasis
      1 GO:0055093	response to hyperoxia
      1 GO:0055105	ubiquitin-protein transferase inhibitor activity
      1 GO:0055106	ubiquitin-protein transferase regulator activity
      1 GO:0060041	retina development in camera-type eye
      1 GO:0060179	male mating behavior
      1 GO:0060249	anatomical structure homeostasis
      1 GO:0060251	regulation of glial cell proliferation
      1 GO:0060252	positive regulation of glial cell proliferation
