      1 GO:0000002	mitochondrial genome maintenance
      1 GO:0032232	negative regulation of actin filament bundle assembly
      1 GO:0032299	ribonuclease H2 complex
      1 GO:0032364	oxygen homeostasis
      1 GO:0032365	intracellular lipid transport
      1 GO:0032386	regulation of intracellular transport
      1 GO:0032387	negative regulation of intracellular transport
      1 GO:0032388	positive regulation of intracellular transport
      1 GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process
      1 GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
      1 GO:0032451	demethylase activity
      1 GO:0032456	endocytic recycling
      1 GO:0032479	regulation of type I interferon production
      1 GO:0032480	negative regulation of type I interferon production
      1 GO:0032496	response to lipopolysaccharide
      1 GO:0032506	cytokinetic process
      1 GO:0032527	protein exit from endoplasmic reticulum
      1 GO:0032588	trans-Golgi network membrane
      1 GO:0032774	RNA biosynthetic process
      1 GO:0032868	response to insulin
      1 GO:0032869	cellular response to insulin stimulus
      1 GO:0032872	regulation of stress-activated MAPK cascade
      1 GO:0032874	positive regulation of stress-activated MAPK cascade
      1 GO:0032875	regulation of DNA endoreduplication
      1 GO:0032881	regulation of polysaccharide metabolic process
      1 GO:0032885	regulation of polysaccharide biosynthetic process
      1 GO:0032933	SREBP signaling pathway
      1 GO:0032940	secretion by cell
      1 GO:0032950	regulation of beta-glucan metabolic process
      1 GO:0032951	regulation of beta-glucan biosynthetic process
      1 GO:0032952	regulation of (1->3)-beta-D-glucan metabolic process
      1 GO:0032953	regulation of (1->3)-beta-D-glucan biosynthetic process
      1 GO:0032956	regulation of actin cytoskeleton organization
      1 GO:0032970	regulation of actin filament-based process
      1 GO:0032993	protein-DNA complex
      1 GO:0032995	regulation of fungal-type cell wall biogenesis
      1 GO:0033013	tetrapyrrole metabolic process
      1 GO:0033044	regulation of chromosome organization
      1 GO:0033108	mitochondrial respiratory chain complex assembly
      1 GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane
      1 GO:0033119	negative regulation of RNA splicing
      1 GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway
      1 GO:0033146	regulation of intracellular estrogen receptor signaling pathway
      1 GO:0033218	amide binding
      1 GO:0033273	response to vitamin
      1 GO:0033483	gas homeostasis
      1 GO:0033503	HULC complex
      1 GO:0033567	DNA replication, Okazaki fragment processing
      1 GO:0033574	response to testosterone
      1 GO:0033591	response to L-ascorbic acid
      1 GO:0033674	positive regulation of kinase activity
      1 GO:0033750	ribosome localization
      1 GO:0033764	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
      1 GO:0033765	steroid dehydrogenase activity, acting on the CH-CH group of donors
      1 GO:0034021	response to silicon dioxide
      1 GO:0034067	protein localization to Golgi apparatus
      1 GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex
      1 GO:0034220	ion transmembrane transport
      1 GO:0034249	negative regulation of cellular amide metabolic process
      1 GO:0034284	response to monosaccharide
      1 GO:0034293	sexual sporulation
      1 GO:0034306	regulation of sexual sporulation
      1 GO:0034391	regulation of smooth muscle cell apoptotic process
      1 GO:0034393	positive regulation of smooth muscle cell apoptotic process
      1 GO:0034504	protein localization to nucleus
      1 GO:0034551	mitochondrial respiratory chain complex III assembly
      1 GO:0034599	cellular response to oxidative stress
      1 GO:0034614	cellular response to reactive oxygen species
      1 GO:0034620	cellular response to unfolded protein
      1 GO:0034661	ncRNA catabolic process
      1 GO:0034754	cellular hormone metabolic process
      1 GO:0034968	histone lysine methylation
      1 GO:0035023	regulation of Rho protein signal transduction
      1 GO:0035024	negative regulation of Rho protein signal transduction
      1 GO:0035065	regulation of histone acetylation
      1 GO:0035066	positive regulation of histone acetylation
      1 GO:0035103	sterol regulatory element binding protein cleavage
      1 GO:0035107	appendage morphogenesis
      1 GO:0035114	imaginal disc-derived appendage morphogenesis
      1 GO:0035120	post-embryonic appendage morphogenesis
      1 GO:0035150	regulation of tube size
      1 GO:0035206	regulation of hemocyte proliferation
      1 GO:0035220	wing disc development
      1 GO:0035239	tube morphogenesis
      1 GO:0035296	regulation of tube diameter
      1 GO:0035368	selenocysteine insertion sequence binding
      1 GO:0035510	DNA dealkylation
      1 GO:0035513	oxidative RNA demethylation
      1 GO:0035515	oxidative RNA demethylase activity
      1 GO:0035523	protein K29-linked deubiquitination
      1 GO:0035553	oxidative single-stranded RNA demethylation
      1 GO:0035621	ER to Golgi ceramide transport
      1 GO:0035627	ceramide transport
      1 GO:0035670	plant-type ovary development
      1 GO:0035722	interleukin-12-mediated signaling pathway
      1 GO:0035770	ribonucleoprotein granule
      1 GO:0035871	protein K11-linked deubiquitination
      1 GO:0035900	response to isolation stress
      1 GO:0035902	response to immobilization stress
      1 GO:0036002	pre-mRNA binding
      1 GO:0036126	sperm flagellum
      1 GO:0036176	response to neutral pH
      1 GO:0036177	filamentous growth of a population of unicellular organisms in response to pH
      1 GO:0036178	filamentous growth of a population of unicellular organisms in response to neutral pH
      1 GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus
      1 GO:0036205	histone catabolic process
      1 GO:0036244	cellular response to neutral pH
      1 GO:0036296	response to increased oxygen levels
      1 GO:0036435	K48-linked polyubiquitin modification-dependent protein binding
      1 GO:0036464	cytoplasmic ribonucleoprotein granule
      1 GO:0036473	cell death in response to oxidative stress
      1 GO:0036501	UFD1-NPL4 complex
      1 GO:0038001	paracrine signaling
      1 GO:0038023	signaling receptor activity
      1 GO:0039531	regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway
      1 GO:0039532	negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway
      1 GO:0039535	regulation of RIG-I signaling pathway
      1 GO:0039536	negative regulation of RIG-I signaling pathway
      1 GO:0040002	collagen and cuticulin-based cuticle development
      1 GO:0040003	chitin-based cuticle development
      1 GO:0040009	regulation of growth rate
      1 GO:0040032	post-embryonic body morphogenesis
      1 GO:0042023	DNA endoreduplication
      1 GO:0042060	wound healing
      1 GO:0042144	vacuole fusion, non-autophagic
      1 GO:0042157	lipoprotein metabolic process
      1 GO:0042158	lipoprotein biosynthetic process
      1 GO:0042173	regulation of sporulation resulting in formation of a cellular spore
      1 GO:0042174	negative regulation of sporulation resulting in formation of a cellular spore
      1 GO:0042177	negative regulation of protein catabolic process
      1 GO:0042180	cellular ketone metabolic process
      1 GO:0042181	ketone biosynthetic process
      1 GO:0042255	ribosome assembly
      1 GO:0042273	ribosomal large subunit biogenesis
      1 GO:0042303	molting cycle
      1 GO:0042311	vasodilation
      1 GO:0042335	cuticle development
      1 GO:0042338	cuticle development involved in collagen and cuticulin-based cuticle molting cycle
      1 GO:0042364	water-soluble vitamin biosynthetic process
      1 GO:0042401	cellular biogenic amine biosynthetic process
      1 GO:0042403	thyroid hormone metabolic process
      1 GO:0042430	indole-containing compound metabolic process
      1 GO:0042435	indole-containing compound biosynthetic process
      1 GO:0042446	hormone biosynthetic process
      1 GO:0042448	progesterone metabolic process
      1 GO:0042542	response to hydrogen peroxide
      1 GO:0042546	cell wall biogenesis
      1 GO:0042559	pteridine-containing compound biosynthetic process
      1 GO:0042645	mitochondrial nucleoid
      1 GO:0042763	intracellular immature spore
      1 GO:0042764	ascospore-type prospore
      1 GO:0042975	peroxisome proliferator activated receptor binding
      1 GO:0043001	Golgi to plasma membrane protein transport
      1 GO:0043009	chordate embryonic development
      1 GO:0043022	ribosome binding
      1 GO:0043023	ribosomal large subunit binding
      1 GO:0043087	regulation of GTPase activity
      1 GO:0043094	cellular metabolic compound salvage
      1 GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling
      1 GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling
      1 GO:0043137	DNA replication, removal of RNA primer
      1 GO:0043157	response to cation stress
      1 GO:0043178	alcohol binding
      1 GO:0043200	response to amino acid
      1 GO:0043204	perikaryon
      1 GO:0043209	myelin sheath
      1 GO:0043248	proteasome assembly
      1 GO:0043255	regulation of carbohydrate biosynthetic process
      1 GO:0043266	regulation of potassium ion transport
      1 GO:0043268	positive regulation of potassium ion transport
      1 GO:0043269	regulation of ion transport
      1 GO:0043270	positive regulation of ion transport
      1 GO:0043292	contractile fiber
      1 GO:0043332	mating projection tip
      1 GO:0043392	negative regulation of DNA binding
      1 GO:0043405	regulation of MAP kinase activity
      1 GO:0043406	positive regulation of MAP kinase activity
      1 GO:0043408	regulation of MAPK cascade
      1 GO:0043410	positive regulation of MAPK cascade
      1 GO:0043434	response to peptide hormone
      1 GO:0043467	regulation of generation of precursor metabolites and energy
      1 GO:0043484	regulation of RNA splicing
      1 GO:0043506	regulation of JUN kinase activity
      1 GO:0043507	positive regulation of JUN kinase activity
      1 GO:0043523	regulation of neuron apoptotic process
      1 GO:0043524	negative regulation of neuron apoptotic process
      1 GO:0043543	protein acylation
      1 GO:0043547	positive regulation of GTPase activity
      1 GO:0043549	regulation of kinase activity
      1 GO:0043565	sequence-specific DNA binding
      1 GO:0043733	DNA-3-methylbase glycosylase activity
      1 GO:0043902	positive regulation of multi-organism process
      1 GO:0043903	regulation of symbiotic process
      1 GO:0043916	DNA-7-methylguanine glycosylase activity
      1 GO:0043934	sporulation
      1 GO:0043935	sexual sporulation resulting in formation of a cellular spore
      1 GO:0043937	regulation of sporulation
      1 GO:0043939	negative regulation of sporulation
      1 GO:0043940	regulation of sexual sporulation resulting in formation of a cellular spore
      1 GO:0043942	negative regulation of sexual sporulation resulting in formation of a cellular spore
      1 GO:0044003	modulation by symbiont of host process
      1 GO:0044106	cellular amine metabolic process
      1 GO:0044182	filamentous growth of a population of unicellular organisms
      1 GO:0044262	cellular carbohydrate metabolic process
      1 GO:0044273	sulfur compound catabolic process
      1 GO:0044275	cellular carbohydrate catabolic process
      1 GO:0044364	disruption of cells of other organism
      1 GO:0044403	symbiotic process
      1 GO:0044414	suppression of host defenses by symbiont
      1 GO:0044421	obsolete extracellular region part
      1 GO:0044430	obsolete cytoskeletal part
      1 GO:0044440	obsolete endosomal part
      1 GO:0044441	obsolete ciliary part
      1 GO:0044449	obsolete contractile fiber part
      1 GO:0044455	obsolete mitochondrial membrane part
      1 GO:0044524	protein sulfhydration
      1 GO:0044540	L-cystine L-cysteine-lyase (deaminating)
      1 GO:0044550	secondary metabolite biosynthetic process
      1 GO:0044706	multi-multicellular organism process
      1 GO:0044764	multi-organism cellular process
      1 GO:0044770	cell cycle phase transition
      1 GO:0044772	mitotic cell cycle phase transition
      1 GO:0044786	cell cycle DNA replication
      1 GO:0044839	cell cycle G2/M phase transition
      1 GO:0044843	cell cycle G1/S phase transition
      1 GO:0045007	depurination
      1 GO:0045022	early endosome to late endosome transport
      1 GO:0045087	innate immune response
      1 GO:0045117	azole transmembrane transport
      1 GO:0045137	development of primary sexual characteristics
      1 GO:0045177	apical part of cell
      1 GO:0045428	regulation of nitric oxide biosynthetic process
      1 GO:0045429	positive regulation of nitric oxide biosynthetic process
      1 GO:0045433	male courtship behavior, veined wing generated song production
      1 GO:0045598	regulation of fat cell differentiation
      1 GO:0045599	negative regulation of fat cell differentiation
      1 GO:0045732	positive regulation of protein catabolic process
      1 GO:0045776	negative regulation of blood pressure
      1 GO:0045824	negative regulation of innate immune response
      1 GO:0045833	negative regulation of lipid metabolic process
      1 GO:0045834	positive regulation of lipid metabolic process
      1 GO:0045859	regulation of protein kinase activity
      1 GO:0045860	positive regulation of protein kinase activity
      1 GO:0045861	negative regulation of proteolysis
      1 GO:0045862	positive regulation of proteolysis
      1 GO:0045901	positive regulation of translational elongation
      1 GO:0045927	positive regulation of growth
      1 GO:0045930	negative regulation of mitotic cell cycle
      1 GO:0045936	negative regulation of phosphate metabolic process
      1 GO:0046040	IMP metabolic process
      1 GO:0046072	dTDP metabolic process
      1 GO:0046075	dTTP metabolic process
      1 GO:0046077	dUDP metabolic process
      1 GO:0046164	alcohol catabolic process
      1 GO:0046167	glycerol-3-phosphate biosynthetic process
      1 GO:0046174	polyol catabolic process
      1 GO:0046219	indolalkylamine biosynthetic process
      1 GO:0046328	regulation of JNK cascade
      1 GO:0046330	positive regulation of JNK cascade
      1 GO:0046385	deoxyribose phosphate biosynthetic process
      1 GO:0046390	ribose phosphate biosynthetic process
      1 GO:0046451	diaminopimelate metabolic process
      1 GO:0046452	dihydrofolate metabolic process
      1 GO:0046546	development of primary male sexual characteristics
      1 GO:0046578	regulation of Ras protein signal transduction
      1 GO:0046580	negative regulation of Ras protein signal transduction
      1 GO:0046620	regulation of organ growth
      1 GO:0046621	negative regulation of organ growth
      1 GO:0046654	tetrahydrofolate biosynthetic process
      1 GO:0046660	female sex differentiation
      1 GO:0046661	male sex differentiation
      1 GO:0046662	regulation of oviposition
      1 GO:0046683	response to organophosphorus
      1 GO:0046782	regulation of viral transcription
      1 GO:0046836	glycolipid transport
      1 GO:0046889	positive regulation of lipid biosynthetic process
      1 GO:0046903	secretion
      1 GO:0046906	tetrapyrrole binding
      1 GO:0046940	nucleoside monophosphate phosphorylation
      1 GO:0046942	carboxylic acid transport
      1 GO:0046943	carboxylic acid transmembrane transporter activity
      1 GO:0047982	homocysteine desulfhydrase activity
      1 GO:0048024	regulation of mRNA splicing, via spliceosome
      1 GO:0048025	negative regulation of mRNA splicing, via spliceosome
      1 GO:0048065	male courtship behavior, veined wing extension
      1 GO:0048067	cuticle pigmentation
      1 GO:0048085	adult chitin-containing cuticle pigmentation
      1 GO:0048145	regulation of fibroblast proliferation
      1 GO:0048147	negative regulation of fibroblast proliferation
      1 GO:0048149	behavioral response to ethanol
      1 GO:0048278	vesicle docking
      1 GO:0048284	organelle fusion
      1 GO:0048311	mitochondrion distribution
      1 GO:0048317	seed morphogenesis
      1 GO:0048366	leaf development
      1 GO:0048438	floral whorl development
      1 GO:0048440	carpel development
      1 GO:0048444	floral organ morphogenesis
      1 GO:0048445	carpel morphogenesis
      1 GO:0048467	gynoecium development
      1 GO:0048471	perinuclear region of cytoplasm
      1 GO:0048481	plant ovule development
      1 GO:0048482	plant ovule morphogenesis
      1 GO:0048509	regulation of meristem development
      1 GO:0048520	positive regulation of behavior
      1 GO:0048524	positive regulation of viral process
      1 GO:0048534	hematopoietic or lymphoid organ development
      1 GO:0048563	post-embryonic animal organ morphogenesis
      1 GO:0048565	digestive tract development
      1 GO:0048566	embryonic digestive tract development
      1 GO:0048568	embryonic organ development
      1 GO:0048569	post-embryonic animal organ development
      1 GO:0048588	developmental cell growth
      1 GO:0048611	embryonic ectodermal digestive tract development
      1 GO:0048638	regulation of developmental growth
      1 GO:0048640	negative regulation of developmental growth
      1 GO:0048660	regulation of smooth muscle cell proliferation
      1 GO:0048662	negative regulation of smooth muscle cell proliferation
      1 GO:0048667	cell morphogenesis involved in neuron differentiation
      1 GO:0048678	response to axon injury
      1 GO:0048707	instar larval or pupal morphogenesis
      1 GO:0048736	appendage development
      1 GO:0048737	imaginal disc-derived appendage development
      1 GO:0048759	xylem vessel member cell differentiation
      1 GO:0048773	erythrophore differentiation
      1 GO:0048806	genitalia development
      1 GO:0048825	cotyledon development
      1 GO:0048831	regulation of shoot system development
      1 GO:0048868	pollen tube development
      1 GO:0050145	nucleoside monophosphate kinase activity
      1 GO:0050434	positive regulation of viral transcription
      1 GO:0050661	NADP binding
      1 GO:0050664	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
      1 GO:0050667	homocysteine metabolic process
      1 GO:0050684	regulation of mRNA processing
      1 GO:0050686	negative regulation of mRNA processing
      1 GO:0050687	negative regulation of defense response to virus
      1 GO:0050688	regulation of defense response to virus
      1 GO:0050767	regulation of neurogenesis
      1 GO:0050769	positive regulation of neurogenesis
      1 GO:0050777	negative regulation of immune response
      1 GO:0050792	regulation of viral process
      1 GO:0050801	ion homeostasis
      1 GO:0050821	protein stabilization
      1 GO:0050829	defense response to Gram-negative bacterium
      1 GO:0050830	defense response to Gram-positive bacterium
      1 GO:0050877	nervous system process
      1 GO:0050931	pigment cell differentiation
      1 GO:0051019	mitogen-activated protein kinase binding
      1 GO:0051020	GTPase binding
      1 GO:0051028	mRNA transport
      1 GO:0051053	negative regulation of DNA metabolic process
      1 GO:0051055	negative regulation of lipid biosynthetic process
      1 GO:0051056	regulation of small GTPase mediated signal transduction
      1 GO:0051058	negative regulation of small GTPase mediated signal transduction
      1 GO:0051091	positive regulation of DNA-binding transcription factor activity
      1 GO:0051092	positive regulation of NF-kappaB transcription factor activity
      1 GO:0051100	negative regulation of binding
      1 GO:0051101	regulation of DNA binding
      1 GO:0051117	ATPase binding
      1 GO:0051129	negative regulation of cellular component organization
      1 GO:0051130	positive regulation of cellular component organization
      1 GO:0051181	obsolete cofactor transport
      1 GO:0051213	dioxygenase activity
      1 GO:0051270	regulation of cellular component movement
      1 GO:0051272	positive regulation of cellular component movement
      1 GO:0051286	cell tip
      1 GO:0051321	meiotic cell cycle
      1 GO:0051336	regulation of hydrolase activity
      1 GO:0051345	positive regulation of hydrolase activity
      1 GO:0051347	positive regulation of transferase activity
      1 GO:0051403	stress-activated MAPK cascade
      1 GO:0051438	regulation of ubiquitin-protein transferase activity
      1 GO:0051444	negative regulation of ubiquitin-protein transferase activity
      1 GO:0051445	regulation of meiotic cell cycle
      1 GO:0051447	negative regulation of meiotic cell cycle
      1 GO:0051493	regulation of cytoskeleton organization
      1 GO:0051494	negative regulation of cytoskeleton organization
      1 GO:0051591	response to cAMP
      1 GO:0051602	response to electrical stimulus
      1 GO:0051646	mitochondrion localization
      1 GO:0051648	vesicle localization
      1 GO:0051650	establishment of vesicle localization
      1 GO:0051666	actin cortical patch localization
      1 GO:0051701	interaction with host
      1 GO:0051788	response to misfolded protein
      1 GO:0051817	modulation of process of other organism involved in symbiotic interaction
      1 GO:0051861	glycolipid binding
      1 GO:0051960	regulation of nervous system development
      1 GO:0051962	positive regulation of nervous system development
      1 GO:0051972	regulation of telomerase activity
      1 GO:0051974	negative regulation of telomerase activity
      1 GO:0052031	modulation by symbiont of host defense response
      1 GO:0052167	modulation by symbiont of host innate immune response
      1 GO:0052170	suppression by symbiont of host innate immune response
      1 GO:0052173	response to defenses of other organism
      1 GO:0052200	response to host defenses
      1 GO:0052553	modulation by symbiont of host immune response
      1 GO:0052562	suppression by symbiont of host immune response
      1 GO:0052572	response to host immune response
      1 GO:0052646	alditol phosphate metabolic process
      1 GO:0052689	carboxylic ester hydrolase activity
      1 GO:0052820	DNA-1,N6-ethenoadenine N-glycosylase activity
      1 GO:0055037	recycling endosome
      1 GO:0055044	symplast
      1 GO:0055065	metal ion homeostasis
      1 GO:0055072	iron ion homeostasis
      1 GO:0055076	transition metal ion homeostasis
      1 GO:0055080	cation homeostasis
      1 GO:0055082	cellular chemical homeostasis
      1 GO:0055088	lipid homeostasis
      1 GO:0055093	response to hyperoxia
      1 GO:0055105	ubiquitin-protein transferase inhibitor activity
      1 GO:0055106	ubiquitin-protein transferase regulator activity
      1 GO:0055120	striated muscle dense body
      1 GO:0055123	digestive system development
      1 GO:0060089	molecular transducer activity
      1 GO:0060179	male mating behavior
      1 GO:0060237	regulation of fungal-type cell wall organization
      1 GO:0060251	regulation of glial cell proliferation
      1 GO:0060252	positive regulation of glial cell proliferation
      1 GO:0060256	regulation of flocculation
      1 GO:0060257	negative regulation of flocculation
      1 GO:0060258	negative regulation of filamentous growth
      1 GO:0060284	regulation of cell development
      1 GO:0060429	epithelium development
      1 GO:0060562	epithelial tube morphogenesis
      1 GO:0060589	nucleoside-triphosphatase regulator activity
      1 GO:0060918	auxin transport
      1 GO:0061025	membrane fusion
      1 GO:0061370	testosterone biosynthetic process
      1 GO:0061564	axon development
      1 GO:0061695	transferase complex, transferring phosphorus-containing groups
      1 GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
      1 GO:0061951	establishment of protein localization to plasma membrane
      1 GO:0070039	rRNA (guanosine-2'-O-)-methyltransferase activity
      1 GO:0070273	phosphatidylinositol-4-phosphate binding
      1 GO:0070302	regulation of stress-activated protein kinase signaling cascade
      1 GO:0070304	positive regulation of stress-activated protein kinase signaling cascade
      1 GO:0070491	repressing transcription factor binding
      1 GO:0070577	lysine-acetylated histone binding
      1 GO:0070651	nonfunctional rRNA decay
      1 GO:0070671	response to interleukin-12
      1 GO:0070695	FHF complex
      1 GO:0070785	negative regulation of growth of unicellular organism as a thread of attached cells
      1 GO:0070813	hydrogen sulfide metabolic process
      1 GO:0070814	hydrogen sulfide biosynthetic process
      1 GO:0070838	divalent metal ion transport
      1 GO:0070925	organelle assembly
      1 GO:0070987	error-free translesion synthesis
      1 GO:0070988	demethylation
      1 GO:0070989	oxidative demethylation
      1 GO:0071000	response to magnetism
      1 GO:0071071	regulation of phospholipid biosynthetic process
      1 GO:0071072	negative regulation of phospholipid biosynthetic process
      1 GO:0071073	positive regulation of phospholipid biosynthetic process
      1 GO:0071156	regulation of cell cycle arrest
      1 GO:0071214	cellular response to abiotic stimulus
      1 GO:0071218	cellular response to misfolded protein
      1 GO:0071236	cellular response to antibiotic
      1 GO:0071265	L-methionine biosynthetic process
      1 GO:0071266	'de novo' L-methionine biosynthetic process
      1 GO:0071349	cellular response to interleukin-12
      1 GO:0071361	cellular response to ethanol
      1 GO:0071375	cellular response to peptide hormone stimulus
      1 GO:0071417	cellular response to organonitrogen compound
      1 GO:0071427	mRNA-containing ribonucleoprotein complex export from nucleus
      1 GO:0071428	rRNA-containing ribonucleoprotein complex export from nucleus
      1 GO:0071450	cellular response to oxygen radical
      1 GO:0071451	cellular response to superoxide
      1 GO:0071467	cellular response to pH
      1 GO:0071501	cellular response to sterol depletion
      1 GO:0071554	cell wall organization or biogenesis
      1 GO:0071568	UFM1 transferase activity
      1 GO:0071569	protein ufmylation
      1 GO:0071629	cytoplasm protein quality control by the ubiquitin-proteasome system
      1 GO:0071712	ER-associated misfolded protein catabolic process
      1 GO:0071826	ribonucleoprotein complex subunit organization
      1 GO:0071852	fungal-type cell wall organization or biogenesis
      1 GO:0071897	DNA biosynthetic process
      1 GO:0071900	regulation of protein serine/threonine kinase activity
      1 GO:0071902	positive regulation of protein serine/threonine kinase activity
      1 GO:0072329	monocarboxylic acid catabolic process
      1 GO:0072330	monocarboxylic acid biosynthetic process
      1 GO:0072344	rescue of stalled ribosome
      1 GO:0072359	circulatory system development
      1 GO:0072488	ammonium transmembrane transport
      1 GO:0072511	divalent inorganic cation transport
      1 GO:0072521	purine-containing compound metabolic process
      1 GO:0072522	purine-containing compound biosynthetic process
      1 GO:0072527	pyrimidine-containing compound metabolic process
      1 GO:0072528	pyrimidine-containing compound biosynthetic process
      1 GO:0072531	pyrimidine-containing compound transmembrane transport
      1 GO:0072659	protein localization to plasma membrane
      1 GO:0075136	response to host
      1 GO:0080022	primary root development
      1 GO:0080027	response to herbivore
      1 GO:0080146	L-cysteine desulfhydrase activity
      1 GO:0080171	lytic vacuole organization
      1 GO:0089709	L-histidine transmembrane transport
      1 GO:0090036	regulation of protein kinase C signaling
      1 GO:0090038	negative regulation of protein kinase C signaling
      1 GO:0090066	regulation of anatomical structure size
      1 GO:0090156	cellular sphingolipid homeostasis
      1 GO:0090174	organelle membrane fusion
      1 GO:0090325	regulation of locomotion involved in locomotory behavior
      1 GO:0090326	positive regulation of locomotion involved in locomotory behavior
      1 GO:0090329	regulation of DNA-dependent DNA replication
      1 GO:0090334	regulation of cell wall (1->3)-beta-D-glucan biosynthetic process
      1 GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic
      1 GO:0090529	cell septum assembly
      1 GO:0090558	plant epidermis development
      1 GO:0090626	plant epidermis morphogenesis
      1 GO:0090627	plant epidermal cell differentiation
      1 GO:0090696	post-embryonic plant organ development
      1 GO:0090697	post-embryonic plant organ morphogenesis
      1 GO:0097001	ceramide binding
      1 GO:0097190	apoptotic signaling pathway
      1 GO:0097193	intrinsic apoptotic signaling pathway
      1 GO:0097223	obsolete sperm part
      1 GO:0097228	sperm principal piece
      1 GO:0097306	cellular response to alcohol
      1 GO:0097421	liver regeneration
      1 GO:0097440	apical dendrite
      1 GO:0097441	basal dendrite
      1 GO:0097447	dendritic tree
      1 GO:0097472	cyclin-dependent protein kinase activity
      1 GO:0097485	neuron projection guidance
      1 GO:0097576	vacuole fusion
      1 GO:0097659	nucleic acid-templated transcription
      1 GO:0097729	9+2 motile cilium
      1 GO:0097746	regulation of blood vessel diameter
      1 GO:0097755	positive regulation of blood vessel diameter
      1 GO:0098552	side of membrane
      1 GO:0098554	cytoplasmic side of endoplasmic reticulum membrane
      1 GO:0098556	cytoplasmic side of rough endoplasmic reticulum membrane
      1 GO:0098562	cytoplasmic side of membrane
      1 GO:0098586	cellular response to virus
      1 GO:0098590	plasma membrane region
      1 GO:0098600	selenomethionine gamma-lyase activity
      1 GO:0098606	selenocystathionine gamma-lyase activity
      1 GO:0098607	methylselenocysteine deselenhydrase activity
      1 GO:0098620	seryl-selenocysteinyl-tRNA kinase activity
      1 GO:0098630	aggregation of unicellular organisms
      1 GO:0098655	cation transmembrane transport
      1 GO:0098656	anion transmembrane transport
      1 GO:0098743	cell aggregation
      1 GO:0098771	inorganic ion homeostasis
      1 GO:0098798	mitochondrial protein complex
      1 GO:0098800	inner mitochondrial membrane protein complex
      1 GO:0098852	lytic vacuole membrane
      1 GO:0098876	vesicle-mediated transport to the plasma membrane
      1 GO:0098927	vesicle-mediated transport between endosomal compartments
      1 GO:0099023	vesicle tethering complex
      1 GO:0099080	supramolecular complex
      1 GO:0099081	supramolecular polymer
      1 GO:0099503	secretory vesicle
      1 GO:0099512	supramolecular fiber
      1 GO:0104004	cellular response to environmental stimulus
      1 GO:0110053	regulation of actin filament organization
      1 GO:0120009	intermembrane lipid transfer
      1 GO:0120010	intermembrane phospholipid transfer
      1 GO:0140029	exocytic process
      1 GO:0140033	acetylation-dependent protein binding
      1 GO:0140056	organelle localization by membrane tethering
      1 GO:0140097	catalytic activity, acting on DNA
      1 GO:0140101	catalytic activity, acting on a tRNA
      1 GO:0140102	catalytic activity, acting on a rRNA
      1 GO:1900055	regulation of leaf senescence
      1 GO:1900057	positive regulation of leaf senescence
      1 GO:1900180	regulation of protein localization to nucleus
      1 GO:1900182	positive regulation of protein localization to nucleus
      1 GO:1900239	regulation of phenotypic switching
      1 GO:1900241	positive regulation of phenotypic switching
      1 GO:1900407	regulation of cellular response to oxidative stress
      1 GO:1900408	negative regulation of cellular response to oxidative stress
      1 GO:1900429	negative regulation of filamentous growth of a population of unicellular organisms
      1 GO:1900460	obsolete negative regulation of invasive growth in response to glucose limitation by negative regulation of transcription from RNA polymerase II promoter
      1 GO:1900462	obsolete negative regulation of pseudohyphal growth by negative regulation of transcription from RNA polymerase II promoter
      1 GO:1900542	regulation of purine nucleotide metabolic process
      1 GO:1901214	regulation of neuron death
      1 GO:1901215	negative regulation of neuron death
      1 GO:1901265	nucleoside phosphate binding
      1 GO:1901351	regulation of phosphatidylglycerol biosynthetic process
      1 GO:1901352	negative regulation of phosphatidylglycerol biosynthetic process
      1 GO:1901474	azole transmembrane transporter activity
      1 GO:1901606	alpha-amino acid catabolic process
      1 GO:1901652	response to peptide
      1 GO:1901653	cellular response to peptide
      1 GO:1901654	response to ketone
      1 GO:1901657	glycosyl compound metabolic process
      1 GO:1901679	nucleotide transmembrane transport
      1 GO:1901699	cellular response to nitrogen compound
      1 GO:1901798	positive regulation of signal transduction by p53 class mediator
      1 GO:1901799	negative regulation of proteasomal protein catabolic process
      1 GO:1901800	positive regulation of proteasomal protein catabolic process
      1 GO:1901983	regulation of protein acetylation
      1 GO:1901985	positive regulation of protein acetylation
      1 GO:1901988	negative regulation of cell cycle phase transition
      1 GO:1901991	negative regulation of mitotic cell cycle phase transition
      1 GO:1901999	homogentisate metabolic process
      1 GO:1902000	homogentisate catabolic process
      1 GO:1902022	L-lysine transport
      1 GO:1902023	L-arginine transport
