      1 GO:0000019	regulation of mitotic recombination
      1 GO:0045463	R8 cell development
      1 GO:0045465	R8 cell differentiation
      1 GO:0045466	R7 cell differentiation
      1 GO:0045470	R8 cell-mediated photoreceptor organization
      1 GO:0045472	response to ether
      1 GO:0045475	locomotor rhythm
      1 GO:0045570	regulation of imaginal disc growth
      1 GO:0045572	positive regulation of imaginal disc growth
      1 GO:0045598	regulation of fat cell differentiation
      1 GO:0045637	regulation of myeloid cell differentiation
      1 GO:0045652	regulation of megakaryocyte differentiation
      1 GO:0045667	regulation of osteoblast differentiation
      1 GO:0045669	positive regulation of osteoblast differentiation
      1 GO:0045703	ketoreductase activity
      1 GO:0045719	negative regulation of glycogen biosynthetic process
      1 GO:0045733	acetate catabolic process
      1 GO:0045739	positive regulation of DNA repair
      1 GO:0045740	positive regulation of DNA replication
      1 GO:0045742	positive regulation of epidermal growth factor receptor signaling pathway
      1 GO:0045743	positive regulation of fibroblast growth factor receptor signaling pathway
      1 GO:0045744	negative regulation of G protein-coupled receptor signaling pathway
      1 GO:0045764	positive regulation of cellular amino acid metabolic process
      1 GO:0045778	positive regulation of ossification
      1 GO:0045779	negative regulation of bone resorption
      1 GO:0045792	negative regulation of cell size
      1 GO:0045793	positive regulation of cell size
      1 GO:0045799	positive regulation of chromatin assembly or disassembly
      1 GO:0045806	negative regulation of endocytosis
      1 GO:0045827	negative regulation of isoprenoid metabolic process
      1 GO:0045828	positive regulation of isoprenoid metabolic process
      1 GO:0045843	negative regulation of striated muscle tissue development
      1 GO:0045844	positive regulation of striated muscle tissue development
      1 GO:0045876	positive regulation of sister chromatid cohesion
      1 GO:0045879	negative regulation of smoothened signaling pathway
      1 GO:0045880	positive regulation of smoothened signaling pathway
      1 GO:0045881	positive regulation of sporulation resulting in formation of a cellular spore
      1 GO:0045900	negative regulation of translational elongation
      1 GO:0045901	positive regulation of translational elongation
      1 GO:0045905	positive regulation of translational termination
      1 GO:0045911	positive regulation of DNA recombination
      1 GO:0045914	negative regulation of catecholamine metabolic process
      1 GO:0045919	positive regulation of cytolysis
      1 GO:0045920	negative regulation of exocytosis
      1 GO:0045932	negative regulation of muscle contraction
      1 GO:0045933	positive regulation of muscle contraction
      1 GO:0045943	positive regulation of transcription by RNA polymerase I
      1 GO:0045945	positive regulation of transcription by RNA polymerase III
      1 GO:0045951	positive regulation of mitotic recombination
      1 GO:0045963	negative regulation of dopamine metabolic process
      1 GO:0045966	positive regulation of ecdysteroid metabolic process
      1 GO:0045974	regulation of translation, ncRNA-mediated
      1 GO:0045977	positive regulation of mitotic cell cycle, embryonic
      1 GO:0045988	negative regulation of striated muscle contraction
      1 GO:0045989	positive regulation of striated muscle contraction
      1 GO:0045998	positive regulation of ecdysteroid biosynthetic process
      1 GO:0046011	regulation of oskar mRNA translation
      1 GO:0046019	regulation of transcription from RNA polymerase II promoter by pheromones
      1 GO:0046028	electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity
      1 GO:0046033	AMP metabolic process
      1 GO:0046041	ITP metabolic process
      1 GO:0046051	UTP metabolic process
      1 GO:0046060	dATP metabolic process
      1 GO:0046068	cGMP metabolic process
      1 GO:0046116	queuosine metabolic process
      1 GO:0046130	purine ribonucleoside catabolic process
      1 GO:0046131	pyrimidine ribonucleoside metabolic process
      1 GO:0046152	ommochrome metabolic process
      1 GO:0046158	ocellus pigment metabolic process
      1 GO:0046160	heme a metabolic process
      1 GO:0046166	glyceraldehyde-3-phosphate biosynthetic process
      1 GO:0046189	phenol-containing compound biosynthetic process
      1 GO:0046210	nitric oxide catabolic process
      1 GO:0046256	2,4,6-trinitrotoluene catabolic process
      1 GO:0046260	trinitrotoluene catabolic process
      1 GO:0046263	nitrotoluene catabolic process
      1 GO:0046317	regulation of glucosylceramide biosynthetic process
      1 GO:0046318	negative regulation of glucosylceramide biosynthetic process
      1 GO:0046320	regulation of fatty acid oxidation
      1 GO:0046321	positive regulation of fatty acid oxidation
      1 GO:0046323	glucose import
      1 GO:0046331	lateral inhibition
      1 GO:0046332	SMAD binding
      1 GO:0046337	phosphatidylethanolamine metabolic process
      1 GO:0046339	diacylglycerol metabolic process
      1 GO:0046340	diacylglycerol catabolic process
      1 GO:0046359	butyrate catabolic process
      1 GO:0046383	dTDP-rhamnose metabolic process
      1 GO:0046416	D-amino acid metabolic process
      1 GO:0046417	chorismate metabolic process
      1 GO:0046421	methylisocitrate lyase activity
      1 GO:0046425	regulation of receptor signaling pathway via JAK-STAT
      1 GO:0046438	D-cysteine metabolic process
      1 GO:0046443	FAD metabolic process
      1 GO:0046465	dolichyl diphosphate metabolic process
      1 GO:0046476	glycosylceramide biosynthetic process
      1 GO:0046519	sphingoid metabolic process
      1 GO:0046523	S-methyl-5-thioribose-1-phosphate isomerase activity
      1 GO:0046579	positive regulation of Ras protein signal transduction
      1 GO:0046601	positive regulation of centriole replication
      1 GO:0046602	regulation of mitotic centrosome separation
      1 GO:0046604	positive regulation of mitotic centrosome separation
      1 GO:0046622	positive regulation of organ growth
      1 GO:0046625	sphingolipid binding
      1 GO:0046628	positive regulation of insulin receptor signaling pathway
      1 GO:0046631	alpha-beta T cell activation
      1 GO:0046632	alpha-beta T cell differentiation
      1 GO:0046635	positive regulation of alpha-beta T cell activation
      1 GO:0046636	negative regulation of alpha-beta T cell activation
      1 GO:0046637	regulation of alpha-beta T cell differentiation
      1 GO:0046638	positive regulation of alpha-beta T cell differentiation
      1 GO:0046651	lymphocyte proliferation
      1 GO:0046658	anchored component of plasma membrane
      1 GO:0046666	retinal cell programmed cell death
      1 GO:0046667	compound eye retinal cell programmed cell death
      1 GO:0046668	regulation of retinal cell programmed cell death
      1 GO:0046669	regulation of compound eye retinal cell programmed cell death
      1 GO:0046695	SLIK (SAGA-like) complex
      1 GO:0046716	muscle cell cellular homeostasis
      1 GO:0046719	regulation by virus of viral protein levels in host cell
      1 GO:0046726	positive regulation by virus of viral protein levels in host cell
      1 GO:0046782	regulation of viral transcription
      1 GO:0046794	transport of virus
      1 GO:0046821	extrachromosomal DNA
      1 GO:0046823	negative regulation of nucleocytoplasmic transport
      1 GO:0046826	negative regulation of protein export from nucleus
      1 GO:0046833	positive regulation of RNA export from nucleus
      1 GO:0046836	glycolipid transport
      1 GO:0046838	phosphorylated carbohydrate dephosphorylation
      1 GO:0046851	negative regulation of bone remodeling
      1 GO:0046855	inositol phosphate dephosphorylation
      1 GO:0046857	oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor
      1 GO:0046864	isoprenoid transport
      1 GO:0046865	terpenoid transport
      1 GO:0046899	nucleoside triphosphate adenylate kinase activity
      1 GO:0046905	phytoene synthase activity
      1 GO:0046930	pore complex
      1 GO:0046940	nucleoside monophosphate phosphorylation
      1 GO:0046956	positive phototaxis
      1 GO:0046966	thyroid hormone receptor binding
      1 GO:0046969	NAD-dependent histone deacetylase activity (H3-K9 specific)
      1 GO:0047018	indole-3-acetaldehyde reductase (NADH) activity
      1 GO:0047019	indole-3-acetaldehyde reductase (NADPH) activity
      1 GO:0047022	7-beta-hydroxysteroid dehydrogenase (NADP+) activity
      1 GO:0047035	testosterone dehydrogenase (NAD+) activity
      1 GO:0047057	vitamin-K-epoxide reductase (warfarin-sensitive) activity
      1 GO:0047058	vitamin-K-epoxide reductase (warfarin-insensitive) activity
      1 GO:0047497	mitochondrion transport along microtubule
      1 GO:0047598	7-dehydrocholesterol reductase activity
      1 GO:0047726	iron-cytochrome-c reductase activity
      1 GO:0047988	hydroxyacid-oxoacid transhydrogenase activity
      1 GO:0048010	vascular endothelial growth factor receptor signaling pathway
      1 GO:0048013	ephrin receptor signaling pathway
      1 GO:0048029	monosaccharide binding
      1 GO:0048047	mating behavior, sex discrimination
      1 GO:0048052	R1/R6 cell differentiation
      1 GO:0048069	eye pigmentation
      1 GO:0048072	compound eye pigmentation
      1 GO:0048102	autophagic cell death
      1 GO:0048145	regulation of fibroblast proliferation
      1 GO:0048146	positive regulation of fibroblast proliferation
      1 GO:0048149	behavioral response to ethanol
      1 GO:0048162	multi-layer follicle stage
      1 GO:0048167	regulation of synaptic plasticity
      1 GO:0048168	regulation of neuronal synaptic plasticity
      1 GO:0048169	regulation of long-term neuronal synaptic plasticity
      1 GO:0048190	wing disc dorsal/ventral pattern formation
      1 GO:0048209	regulation of vesicle targeting, to, from or within Golgi
      1 GO:0048246	macrophage chemotaxis
      1 GO:0048255	mRNA stabilization
      1 GO:0048256	flap endonuclease activity
      1 GO:0048262	determination of dorsal/ventral asymmetry
      1 GO:0048264	determination of ventral identity
      1 GO:0048265	response to pain
      1 GO:0048286	lung alveolus development
      1 GO:0048318	axial mesoderm development
      1 GO:0048332	mesoderm morphogenesis
      1 GO:0048365	Rac GTPase binding
      1 GO:0048384	retinoic acid receptor signaling pathway
      1 GO:0048385	regulation of retinoic acid receptor signaling pathway
      1 GO:0048490	anterograde synaptic vesicle transport
      1 GO:0048506	regulation of timing of meristematic phase transition
      1 GO:0048510	regulation of timing of transition from vegetative to reproductive phase
      1 GO:0048520	positive regulation of behavior
      1 GO:0048521	negative regulation of behavior
      1 GO:0048542	lymph gland development
      1 GO:0048546	digestive tract morphogenesis
      1 GO:0048573	photoperiodism, flowering
      1 GO:0048635	negative regulation of muscle organ development
      1 GO:0048636	positive regulation of muscle organ development
      1 GO:0048640	negative regulation of developmental growth
      1 GO:0048641	regulation of skeletal muscle tissue development
      1 GO:0048643	positive regulation of skeletal muscle tissue development
      1 GO:0048644	muscle organ morphogenesis
      1 GO:0048653	anther development
      1 GO:0048660	regulation of smooth muscle cell proliferation
      1 GO:0048662	negative regulation of smooth muscle cell proliferation
      1 GO:0048670	regulation of collateral sprouting
      1 GO:0048671	negative regulation of collateral sprouting
      1 GO:0048701	embryonic cranial skeleton morphogenesis
      1 GO:0048703	embryonic viscerocranium morphogenesis
      1 GO:0048733	sebaceous gland development
      1 GO:0048738	cardiac muscle tissue development
      1 GO:0048757	pigment granule maturation
      1 GO:0048762	mesenchymal cell differentiation
      1 GO:0048770	pigment granule
      1 GO:0048771	tissue remodeling
      1 GO:0048786	presynaptic active zone
      1 GO:0048820	hair follicle maturation
      1 GO:0048826	cotyledon morphogenesis
      1 GO:0048873	homeostasis of number of cells within a tissue
      1 GO:0048880	sensory system development
      1 GO:0048881	mechanosensory lateral line system development
      1 GO:0048882	lateral line development
      1 GO:0048915	posterior lateral line system development
      1 GO:0048916	posterior lateral line development
      1 GO:0048925	lateral line system development
      1 GO:0050145	nucleoside monophosphate kinase activity
      1 GO:0050152	omega-amidase activity
      1 GO:0050308	sugar-phosphatase activity
      1 GO:0050354	triokinase activity
      1 GO:0050373	UDP-arabinose 4-epimerase activity
      1 GO:0050377	UDP-glucose 4,6-dehydratase activity
      1 GO:0050421	nitrite reductase (NO-forming) activity
      1 GO:0050434	positive regulation of viral transcription
      1 GO:0050435	amyloid-beta metabolic process
      1 GO:0050542	icosanoid binding
      1 GO:0050577	GDP-L-fucose synthase activity
      1 GO:0050614	delta24-sterol reductase activity
      1 GO:0050666	regulation of homocysteine metabolic process
      1 GO:0050668	positive regulation of homocysteine metabolic process
      1 GO:0050680	negative regulation of epithelial cell proliferation
      1 GO:0050687	negative regulation of defense response to virus
      1 GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation
      1 GO:0050732	negative regulation of peptidyl-tyrosine phosphorylation
      1 GO:0050765	negative regulation of phagocytosis
      1 GO:0050771	negative regulation of axonogenesis
      1 GO:0050772	positive regulation of axonogenesis
      1 GO:0050779	RNA destabilization
      1 GO:0050806	positive regulation of synaptic transmission
      1 GO:0050818	regulation of coagulation
      1 GO:0050820	positive regulation of coagulation
      1 GO:0050829	defense response to Gram-negative bacterium
      1 GO:0050830	defense response to Gram-positive bacterium
      1 GO:0050843	S-adenosylmethionine catabolic process
      1 GO:0050851	antigen receptor-mediated signaling pathway
      1 GO:0050852	T cell receptor signaling pathway
      1 GO:0050864	regulation of B cell activation
      1 GO:0050866	negative regulation of cell activation
      1 GO:0050868	negative regulation of T cell activation
      1 GO:0050871	positive regulation of B cell activation
      1 GO:0050872	white fat cell differentiation
      1 GO:0050873	brown fat cell differentiation
      1 GO:0050879	multicellular organismal movement
      1 GO:0050881	musculoskeletal movement
      1 GO:0050885	neuromuscular process controlling balance
      1 GO:0050886	endocrine process
      1 GO:0050891	multicellular organismal water homeostasis
      1 GO:0050906	detection of stimulus involved in sensory perception
      1 GO:0050907	detection of chemical stimulus involved in sensory perception
      1 GO:0050926	regulation of positive chemotaxis
      1 GO:0050931	pigment cell differentiation
      1 GO:0050975	sensory perception of touch
      1 GO:0050982	detection of mechanical stimulus
      1 GO:0050994	regulation of lipid catabolic process
      1 GO:0050995	negative regulation of lipid catabolic process
      1 GO:0050997	quaternary ammonium group binding
      1 GO:0050999	regulation of nitric-oxide synthase activity
      1 GO:0051001	negative regulation of nitric-oxide synthase activity
      1 GO:0051016	barbed-end actin filament capping
      1 GO:0051019	mitogen-activated protein kinase binding
      1 GO:0051030	snRNA transport
      1 GO:0051057	positive regulation of small GTPase mediated signal transduction
      1 GO:0051092	positive regulation of NF-kappaB transcription factor activity
      1 GO:0051095	regulation of helicase activity
      1 GO:0051096	positive regulation of helicase activity
      1 GO:0051119	sugar transmembrane transporter activity
      1 GO:0051126	negative regulation of actin nucleation
      1 GO:0051131	chaperone-mediated protein complex assembly
      1 GO:0051146	striated muscle cell differentiation
      1 GO:0051148	negative regulation of muscle cell differentiation
      1 GO:0051154	negative regulation of striated muscle cell differentiation
      1 GO:0051155	positive regulation of striated muscle cell differentiation
      1 GO:0051177	meiotic sister chromatid cohesion
      1 GO:0051204	protein insertion into mitochondrial membrane
      1 GO:0051211	anisotropic cell growth
      1 GO:0051219	phosphoprotein binding
      1 GO:0051228	mitotic spindle disassembly
      1 GO:0051230	spindle disassembly
      1 GO:0051250	negative regulation of lymphocyte activation
      1 GO:0051255	spindle midzone assembly
      1 GO:0051256	mitotic spindle midzone assembly
      1 GO:0051268	alpha-keto amide reductase activity
      1 GO:0051269	alpha-keto ester reductase activity
      1 GO:0051273	beta-glucan metabolic process
      1 GO:0051274	beta-glucan biosynthetic process
      1 GO:0051279	regulation of release of sequestered calcium ion into cytosol
      1 GO:0051282	regulation of sequestering of calcium ion
      1 GO:0051292	nuclear pore complex assembly
      1 GO:0051298	centrosome duplication
      1 GO:0051305	chromosome movement towards spindle pole
      1 GO:0051307	meiotic chromosome separation
      1 GO:0051315	attachment of mitotic spindle microtubules to kinetochore
      1 GO:0051382	kinetochore assembly
      1 GO:0051383	kinetochore organization
      1 GO:0051402	neuron apoptotic process
      1 GO:0051428	peptide hormone receptor binding
      1 GO:0051444	negative regulation of ubiquitin-protein transferase activity
      1 GO:0051446	positive regulation of meiotic cell cycle
      1 GO:0051457	maintenance of protein location in nucleus
      1 GO:0051480	regulation of cytosolic calcium ion concentration
      1 GO:0051489	regulation of filopodium assembly
      1 GO:0051490	negative regulation of filopodium assembly
      1 GO:0051492	regulation of stress fiber assembly
      1 GO:0051510	regulation of unidimensional cell growth
      1 GO:0051512	positive regulation of unidimensional cell growth
      1 GO:0051516	regulation of bipolar cell growth
      1 GO:0051518	positive regulation of bipolar cell growth
      1 GO:0051519	activation of bipolar cell growth
      1 GO:0051523	cell growth mode switching, monopolar to bipolar
      1 GO:0051538	3 iron, 4 sulfur cluster binding
      1 GO:0051552	flavone metabolic process
      1 GO:0051553	flavone biosynthetic process
      1 GO:0051554	flavonol metabolic process
      1 GO:0051555	flavonol biosynthetic process
      1 GO:0051567	histone H3-K9 methylation
      1 GO:0051573	negative regulation of histone H3-K9 methylation
      1 GO:0051588	regulation of neurotransmitter transport
      1 GO:0051590	positive regulation of neurotransmitter transport
      1 GO:0051593	response to folic acid
      1 GO:0051599	response to hydrostatic pressure
      1 GO:0051601	exocyst localization
      1 GO:0051643	endoplasmic reticulum localization
      1 GO:0051654	establishment of mitochondrion localization
      1 GO:0051666	actin cortical patch localization
      1 GO:0051686	establishment of ER localization
      1 GO:0051697	protein delipidation
      1 GO:0051721	protein phosphatase 2A binding
      1 GO:0051723	protein methylesterase activity
      1 GO:0051731	polynucleotide 5'-hydroxyl-kinase activity
      1 GO:0051732	polyribonucleotide kinase activity
      1 GO:0051733	polydeoxyribonucleotide kinase activity
      1 GO:0051734	ATP-dependent polynucleotide kinase activity
      1 GO:0051736	ATP-dependent polyribonucleotide 5'-hydroxyl-kinase activity
      1 GO:0051776	detection of redox state
      1 GO:0051782	negative regulation of cell division
      1 GO:0051861	glycolipid binding
      1 GO:0051865	protein autoubiquitination
      1 GO:0051893	regulation of focal adhesion assembly
      1 GO:0051895	negative regulation of focal adhesion assembly
      1 GO:0051908	double-stranded DNA 5'-3' exodeoxyribonuclease activity
      1 GO:0051928	positive regulation of calcium ion transport
      1 GO:0051973	positive regulation of telomerase activity
      1 GO:0051996	squalene synthase activity
      1 GO:0052033	obsolete pathogen-associated molecular pattern dependent induction by symbiont of host innate immune response
      1 GO:0052126	movement in host environment
      1 GO:0052128	positive energy taxis
      1 GO:0052169	obsolete pathogen-associated molecular pattern dependent modulation by symbiont of host innate immune response
      1 GO:0052192	obsolete movement in environment of other organism involved in symbiotic interaction
      1 GO:0052257	obsolete pathogen-associated molecular pattern dependent induction by organism of innate immune response of other organism involved in symbiotic interaction
      1 GO:0052308	obsolete pathogen-associated molecular pattern dependent modulation by organism of innate immune response in other organism involved in symbiotic interaction
      1 GO:0052312	modulation of transcription in other organism involved in symbiotic interaction
      1 GO:0052472	modulation by host of symbiont transcription
      1 GO:0052745	inositol phosphate phosphatase activity
      1 GO:0052834	inositol monophosphate phosphatase activity
      1 GO:0052851	ferric-chelate reductase (NADPH) activity
      1 GO:0052886	9,9'-dicis-carotene:quinone oxidoreductase activity
      1 GO:0052889	9,9'-di-cis-zeta-carotene desaturation to 7,9,7',9'-tetra-cis-lycopene
      1 GO:0052890	oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor
      1 GO:0055001	muscle cell development
      1 GO:0055002	striated muscle cell development
      1 GO:0055008	cardiac muscle tissue morphogenesis
      1 GO:0055017	cardiac muscle tissue growth
      1 GO:0055024	regulation of cardiac muscle tissue development
      1 GO:0055026	negative regulation of cardiac muscle tissue development
      1 GO:0055038	recycling endosome membrane
      1 GO:0055056	D-glucose transmembrane transporter activity
      1 GO:0055057	neuroblast division
      1 GO:0055059	asymmetric neuroblast division
      1 GO:0055069	zinc ion homeostasis
      1 GO:0055075	potassium ion homeostasis
      1 GO:0055078	sodium ion homeostasis
      1 GO:0055079	aluminum ion homeostasis
      1 GO:0055092	sterol homeostasis
      1 GO:0055093	response to hyperoxia
      1 GO:0055105	ubiquitin-protein transferase inhibitor activity
      1 GO:0055115	entry into diapause
      1 GO:0055117	regulation of cardiac muscle contraction
      1 GO:0060042	retina morphogenesis in camera-type eye
      1 GO:0060047	heart contraction
      1 GO:0060049	regulation of protein glycosylation
      1 GO:0060113	inner ear receptor cell differentiation
      1 GO:0060117	auditory receptor cell development
      1 GO:0060119	inner ear receptor cell development
      1 GO:0060135	maternal process involved in female pregnancy
      1 GO:0060143	positive regulation of syncytium formation by plasma membrane fusion
      1 GO:0060149	negative regulation of posttranscriptional gene silencing
      1 GO:0060170	ciliary membrane
      1 GO:0060173	limb development
      1 GO:0060176	regulation of aggregation involved in sorocarp development
      1 GO:0060179	male mating behavior
      1 GO:0060188	regulation of protein desumoylation
      1 GO:0060191	regulation of lipase activity
      1 GO:0060192	negative regulation of lipase activity
      1 GO:0060211	regulation of nuclear-transcribed mRNA poly(A) tail shortening
      1 GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening
      1 GO:0060218	hematopoietic stem cell differentiation
      1 GO:0060219	camera-type eye photoreceptor cell differentiation
      1 GO:0060256	regulation of flocculation
      1 GO:0060257	negative regulation of flocculation
      1 GO:0060258	negative regulation of filamentous growth
      1 GO:0060259	regulation of feeding behavior
      1 GO:0060263	regulation of respiratory burst
      1 GO:0060264	regulation of respiratory burst involved in inflammatory response
      1 GO:0060265	positive regulation of respiratory burst involved in inflammatory response
      1 GO:0060266	negative regulation of respiratory burst involved in inflammatory response
      1 GO:0060267	positive regulation of respiratory burst
      1 GO:0060268	negative regulation of respiratory burst
      1 GO:0060278	regulation of ovulation
      1 GO:0060280	negative regulation of ovulation
      1 GO:0060281	regulation of oocyte development
      1 GO:0060327	cytoplasmic actin-based contraction involved in cell motility
      1 GO:0060328	cytoplasmic actin-based contraction involved in forward cell motility
      1 GO:0060337	type I interferon signaling pathway
      1 GO:0060349	bone morphogenesis
      1 GO:0060350	endochondral bone morphogenesis
      1 GO:0060351	cartilage development involved in endochondral bone morphogenesis
      1 GO:0060382	regulation of DNA strand elongation
      1 GO:0060383	positive regulation of DNA strand elongation
      1 GO:0060401	cytosolic calcium ion transport
      1 GO:0060415	muscle tissue morphogenesis
      1 GO:0060416	response to growth hormone
      1 GO:0060419	heart growth
      1 GO:0060425	lung morphogenesis
      1 GO:0060438	trachea development
      1 GO:0060467	negative regulation of fertilization
      1 GO:0060468	prevention of polyspermy
      1 GO:0060471	cortical granule exocytosis
      1 GO:0060485	mesenchyme development
      1 GO:0060563	neuroepithelial cell differentiation
      1 GO:0060586	multicellular organismal iron ion homeostasis
      1 GO:0060606	tube closure
      1 GO:0060623	regulation of chromosome condensation
      1 GO:0060631	regulation of meiosis I
      1 GO:0060688	regulation of morphogenesis of a branching structure
      1 GO:0060736	prostate gland growth
      1 GO:0060810	intracellular mRNA localization involved in pattern specification process
      1 GO:0060811	intracellular mRNA localization involved in anterior/posterior axis specification
      1 GO:0060840	artery development
      1 GO:0060904	regulation of protein folding in endoplasmic reticulum
      1 GO:0060918	auxin transport
      1 GO:0060976	coronary vasculature development
      1 GO:0060988	lipid tube assembly
      1 GO:0060990	lipid tube assembly involved in organelle fission
      1 GO:0060992	response to fungicide
      1 GO:0061031	endodermal digestive tract morphogenesis
      1 GO:0061035	regulation of cartilage development
      1 GO:0061036	positive regulation of cartilage development
      1 GO:0061041	regulation of wound healing
      1 GO:0061053	somite development
      1 GO:0061066	positive regulation of dauer larval development
      1 GO:0061083	regulation of protein refolding
      1 GO:0061097	regulation of protein tyrosine kinase activity
      1 GO:0061099	negative regulation of protein tyrosine kinase activity
      1 GO:0061113	pancreas morphogenesis
      1 GO:0061133	endopeptidase activator activity
      1 GO:0061135	endopeptidase regulator activity
      1 GO:0061157	mRNA destabilization
      1 GO:0061158	3'-UTR-mediated mRNA destabilization
      1 GO:0061163	endoplasmic reticulum polarization
      1 GO:0061164	transitional endoplasmic reticulum polarization at cell division site
      1 GO:0061165	endoplasmic reticulum localization involved in endoplasmic reticulum polarization at cell division site
      1 GO:0061166	establishment of endoplasmic reticulum localization involved in endoplasmic reticulum polarization at cell division site
      1 GO:0061171	establishment of bipolar cell polarity
      1 GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus
      1 GO:0061370	testosterone biosynthetic process
      1 GO:0061389	regulation of direction of cell growth
      1 GO:0061418	regulation of transcription from RNA polymerase II promoter in response to hypoxia
      1 GO:0061484	hematopoietic stem cell homeostasis
      1 GO:0061502	early endosome to recycling endosome transport
      1 GO:0061587	transfer RNA gene-mediated silencing
      1 GO:0061606	N-terminal protein amino acid propionylation
      1 GO:0061615	glycolytic process through fructose-6-phosphate
      1 GO:0061620	glycolytic process through glucose-6-phosphate
      1 GO:0061621	canonical glycolysis
      1 GO:0061624	fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate
      1 GO:0061625	glycolytic process through fructose-1-phosphate
      1 GO:0061631	ubiquitin conjugating enzyme activity
      1 GO:0061635	regulation of protein complex stability
      1 GO:0061641	CENP-A containing chromatin organization
      1 GO:0061650	ubiquitin-like protein conjugating enzyme activity
      1 GO:0061668	mitochondrial ribosome assembly
      1 GO:0061684	chaperone-mediated autophagy
      1 GO:0061718	glucose catabolic process to pyruvate
      1 GO:0061723	glycophagy
      1 GO:0061732	mitochondrial acetyl-CoA biosynthetic process from pyruvate
      1 GO:0061738	late endosomal microautophagy
      1 GO:0061741	chaperone-mediated protein transport involved in chaperone-mediated autophagy
      1 GO:0061744	motor behavior
      1 GO:0061762	CAMKK-AMPK signaling cascade
      1 GO:0061775	cohesin ATPase activity
      1 GO:0061780	mitotic cohesin loading
      1 GO:0061802	anterior cell cortex
      1 GO:0061820	telomeric D-loop disassembly
      1 GO:0061821	telomeric D-loop binding
      1 GO:0061836	intranuclear rod
      1 GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
      1 GO:0061856	Golgi calcium ion transmembrane transport
      1 GO:0061860	DNA clamp unloader activity
      1 GO:0061951	establishment of protein localization to plasma membrane
      1 GO:0062022	mitotic cohesin ssDNA (lagging strand) loading
      1 GO:0062037	D-loop DNA binding
      1 GO:0065001	specification of axis polarity
      1 GO:0065005	protein-lipid complex assembly
      1 GO:0070025	carbon monoxide binding
      1 GO:0070026	nitric oxide binding
      1 GO:0070071	proton-transporting two-sector ATPase complex assembly
      1 GO:0070092	regulation of glucagon secretion
      1 GO:0070094	positive regulation of glucagon secretion
      1 GO:0070095	fructose-6-phosphate binding
      1 GO:0070127	tRNA aminoacylation for mitochondrial protein translation
      1 GO:0070150	mitochondrial glycyl-tRNA aminoacylation
      1 GO:0070161	anchoring junction
      1 GO:0070166	enamel mineralization
      1 GO:0070187	shelterin complex
      1 GO:0070193	synaptonemal complex organization
      1 GO:0070198	protein localization to chromosome, telomeric region
      1 GO:0070199	establishment of protein localization to chromosome
      1 GO:0070200	establishment of protein localization to telomere
      1 GO:0070202	regulation of establishment of protein localization to chromosome
      1 GO:0070203	regulation of establishment of protein localization to telomere
      1 GO:0070206	protein trimerization
      1 GO:0070208	protein heterotrimerization
      1 GO:0070210	Rpd3L-Expanded complex
      1 GO:0070227	lymphocyte apoptotic process
      1 GO:0070231	T cell apoptotic process
      1 GO:0070252	actin-mediated cell contraction
      1 GO:0070262	peptidyl-serine dephosphorylation
      1 GO:0070265	necrotic cell death
      1 GO:0070280	pyridoxal binding
      1 GO:0070304	positive regulation of stress-activated protein kinase signaling cascade
      1 GO:0070307	lens fiber cell development
      1 GO:0070309	lens fiber cell morphogenesis
      1 GO:0070316	regulation of G0 to G1 transition
      1 GO:0070317	negative regulation of G0 to G1 transition
      1 GO:0070330	aromatase activity
      1 GO:0070344	regulation of fat cell proliferation
      1 GO:0070350	regulation of white fat cell proliferation
      1 GO:0070365	hepatocyte differentiation
      1 GO:0070370	cellular heat acclimation
      1 GO:0070401	NADP+ binding
      1 GO:0070402	NADPH binding
      1 GO:0070405	ammonium ion binding
      1 GO:0070408	carbamoyl phosphate metabolic process
      1 GO:0070409	carbamoyl phosphate biosynthetic process
      1 GO:0070413	trehalose metabolism in response to stress
      1 GO:0070414	trehalose metabolism in response to heat stress
      1 GO:0070452	positive regulation of ergosterol biosynthetic process
      1 GO:0070510	regulation of histone H4-K20 methylation
      1 GO:0070512	positive regulation of histone H4-K20 methylation
      1 GO:0070528	protein kinase C signaling
      1 GO:0070531	BRCA1-A complex
      1 GO:0070548	L-glutamine aminotransferase activity
      1 GO:0070562	regulation of vitamin D receptor signaling pathway
      1 GO:0070564	positive regulation of vitamin D receptor signaling pathway
      1 GO:0070567	cytidylyltransferase activity
      1 GO:0070573	metallodipeptidase activity
      1 GO:0070601	centromeric sister chromatid cohesion
      1 GO:0070661	leukocyte proliferation
      1 GO:0070671	response to interleukin-12
      1 GO:0070678	preprotein binding
      1 GO:0070726	cell wall assembly
      1 GO:0070733	protein adenylyltransferase activity
      1 GO:0070785	negative regulation of growth of unicellular organism as a thread of attached cells
      1 GO:0070813	hydrogen sulfide metabolic process
      1 GO:0070814	hydrogen sulfide biosynthetic process
